date_hour	count	rating
9879	1	-1
9879	2	-1
11543	1	-1
11543	2	-1
8743	1	-1
8743	2	-1
4437	1	-1
4437	2	-1
4437	3	-1
4437	4	0
4437	5	0
4437	6	0
10004	1	-1
10004	2	-1
8217	1	-1
8217	2	-1
9366	1	-1
9366	2	-1
11883	1	-1
11883	2	-1
11883	3	-1
11883	4	-1
11883	5	-1
11882	1	-1
11882	2	-1
11882	3	-1
11881	1	-1
11881	2	-1
11548	1	-1
11548	2	-1
11548	3	-1
11548	4	-1
11548	5	-1
11548	6	-1
11884	1	-1
11884	2	-1
11884	3	-1
11884	4	-1
11889	1	-1
11889	2	-1
11888	1	-1
11888	2	-1
11888	3	-1
11888	4	-1
10242	1	-1
10242	2	-1
3275	1	-1
3275	2	-1
4347	1	0
4347	2	0
4345	1	0
4345	2	0
1861	1	0
1861	2	0
4909	1	-1
4909	2	-1
4909	3	2
4909	4	2
8222	1	-1
8222	2	-1
11102	1	-1
11102	2	-1
2217	1	1
2217	2	1
7243	1	-1
7243	2	-1
3800	1	-1
3800	2	-1
10582	1	-1
10582	2	-1
11381	1	-1
11381	2	-1
11380	1	-1
11380	2	-1
11380	3	-1
11380	4	-1
11380	5	-1
11382	1	-1
11382	2	-1
11382	3	-1
11376	1	-1
11376	2	-1
11379	1	-1
11379	2	-1
11379	3	-1
11379	4	-1
3919	1	-1
3919	2	-1
3919	3	-1
3469	1	1
3469	2	1
7040	1	-1
7040	2	-1
7040	3	-1
7040	4	0
7040	5	0
7040	6	0
10419	1	-1
10419	2	-1
10021	1	-1
10021	2	-1
11906	1	-1
11906	2	-1
11906	3	-1
11906	4	-1
11906	5	-1
11907	1	-1
11907	2	-1
11904	1	-1
11904	2	-1
8934	1	-1
8934	2	-1
10322	1	-1
10322	2	-1
4432	1	1
4432	2	1
4432	3	1
4432	4	1
4432	5	1
4432	6	2
4432	7	2
4432	8	2
7460	1	-1
7460	2	-1
9909	1	-1
9909	2	-1
9910	1	-1
9910	2	-1
9910	3	-1
9910	4	-1
9910	5	-1
9910	6	-1
9560	1	-1
9560	2	-1
10862	1	-1
10862	2	-1
11880	1	-1
11880	2	-1
10008	1	-1
10008	2	-1
10008	3	-1
4321	1	0
4321	2	0
4213	1	-1
4213	2	-1
4213	3	-1
11565	1	-1
11565	2	-1
4697	1	-1
4697	2	-1
4697	3	-1
4697	4	-1
4697	5	-1
4691	1	0
4691	2	0
4692	1	1
4692	2	1
4692	3	1
4023	1	1
4023	2	1
4023	3	2
4023	4	2
4024	1	1
4024	2	1
4024	3	1
4024	4	2
4024	5	2
4024	6	2
4363	1	-1
4363	2	-1
4996	1	0
4996	2	0
4996	3	0
4996	4	1
4996	5	1
4996	6	1
4996	7	1
4996	8	1
7074	1	-1
7074	2	-1
7074	3	0
7074	4	0
7990	1	-1
7990	2	-1
11139	1	-1
11139	2	-1
9046	1	-1
9046	2	-1
8050	1	-1
8050	2	-1
4711	1	1
4711	2	1
4711	3	1
4711	4	1
8780	1	-1
8780	2	-1
8780	3	-1
10766	1	-1
10766	2	-1
11737	1	-1
11737	2	-1
11737	3	-1
11737	4	-1
11736	1	-1
11736	2	-1
11738	1	-1
11738	2	-1
11738	3	-1
11738	4	-1
11738	5	-1
11785	1	-1
11785	2	-1
4830	1	0
4830	2	0
10927	1	-1
10927	2	-1
9728	1	-1
9728	2	-1
11566	1	-1
11566	2	-1
11552	1	-1
11552	2	-1
9001	1	-1
9001	2	-1
9001	3	-1
11549	1	-1
11549	2	-1
9002	1	-1
9002	2	-1
9002	3	-1
11547	1	-1
11547	2	-1
11547	3	-1
11546	1	-1
11546	2	-1
11546	3	-1
11546	4	-1
11775	1	-1
11775	2	-1
11775	3	-1
11775	4	-1
11775	5	-1
11775	6	-1
11775	7	-1
11775	8	-1
11775	9	-1
11775	10	-1
11775	11	-1
10907	1	-1
10907	2	-1
11586	1	-1
11586	2	-1
10088	1	-1
10088	2	-1
4177	1	0
4177	2	0
9209	1	-1
9209	2	-1
9209	3	-1
9308	1	-1
9308	2	-1
2854	1	-1
2854	2	-1
11551	1	-1
11551	2	-1
11551	3	-1
8537	1	-1
8537	2	-1
8640	1	-1
8640	2	-1
11253	1	-1
11253	2	-1
7831	1	-1
7831	2	-1
11569	1	-1
11569	2	-1
11569	3	-1
11570	1	-1
11570	2	-1
11570	3	-1
11570	4	-1
11570	5	-1
11570	6	-1
11400	1	-1
11400	2	-1
11401	1	-1
11401	2	-1
11402	1	-1
11402	2	-1
11402	3	-1
11406	1	-1
11406	2	-1
11406	3	-1
11406	4	-1
11406	5	-1
11406	6	-1
11406	7	-1
11406	8	-1
11406	9	-1
11407	1	-1
11407	2	-1
11407	3	-1
4152	1	0
4152	2	0
4457	1	1
4457	2	1
4457	3	1
4458	1	1
4458	2	1
4458	3	1
4458	4	1
4458	5	1
4458	6	1
4458	7	1
10814	1	-1
10814	2	-1
9915	1	-1
9915	2	-1
8560	1	-1
8560	2	-1
8560	3	-1
9812	1	-1
9812	2	-1
9812	3	-1
4430	1	1
4430	2	1
4430	3	1
4430	4	1
4430	5	1
4430	6	2
4430	7	2
4430	8	2
4431	1	1
4431	2	1
4431	3	1
4431	4	1
4431	5	1
4431	6	2
4431	7	2
4431	8	2
1962	1	-1
1962	2	-1
8394	1	-1
8394	2	-1
11712	1	-1
11712	2	-1
10151	1	-1
10151	2	-1
10151	3	-1
11715	1	-1
11715	2	-1
11715	3	-1
11715	4	-1
11715	5	-1
11715	6	-1
1916	1	2
1916	2	2
1916	3	2
11717	1	-1
11717	2	-1
11716	1	-1
11716	2	-1
11716	3	-1
11716	4	-1
11716	5	-1
11713	1	-1
11713	2	-1
11713	3	-1
11713	4	-1
11713	5	-1
11623	1	-1
11623	2	-1
7645	1	-1
7645	2	-1
11714	1	-1
11714	2	-1
11714	3	-1
11714	4	-1
11714	5	-1
11714	6	-1
