date_hour	count	rating
7402	1	-1
7402	2	-1
7334	1	-1
7334	2	-1
2391	1	-1
2391	2	-1
1979	1	-1
1979	2	-1
1981	1	-1
1981	2	-1
9669	1	-1
9669	2	-1
1984	1	-1
1984	2	-1
11634	1	-1
11634	2	-1
11634	3	-1
11634	4	-1
11634	5	-1
11634	6	-1
11634	7	-1
11634	8	-1
11634	9	-1
11634	10	-1
11634	11	-1
11634	12	-1
11634	13	-1
11515	1	-1
11515	2	-1
4500	1	2
4500	2	2
10840	1	-1
10840	2	-1
11672	1	-1
11672	2	-1
11672	3	-1
1752	1	-1
1752	2	-1
11238	1	-1
11238	2	-1
11238	3	-1
11278	1	-1
11278	2	-1
4144	1	2
4144	2	2
4526	1	-1
4526	2	-1
4526	3	-1
4526	4	-1
9495	1	-1
9495	2	-1
8196	1	-1
8196	2	-1
8196	3	-1
8196	4	-1
8196	5	-1
8196	6	-1
8196	7	-1
4530	1	-1
4530	2	-1
1945	1	-1
1945	2	-1
10303	1	-1
10303	2	-1
8882	1	-1
8882	2	-1
4934	1	2
4934	2	2
7703	1	-1
7703	2	-1
7798	1	-1
7798	2	-1
3275	1	-1
3275	2	-1
3275	3	-1
7411	1	-1
7411	2	-1
8683	1	-1
8683	2	-1
11827	1	-1
11827	2	-1
8976	1	-1
8976	2	-1
8871	1	-1
8871	2	-1
8603	1	-1
8603	2	-1
9101	1	-1
9101	2	-1
10435	1	-1
10435	2	-1
10435	3	-1
10191	1	-1
10191	2	-1
11517	1	-1
11517	2	-1
2382	1	-1
2382	2	-1
1830	1	-1
1830	2	-1
2316	1	-1
2316	2	-1
4914	1	-1
4914	2	-1
4914	3	-1
4915	1	-1
4915	2	-1
4915	3	-1
3798	1	-1
3798	2	-1
8439	1	-1
8439	2	-1
8439	3	-1
8439	4	-1
11461	1	-1
11461	2	-1
11890	1	-1
11890	2	-1
7553	1	-1
7553	2	-1
7553	3	-1
7553	4	-1
8060	1	-1
8060	2	-1
8060	3	-1
8060	4	-1
7556	1	-1
7556	2	-1
10583	1	-1
10583	2	-1
3818	1	-1
3818	2	-1
3819	1	-1
3819	2	-1
8261	1	-1
8261	2	-1
3792	1	-1
3792	2	-1
7237	1	-1
7237	2	-1
11104	1	-1
11104	2	-1
10361	1	-1
10361	2	-1
9190	1	-1
9190	2	-1
9190	3	-1
4928	1	-1
4928	2	-1
4928	3	-1
2687	1	-1
2687	2	-1
486	1	-1
486	2	-1
7690	1	-1
7690	2	-1
8154	1	-1
8154	2	-1
9345	1	-1
9345	2	-1
7768	1	-1
7768	2	-1
7768	3	-1
9969	1	-1
9969	2	-1
9969	3	-1
7119	1	-1
7119	2	-1
7119	3	-1
7119	4	-1
10230	1	-1
10230	2	-1
9964	1	-1
9964	2	-1
11039	1	-1
11039	2	-1
8153	1	-1
8153	2	-1
1802	1	-1
1802	2	-1
1802	3	-1
9139	1	-1
9139	2	-1
7103	1	-1
7103	2	-1
7103	3	-1
10033	1	-1
10033	2	-1
11754	1	-1
11754	2	-1
11754	3	-1
3986	1	-1
3986	2	-1
3986	3	-1
3986	4	-1
3986	5	-1
3986	6	-1
3986	7	-1
