date_hour	count	rating
7581	1	-1
7581	2	-1
11331	1	-1
11331	2	-1
7410	1	-1
7410	2	-1
7410	3	-1
7410	4	-1
7410	5	-1
7410	6	-1
11513	1	0
11513	2	0
1984	1	2
1984	2	2
7344	1	-1
7344	2	-1
11373	1	0
11373	2	0
11883	1	0
11883	2	0
8973	1	0
8973	2	0
2274	1	1
2274	2	1
2293	1	-1
2293	2	-1
8978	1	0
8978	2	0
7441	1	-1
7441	2	-1
8980	1	0
8980	2	0
8980	3	0
11517	1	-1
11517	2	-1
1464	1	1
1464	2	1
7049	1	0
7049	2	0
7389	1	-1
7389	2	-1
7389	3	-1
4397	1	0
4397	2	0
8969	1	0
8969	2	0
8969	3	0
8969	4	1
8969	5	1
8968	1	0
8968	2	0
7704	1	-1
7704	2	-1
7704	3	-1
7242	1	-1
7242	2	-1
7242	3	-1
8971	1	0
8971	2	0
8971	3	0
8971	4	0
8970	1	0
8970	2	0
8970	3	0
8991	1	0
8991	2	0
2281	1	-1
2281	2	-1
11828	1	2
11828	2	2
2956	1	1
2956	2	1
7658	1	-1
7658	2	-1
7658	3	-1
7658	4	-1
11376	1	1
11376	2	1
8924	1	0
8924	2	0
8926	1	0
8926	2	0
3471	1	2
3471	2	2
6085	1	-1
6085	2	-1
5129	1	0
5129	2	0
8067	1	-1
8067	2	-1
9984	1	1
9984	2	1
6111	1	0
6111	2	0
6111	3	0
6111	4	0
8174	1	-1
8174	2	-1
8174	3	-1
8174	4	-1
8174	5	-1
8174	6	-1
8174	7	-1
8174	8	-1
8174	9	-1
9033	1	0
9033	2	0
9033	3	0
9033	4	0
9033	5	0
9033	6	1
9033	7	1
9033	8	1
9033	9	1
9033	10	1
7721	1	-1
7721	2	-1
8933	1	0
8933	2	0
8933	3	0
8932	1	0
8932	2	0
8932	3	0
8932	4	0
8932	5	0
8932	6	0
8932	7	0
8932	8	0
8932	9	0
8932	10	0
8932	11	0
8932	12	1
8932	13	1
8932	14	1
7251	1	-1
7251	2	-1
8955	1	0
8955	2	0
8956	1	0
8956	2	0
8956	3	0
8956	4	1
8956	5	1
11908	1	-1
11908	2	-1
8930	1	0
8930	2	0
8930	3	0
7147	1	-1
7147	2	-1
7147	3	-1
8039	1	-1
8039	2	-1
8037	1	-1
8037	2	-1
9845	1	0
9845	2	0
7127	1	-1
7127	2	-1
11392	1	0
11392	2	0
11392	3	1
11392	4	1
11392	5	1
7460	1	-1
7460	2	-1
6074	1	-1
6074	2	-1
8083	1	-1
8083	2	-1
7873	1	-1
7873	2	-1
7873	3	-1
7056	1	-1
7056	2	-1
9082	1	0
9082	2	0
9082	3	0
9082	4	0
9082	5	0
7963	1	-1
7963	2	-1
7963	3	-1
3718	1	1
3718	2	1
4325	1	2
4325	2	2
4325	3	2
8323	1	2
8323	2	2
2289	1	1
2289	2	1
8941	1	0
8941	2	0
8941	3	1
8941	4	1
8946	1	0
8946	2	0
8946	3	1
8946	4	1
7679	1	-1
7679	2	-1
11396	1	1
11396	2	1
7165	1	-1
7165	2	-1
9601	1	-1
9601	2	-1
9157	1	0
9157	2	0
9157	3	0
9157	4	1
9157	5	1
9157	6	1
6984	1	-1
6984	2	-1
6984	3	-1
7991	1	-1
7991	2	-1
3308	1	0
3308	2	0
3308	3	0
2881	1	0
2881	2	0
3145	1	-1
3145	2	-1
7273	1	-1
7273	2	-1
7273	3	-1
8950	1	0
8950	2	0
7845	1	-1
7845	2	-1
7847	1	0
7847	2	0
7847	3	0
7897	1	-1
7897	2	-1
9160	1	0
9160	2	0
9168	1	0
9168	2	0
5016	1	0
5016	2	0
5016	3	0
5016	4	1
5016	5	1
5016	6	1
8782	1	2
8782	2	2
6005	1	1
6005	2	1
6007	1	0
6007	2	0
6007	3	1
6007	4	1
8680	1	0
8680	2	0
8680	3	0
8340	1	0
8340	2	0
9474	1	0
9474	2	0
8339	1	0
8339	2	0
8339	3	0
9467	1	-1
9467	2	-1
11427	1	1
11427	2	1
8840	1	2
8840	2	2
7483	1	-1
7483	2	-1
11413	1	-1
11413	2	-1
11413	3	-1
3250	1	0
3250	2	0
9208	1	0
9208	2	0
9061	1	0
9061	2	0
9061	3	1
9061	4	1
5114	1	0
5114	2	0
5114	3	1
5114	4	1
11349	1	1
11349	2	1
8434	1	2
8434	2	2
11350	1	2
11350	2	2
4839	1	2
4839	2	2
4839	3	2
4839	4	2
4839	5	2
11560	1	0
11560	2	0
7826	1	2
7826	2	2
11575	1	0
11575	2	0
9108	1	0
9108	2	0
11370	1	0
11370	2	0
11370	3	0
11370	4	0
11370	5	2
11370	6	2
11403	1	1
11403	2	1
11826	1	0
11826	2	0
11825	1	0
11825	2	0
11825	3	0
8923	1	0
8923	2	0
8555	1	2
8555	2	2
11680	1	-1
11680	2	-1
6459	1	0
6459	2	0
6459	3	0
6459	4	0
5330	1	0
5330	2	0
2009	1	1
2009	2	1
7536	1	-1
7536	2	-1
7651	1	-1
7651	2	-1
7651	3	-1
7773	1	-1
7773	2	-1
7773	3	-1
7773	4	-1
7773	5	-1
10806	1	2
10806	2	2
10806	3	2
10806	4	2
