date_hour	count	rating
5762	1	0
5762	2	0
5762	3	2
5762	4	2
5738	1	0
5738	2	0
719	1	-1
719	2	-1
719	3	-1
8685	1	-1
8685	2	-1
8685	3	-1
2389	1	-1
2389	2	-1
11405	1	2
11405	2	2
11405	3	2
11405	4	2
11405	5	2
10006	1	-1
10006	2	-1
10006	3	-1
3906	1	-1
3906	2	-1
10215	1	1
10215	2	1
10215	3	1
10215	4	2
10215	5	2
10215	6	2
10215	7	2
10215	8	2
10215	9	2
10215	10	2
9212	1	2
9212	2	2
9212	3	2
9212	4	2
4240	1	-1
4240	2	-1
8208	1	2
8208	2	2
8208	3	2
8208	4	2
8208	5	2
4405	1	-1
4405	2	-1
461	1	-1
461	2	-1
461	3	-1
461	4	0
461	5	0
461	6	0
1945	1	2
1945	2	2
1945	3	2
384	1	0
384	2	0
384	3	0
384	4	2
384	5	2
384	6	2
384	7	2
384	8	2
11391	1	-1
11391	2	-1
11391	3	-1
10703	1	-1
10703	2	-1
10703	3	-1
2058	1	-1
2058	2	-1
2058	3	0
2058	4	0
2058	5	2
2058	6	2
1225	1	2
1225	2	2
1225	3	2
9423	1	2
9423	2	2
9423	3	2
11487	1	2
11487	2	2
11487	3	2
506	1	2
506	2	2
506	3	2
506	4	2
506	5	2
8870	1	1
8870	2	1
8870	3	2
8870	4	2
9638	1	2
9638	2	2
9638	3	2
5750	1	-1
5750	2	-1
10191	1	-1
10191	2	-1
9591	1	-1
9591	2	-1
9591	3	-1
10311	1	2
10311	2	2
10311	3	2
4975	1	-1
4975	2	-1
4975	3	-1
1074	1	2
1074	2	2
1074	3	2
8751	1	-1
8751	2	-1
8751	3	-1
8751	4	-1
8751	5	-1
8751	6	-1
8751	7	-1
9378	1	-1
9378	2	-1
9378	3	-1
6125	1	2
6125	2	2
11899	1	1
11899	2	1
11899	3	1
11899	4	1
11899	5	2
11899	6	2
11899	7	2
4494	1	-1
4494	2	-1
4244	1	2
4244	2	2
11894	1	-1
11894	2	-1
11895	1	-1
11895	2	-1
9376	1	-1
9376	2	-1
9376	3	-1
9376	4	-1
9376	5	-1
9376	6	-1
9376	7	-1
11989	1	2
11989	2	2
11989	3	2
7557	1	2
7557	2	2
7557	3	2
8967	1	1
8967	2	1
8967	3	2
8967	4	2
8967	5	2
8967	6	2
8967	7	2
5256	1	-1
5256	2	-1
11919	1	-1
11919	2	-1
11919	3	-1
2215	1	2
2215	2	2
2215	3	2
480	1	0
480	2	0
7193	1	-1
7193	2	-1
3496	1	2
3496	2	2
9856	1	-1
9856	2	-1
9856	3	-1
10335	1	-1
10335	2	-1
10335	3	-1
2285	1	2
2285	2	2
2285	3	2
2046	1	-1
2046	2	-1
1240	1	2
1240	2	2
1240	3	2
9485	1	-1
9485	2	-1
9485	3	-1
9485	4	1
9485	5	1
9485	6	1
11847	1	-1
11847	2	-1
11847	3	-1
6087	1	-1
6087	2	-1
3918	1	2
3918	2	2
3918	3	2
9133	1	2
9133	2	2
9133	3	2
7037	1	1
7037	2	1
11757	1	-1
11757	2	-1
11757	3	-1
7156	1	1
7156	2	1
7156	3	2
7156	4	2
7156	5	2
1409	1	1
1409	2	1
1409	3	2
1409	4	2
1409	5	2
8175	1	-1
8175	2	-1
8175	3	-1
1721	1	-1
1721	2	-1
5271	1	2
5271	2	2
5271	3	2
10292	1	1
10292	2	1
10292	3	2
10292	4	2
7292	1	-1
7292	2	-1
7292	3	0
7292	4	0
7508	1	-1
7508	2	-1
6326	1	-1
6326	2	-1
406	1	2
406	2	2
406	3	2
2227	1	-1
2227	2	-1
10727	1	-1
10727	2	-1
10727	3	-1
3484	1	-1
3484	2	-1
9495	1	-1
9495	2	-1
9495	3	-1
9495	4	-1
9495	5	-1
8296	1	2
8296	2	2
8296	3	2
8662	1	2
8662	2	2
8662	3	2
10365	1	-1
10365	2	-1
8460	1	2
8460	2	2
8460	3	2
8460	4	2
8460	5	2
7980	1	2
7980	2	2
7980	3	2
7980	4	2
7980	5	2
7166	1	-1
7166	2	-1
7166	3	-1
1394	1	2
1394	2	2
11152	1	2
11152	2	2
11152	3	2
10936	1	1
10936	2	1
10936	3	1
10936	4	1
10936	5	1
10936	6	1
10936	7	2
10936	8	2
10936	9	2
10936	10	2
10936	11	2
10936	12	2
10936	13	2
2079	1	2
2079	2	2
2079	3	2
11017	1	2
11017	2	2
11017	3	2
8494	1	-1
8494	2	-1
8494	3	-1
10379	1	-1
10379	2	-1
5592	1	-1
5592	2	-1
7264	1	-1
7264	2	-1
7264	3	-1
7264	4	-1
7264	5	-1
7264	6	-1
7264	7	-1
9973	1	2
9973	2	2
9973	3	2
8320	1	-1
8320	2	-1
8320	3	-1
7913	1	-1
7913	2	-1
7913	3	-1
10246	1	1
10246	2	1
10246	3	2
10246	4	2
11706	1	-1
11706	2	-1
239	1	2
239	2	2
239	3	2
239	4	2
239	5	2
236	1	2
236	2	2
236	3	2
236	4	2
236	5	2
236	6	2
236	7	2
6252	1	-1
6252	2	-1
10479	1	2
10479	2	2
10479	3	2
10269	1	2
10269	2	2
10269	3	2
882	1	-1
