date_hour	count	rating
5113	1	-1
5113	2	-1
907	1	2
907	2	2
907	3	2
1439	1	1
1439	2	1
1439	3	2
1439	4	2
7156	1	1
7156	2	1
7156	3	1
7156	4	1
3152	1	1
3152	2	1
3152	3	1
3886	1	1
3886	2	1
2353	1	1
2353	2	1
1774	1	1
1774	2	1
1774	3	1
7180	1	-1
7180	2	-1
3967	1	1
3967	2	1
3967	3	1
5010	1	-1
5010	2	-1
7227	1	-1
7227	2	-1
4477	1	1
4477	2	1
4477	3	1
4477	4	1
4477	5	1
4477	6	1
4477	7	1
4477	8	1
4477	9	1
4477	10	2
4477	11	2
4477	12	2
4477	13	2
4477	14	2
4477	15	2
4477	16	2
4477	17	2
4477	18	2
4477	19	2
4477	20	2
4477	21	2
4477	22	2
4477	23	2
4477	24	2
4477	25	2
4477	26	2
4014	1	1
4014	2	1
4014	3	1
4014	4	1
7307	1	1
7307	2	1
7307	3	2
7307	4	2
7199	1	-1
7199	2	-1
9194	1	-1
9194	2	-1
9194	3	-1
4456	1	-1
4456	2	-1
3104	1	1
3104	2	1
3104	3	2
3104	4	2
8136	1	1
8136	2	1
9235	1	1
9235	2	1
9235	3	1
3001	1	1
3001	2	1
3282	1	1
3282	2	1
3282	3	1
3156	1	1
3156	2	1
2349	1	1
2349	2	1
4627	1	0
4627	2	0
4627	3	0
4627	4	0
4627	5	0
4627	6	1
4627	7	1
4627	8	1
4627	9	1
4627	10	1
4627	11	1
4627	12	1
4627	13	1
4627	14	1
2610	1	1
2610	2	1
3136	1	1
3136	2	1
3112	1	2
3112	2	2
3112	3	2
3135	1	1
3135	2	1
7308	1	1
7308	2	1
1149	1	1
1149	2	1
1160	1	1
1160	2	1
3647	1	1
3647	2	1
