date_hour	count	rating
7583	1	-1
7583	2	-1
9080	1	-1
9080	2	-1
4438	1	-1
4438	2	-1
4438	3	-1
4438	4	-1
4438	5	-1
4438	6	0
4438	7	0
4438	8	0
4438	9	0
4438	10	0
4437	1	-1
4437	2	-1
4437	3	-1
4437	4	0
4437	5	0
4437	6	0
4437	7	0
4437	8	0
4437	9	0
4437	10	0
4436	1	-1
4436	2	-1
4436	3	-1
4436	4	0
4436	5	0
4436	6	0
4505	1	-1
4505	2	-1
4505	3	-1
4505	4	0
4505	5	0
4505	6	0
9368	1	-1
9368	2	-1
9368	3	-1
9368	4	-1
2925	1	1
2925	2	1
2925	3	1
1681	1	0
1681	2	0
1755	1	1
1755	2	1
1755	3	2
1755	4	2
4507	1	-1
4507	2	-1
4507	3	0
4507	4	0
4507	5	0
4506	1	-1
4506	2	-1
4506	3	-1
4506	4	0
4506	5	0
4506	6	0
11875	1	-1
11875	2	-1
11874	1	-1
11874	2	-1
11874	3	-1
4701	1	-1
4701	2	-1
4701	3	0
4701	4	0
4700	1	-1
4700	2	-1
4700	3	-1
4700	4	0
4700	5	0
4700	6	0
4703	1	-1
4703	2	-1
4703	3	-1
4703	4	-1
4703	5	-1
4703	6	-1
4703	7	-1
4703	8	-1
4703	9	-1
4703	10	0
4703	11	0
4703	12	0
4703	13	0
4703	14	0
4703	15	0
4703	16	0
4703	17	0
4703	18	0
7703	1	-1
7703	2	-1
4347	1	0
4347	2	0
4346	1	-1
4346	2	-1
4346	3	-1
4346	4	0
4346	5	0
4346	6	0
4345	1	0
4345	2	0
4363	1	-1
4363	2	-1
4363	3	-1
4363	4	0
4363	5	0
4363	6	0
1747	1	1
1747	2	1
1747	3	2
1747	4	2
4489	1	-1
4489	2	-1
4489	3	-1
4489	4	0
4489	5	0
4489	6	0
4769	1	0
4769	2	0
8898	1	-1
8898	2	-1
8898	3	-1
8898	4	-1
8898	5	-1
10781	1	-1
10781	2	-1
7838	1	2
7838	2	2
7838	3	2
4461	1	-1
4461	2	-1
4461	3	-1
4461	4	0
4461	5	0
4461	6	0
4462	1	-1
4462	2	-1
4462	3	-1
4462	4	-1
4462	5	-1
4462	6	-1
4462	7	-1
4462	8	-1
4462	9	-1
4462	10	0
4462	11	0
4462	12	0
4462	13	0
4462	14	0
4462	15	0
4462	16	0
4462	17	0
4462	18	0
2111	1	1
2111	2	1
5014	1	-1
5014	2	-1
5014	3	-1
5014	4	0
5014	5	0
5014	6	0
4362	1	0
4362	2	0
4650	1	-1
4650	2	-1
4650	3	0
4650	4	0
4650	5	0
4651	1	0
4651	2	0
4313	1	0
4313	2	0
2277	1	1
2277	2	1
7367	1	-1
7367	2	-1
3991	1	0
3991	2	0
3474	1	0
3474	2	0
3474	3	0
3474	4	0
3474	5	0
3474	6	0
3474	7	0
3474	8	0
3474	9	0
3475	1	0
3475	2	0
3475	3	0
3475	4	0
3475	5	0
3475	6	0
3475	7	0
3475	8	0
3475	9	0
3475	10	0
3475	11	0
3475	12	0
3475	13	0
3475	14	0
4678	1	-1
4678	2	-1
