date_hour	count	rating
7402	1	-1
7402	2	-1
7402	3	-1
7402	4	-1
7402	5	-1
7402	6	-1
9879	1	-1
9879	2	-1
9880	1	-1
9880	2	-1
9881	1	-1
9881	2	-1
9881	3	-1
9922	1	-1
9922	2	-1
9922	3	-1
9922	4	-1
9922	5	-1
7575	1	-1
7575	2	-1
8701	1	-1
8701	2	-1
8699	1	-1
8699	2	-1
8699	3	-1
7349	1	-1
7349	2	-1
7349	3	-1
2987	1	-1
2987	2	-1
8886	1	-1
8886	2	-1
464	1	-1
464	2	-1
464	3	-1
4147	1	-1
4147	2	-1
4147	3	-1
4147	4	1
4147	5	1
4147	6	1
11449	1	-1
11449	2	-1
7641	1	-1
7641	2	-1
7637	1	-1
7637	2	-1
7637	3	-1
7637	4	-1
7637	5	-1
7637	6	-1
7637	7	-1
10434	1	2
10434	2	2
10433	1	2
10433	2	2
8749	1	-1
8749	2	-1
8751	1	-1
8751	2	-1
9883	1	-1
9883	2	-1
11280	1	-1
11280	2	-1
8686	1	-1
8686	2	-1
8686	3	-1
8686	4	-1
8686	5	-1
8686	6	-1
9280	1	-1
9280	2	-1
9280	3	-1
9281	1	-1
9281	2	-1
9281	3	-1
9279	1	-1
9279	2	-1
10308	1	-1
10308	2	-1
10314	1	-1
10314	2	-1
10314	3	-1
9282	1	-1
9282	2	-1
9282	3	-1
9282	4	-1
10331	1	-1
10331	2	-1
8704	1	-1
8704	2	-1
11994	1	-1
11994	2	-1
9548	1	-1
9548	2	-1
9548	3	-1
9549	1	-1
9549	2	-1
11849	1	-1
11849	2	-1
11849	3	-1
7253	1	-1
7253	2	-1
10389	1	-1
10389	2	-1
10389	3	-1
7675	1	-1
7675	2	-1
7675	3	-1
9235	1	-1
9235	2	-1
9234	1	-1
9234	2	-1
9234	3	-1
9234	4	-1
9234	5	-1
7670	1	-1
7670	2	-1
9977	1	-1
9977	2	-1
10288	1	-1
10288	2	-1
10288	3	-1
11148	1	2
11148	2	2
8318	1	-1
8318	2	-1
9179	1	2
9179	2	2
9179	3	2
9179	4	2
9179	5	2
9179	6	2
9179	7	2
9179	8	2
9179	9	2
11495	1	-1
11495	2	-1
8442	1	-1
8442	2	-1
10848	1	-1
10848	2	-1
10848	3	-1
10848	4	-1
10848	5	-1
10848	6	-1
10405	1	-1
10405	2	-1
10410	1	-1
10410	2	-1
11699	1	1
11699	2	1
11699	3	1
11706	1	2
11706	2	2
8685	1	-1
8685	2	-1
9201	1	-1
9201	2	-1
9141	1	-1
9141	2	-1
7413	1	-1
7413	2	-1
7413	3	-1
7413	4	-1
7413	5	-1
7414	1	-1
7414	2	-1
7414	3	-1
9885	1	-1
9885	2	-1
9884	1	-1
9884	2	-1
9884	3	-1
9886	1	-1
9886	2	-1
10913	1	-1
10913	2	-1
8045	1	-1
8045	2	-1
10911	1	-1
10911	2	-1
10911	3	-1
10914	1	-1
10914	2	-1
9058	1	0
9058	2	0
9058	3	0
10387	1	-1
10387	2	-1
10186	1	-1
10186	2	-1
10186	3	-1
9248	1	-1
9248	2	-1
9982	1	-1
9982	2	-1
613	1	-1
613	2	-1
9247	1	-1
