date_hour	count	rating
7100	1	-1
7100	2	-1
10003	1	1
10003	2	1
10003	3	2
10003	4	2
3780	1	1
3780	2	1
3780	3	2
3780	4	2
4841	1	1
4841	2	1
4841	3	1
4841	4	1
4841	5	1
3292	1	2
3292	2	2
3292	3	2
10217	1	0
10217	2	0
10217	3	1
10217	4	1
3865	1	1
3865	2	1
3865	3	2
3865	4	2
10963	1	0
10963	2	0
4405	1	-1
4405	2	-1
4405	3	-1
9284	1	-1
9284	2	-1
212	1	-1
212	2	-1
3524	1	-1
3524	2	-1
7828	1	1
7828	2	1
7828	3	1
3755	1	1
3755	2	1
3755	3	2
3755	4	2
3757	1	1
3757	2	1
3757	3	2
3757	4	2
760	1	-1
760	2	-1
760	3	-1
760	4	0
760	5	0
760	6	0
9670	1	2
9670	2	2
9670	3	2
1324	1	-1
1324	2	-1
11340	1	0
11340	2	0
11340	3	0
11340	4	0
11340	5	0
11340	6	0
11340	7	0
11340	8	0
8464	1	-1
8464	2	-1
1323	1	-1
1323	2	-1
1323	3	-1
1323	4	-1
1323	5	-1
1323	6	-1
1323	7	-1
1322	1	-1
1322	2	-1
1322	3	-1
1322	4	-1
1322	5	-1
4430	1	-1
4430	2	-1
4430	3	-1
7823	1	1
7823	2	1
7823	3	1
8711	1	-1
8711	2	-1
1633	1	-1
1633	2	-1
1399	1	-1
1399	2	-1
1399	3	-1
2166	1	-1
2166	2	-1
2166	3	-1
1706	1	-1
1706	2	-1
7842	1	1
7842	2	1
7842	3	1
8519	1	-1
8519	2	-1
8519	3	-1
1479	1	1
1479	2	1
2861	1	-1
2861	2	-1
473	1	1
473	2	1
4575	1	-1
4575	2	-1
4575	3	-1
8346	1	-1
8346	2	-1
8346	3	-1
2872	1	1
2872	2	1
10749	1	0
10749	2	0
10749	3	1
10749	4	1
11655	1	-1
11655	2	-1
4540	1	-1
4540	2	-1
4514	1	-1
4514	2	-1
4514	3	-1
4412	1	0
4412	2	0
4412	3	0
4412	4	1
4412	5	1
4412	6	1
4378	1	-1
4378	2	-1
1954	1	1
1954	2	1
1954	3	1
3530	1	-1
3530	2	-1
9525	1	0
9525	2	0
9525	3	1
9525	4	1
1312	1	-1
1312	2	-1
9245	1	-1
9245	2	-1
10151	1	1
10151	2	1
10151	3	1
3106	1	-1
3106	2	-1
4284	1	0
4284	2	0
4284	3	0
4284	4	1
4284	5	1
4284	6	1
10136	1	1
10136	2	1
