date_hour	count	rating
9878	1	-1
9878	2	-1
4004	1	0
4004	2	0
4004	3	0
4004	4	1
4004	5	1
4004	6	1
3618	1	-1
3618	2	-1
1751	1	2
1751	2	2
1751	3	2
2305	1	0
2305	2	0
10212	1	-1
10212	2	-1
8214	1	1
8214	2	1
2275	1	1
2275	2	1
2275	3	1
9377	1	1
9377	2	1
9377	3	1
9377	4	1
9377	5	1
9377	6	1
9377	7	1
9377	8	1
9377	9	1
3857	1	1
3857	2	1
10968	1	-1
10968	2	-1
1229	1	1
1229	2	1
1229	3	2
1229	4	2
1229	5	2
9746	1	-1
9746	2	-1
10186	1	1
10186	2	1
3055	1	-1
3055	2	-1
5036	1	1
5036	2	1
11222	1	-1
11222	2	-1
9936	1	-1
9936	2	-1
2992	1	-1
2992	2	-1
7326	1	1
7326	2	1
7327	1	1
7327	2	1
8710	1	2
8710	2	2
8710	3	2
1456	1	2
1456	2	2
9378	1	0
9378	2	0
9378	3	1
9378	4	1
9378	5	1
474	1	1
474	2	1
474	3	1
474	4	1
474	5	1
7361	1	1
7361	2	1
7462	1	-1
7462	2	-1
11288	1	1
11288	2	1
11288	3	1
7205	1	1
7205	2	1
7203	1	1
7203	2	1
3448	1	1
3448	2	1
10681	1	-1
10681	2	-1
7704	1	-1
7704	2	-1
7704	3	-1
7234	1	0
7234	2	0
7234	3	0
7699	1	1
7699	2	1
10309	1	-1
10309	2	-1
9526	1	1
9526	2	1
9526	3	1
9526	4	1
2950	1	1
2950	2	1
9166	1	1
9166	2	1
8989	1	0
8989	2	0
9965	1	1
9965	2	1
7514	1	-1
7514	2	-1
9858	1	-1
9858	2	-1
3040	1	-1
3040	2	-1
10789	1	-1
10789	2	-1
9135	1	-1
9135	2	-1
10357	1	-1
10357	2	-1
2358	1	1
2358	2	1
781	1	1
781	2	1
781	3	1
781	4	2
781	5	2
781	6	2
781	7	2
780	1	2
780	2	2
453	1	1
453	2	1
453	3	1
453	4	2
453	5	2
453	6	2
453	7	2
453	8	2
454	1	2
454	2	2
454	3	2
454	4	2
7212	1	1
7212	2	1
7213	1	1
7213	2	1
7213	3	1
10025	1	-1
10025	2	-1
1410	1	2
1410	2	2
1410	3	2
1410	4	2
4867	1	0
4867	2	0
4867	3	0
7180	1	-1
7180	2	-1
10074	1	-1
10074	2	-1
9285	1	-1
9285	2	-1
7250	1	-1
7250	2	-1
7178	1	-1
7178	2	-1
11081	1	-1
11081	2	-1
8036	1	0
8036	2	0
10537	1	-1
10537	2	-1
4082	1	2
4082	2	2
4082	3	2
4082	4	2
4082	5	2
4082	6	2
4082	7	2
337	1	2
337	2	2
9848	1	0
9848	2	0
2659	1	2
2659	2	2
2659	3	2
3593	1	2
3593	2	2
8795	1	-1
8795	2	-1
8795	3	0
8795	4	0
9977	1	-1
9977	2	-1
298	1	1
298	2	1
298	3	1
298	4	2
298	5	2
9665	1	1
9665	2	1
10862	1	-1
10862	2	-1
9666	1	1
9666	2	1
9693	1	-1
9693	2	-1
7921	1	-1
7921	2	-1
770	1	1
770	2	1
770	3	1
770	4	2
770	5	2
770	6	2
770	7	2
770	8	2
770	9	2
771	1	2
771	2	2
771	3	2
771	4	2
771	5	2
771	6	2
771	7	2
771	8	2
771	9	2
771	10	2
771	11	2
768	1	2
768	2	2
768	3	2
768	4	2
768	5	2
768	6	2
768	7	2
768	8	2
768	9	2
768	10	2
768	11	2
8948	1	-1
8948	2	-1
2082	1	1
2082	2	1
772	1	1
772	2	1
772	3	1
772	4	1
772	5	2
772	6	2
772	7	2
772	8	2
772	9	2
772	10	2
773	1	2
773	2	2
773	3	2
773	4	2
773	5	2
773	6	2
773	7	2
4797	1	1
4797	2	1
4797	3	1
4797	4	1
4797	5	1
430	1	1
430	2	1
430	3	1
430	4	1
430	5	1
430	6	2
430	7	2
430	8	2
10261	1	-1
10261	2	-1
428	1	1
428	2	1
7259	1	1
7259	2	1
10100	1	1
10100	2	1
10100	3	1
10100	4	1
8033	1	-1
8033	2	-1
7318	1	-1
7318	2	-1
2610	1	1
2610	2	1
11011	1	-1
11011	2	-1
2515	1	0
2515	2	0
7164	1	1
7164	2	1
9179	1	-1
9179	2	-1
9620	1	-1
9620	2	-1
7133	1	1
7133	2	1
957	1	2
957	2	2
957	3	2
11129	1	-1
11129	2	-1
10453	1	-1
10453	2	-1
162	1	1
162	2	1
162	3	1
162	4	1
162	5	1
7071	1	-1
7071	2	-1
7071	3	-1
7175	1	1
7175	2	1
7175	3	1
11019	1	-1
11019	2	-1
10405	1	-1
10405	2	-1
8058	1	1
8058	2	1
5856	1	1
5856	2	1
4336	1	2
4336	2	2
4336	3	2
4336	4	2
4336	5	2
4336	6	2
4336	7	2
424	1	1
424	2	1
424	3	1
10741	1	-1
10741	2	-1
7269	1	-1
7269	2	-1
597	1	1
597	2	1
597	3	1
597	4	1
597	5	1
8579	1	0
8579	2	0
3501	1	2
3501	2	2
3501	3	2
3501	4	2
3503	1	1
3503	2	1
10916	1	-1
10916	2	-1
10916	3	-1
10573	1	-1
10573	2	-1
5002	1	-1
5002	2	-1
5002	3	-1
5002	4	0
5002	5	0
5002	6	0
7311	1	-1
7311	2	-1
7310	1	-1
7310	2	-1
8371	1	-1
8371	2	-1
7701	1	1
7701	2	1
7099	1	0
7099	2	0
7099	3	0
7099	4	1
7099	5	1
7099	6	1
7099	7	1
7099	8	1
7097	1	0
7097	2	0
7097	3	1
7097	4	1
7097	5	1
10765	1	-1
10765	2	-1
11057	1	-1
11057	2	-1
7260	1	1
7260	2	1
790	1	2
790	2	2
790	3	2
790	4	2
790	5	2
7414	1	-1
7414	2	-1
1413	1	1
1413	2	1
1413	3	2
1413	4	2
1414	1	1
1414	2	1
1414	3	2
1414	4	2
1989	1	1
1989	2	1
9795	1	0
9795	2	0
9799	1	0
9799	2	0
9799	3	0
9799	4	0
9799	5	0
9799	6	0
1356	1	2
1356	2	2
1355	1	1
1355	2	1
1355	3	1
1355	4	2
1355	5	2
10609	1	-1
10609	2	-1
8508	1	2
8508	2	2
8508	3	2
8513	1	-1
8513	2	-1
10511	1	0
10511	2	0
11153	1	-1
11153	2	-1
814	1	1
814	2	1
814	3	1
814	4	1
814	5	1
7120	1	-1
7120	2	-1
7116	1	1
7116	2	1
10717	1	-1
10717	2	-1
9675	1	1
9675	2	1
9675	3	1
9675	4	2
9675	5	2
9676	1	1
9676	2	1
9676	3	1
9676	4	1
9676	5	1
9676	6	1
9677	1	1
9677	2	1
9677	3	1
11083	1	0
11083	2	0
9788	1	-1
9788	2	-1
11941	1	0
11941	2	0
11941	3	0
753	1	1
753	2	1
753	3	1
753	4	1
753	5	1
753	6	1
753	7	1
753	8	2
753	9	2
753	10	2
753	11	2
753	12	2
753	13	2
753	14	2
753	15	2
753	16	2
753	17	2
753	18	2
1345	1	1
1345	2	1
1345	3	2
1345	4	2
11750	1	-1
11750	2	-1
4843	1	1
4843	2	1
7560	1	-1
7560	2	-1
7560	3	-1
903	1	-1
903	2	-1
903	3	-1
7322	1	1
7322	2	1
9395	1	-1
9395	2	-1
569	1	2
569	2	2
569	3	2
569	4	2
569	5	2
1348	1	1
1348	2	1
1348	3	2
1348	4	2
7382	1	1
7382	2	1
11341	1	-1
11341	2	-1
11341	3	-1
1344	1	-1
1344	2	-1
1344	3	1
1344	4	1
1344	5	1
1344	6	2
1344	7	2
577	1	1
577	2	1
579	1	1
579	2	1
11557	1	-1
11557	2	-1
1352	1	1
1352	2	1
11105	1	-1
11105	2	-1
4553	1	2
4553	2	2
4553	3	2
9835	1	-1
9835	2	-1
9833	1	0
9833	2	0
9833	3	0
500	1	1
500	2	1
500	3	1
500	4	1
500	5	1
962	1	1
962	2	1
754	1	1
754	2	1
754	3	1
754	4	1
754	5	2
754	6	2
754	7	2
754	8	2
754	9	2
754	10	2
10147	1	-1
10147	2	-1
759	1	1
759	2	1
759	3	1
759	4	1
759	5	1
759	6	2
759	7	2
759	8	2
7770	1	-1
7770	2	-1
761	1	2
761	2	2
761	3	2
761	4	2
761	5	2
761	6	2
763	1	1
763	2	1
763	3	2
763	4	2
10813	1	-1
10813	2	-1
8996	1	1
8996	2	1
8996	3	1
2115	1	1
2115	2	1
11993	1	1
11993	2	1
1342	1	2
1342	2	2
11990	1	1
11990	2	1
10895	1	1
10895	2	1
10895	3	1
4844	1	1
4844	2	1
10499	1	-1
10499	2	-1
9257	1	1
9257	2	1
7368	1	-1
7368	2	-1
5401	1	0
5401	2	0
8589	1	-1
8589	2	-1
9692	1	-1
9692	2	-1
10655	1	-1
10655	2	-1
9330	1	1
9330	2	1
9117	1	-1
9117	2	-1
1777	1	-1
1777	2	-1
739	1	0
739	2	0
739	3	0
739	4	1
739	5	1
739	6	1
11033	1	-1
11033	2	-1
1784	1	2
1784	2	2
2261	1	1
2261	2	1
831	1	0
831	2	0
831	3	0
831	4	1
831	5	1
831	6	1
1916	1	1
1916	2	1
1916	3	1
10981	1	-1
10981	2	-1
8160	1	-1
8160	2	-1
