date_hour	count	rating
9878	1	-1
9878	2	-1
9880	1	-1
9880	2	-1
9880	3	-1
11542	1	-1
11542	2	-1
9829	1	-1
9829	2	-1
9931	1	-1
9931	2	-1
9931	3	-1
9931	4	-1
9931	5	1
9931	6	1
9931	7	1
9931	8	1
9883	1	-1
9883	2	-1
9883	3	-1
10005	1	-1
10005	2	-1
10007	1	-1
10007	2	-1
7346	1	-1
7346	2	-1
7346	3	-1
7346	4	-1
7346	5	-1
4145	1	-1
4145	2	-1
4145	3	-1
4145	4	-1
4145	5	-1
4142	1	-1
4142	2	-1
4142	3	-1
4142	4	-1
4142	5	-1
11777	1	-1
11777	2	-1
11777	3	-1
11777	4	-1
11777	5	-1
11777	6	-1
11777	7	-1
11777	8	-1
11777	9	-1
8882	1	-1
8882	2	-1
8882	3	-1
8882	4	1
8882	5	1
8882	6	1
8880	1	-1
8880	2	-1
11775	1	-1
11775	2	-1
11775	3	-1
11775	4	-1
11775	5	-1
11775	6	-1
11775	7	-1
11775	8	-1
11775	9	-1
11775	10	-1
11775	11	-1
11775	12	-1
11775	13	-1
11775	14	-1
11775	15	-1
11775	16	-1
11775	17	-1
11775	18	-1
11775	19	-1
11775	20	-1
11775	21	-1
11775	22	-1
11775	23	-1
11775	24	-1
11775	25	-1
11775	26	-1
11775	27	-1
11160	1	-1
11160	2	-1
7637	1	-1
7637	2	-1
7637	3	-1
11164	1	-1
11164	2	-1
10822	1	-1
10822	2	-1
11340	1	-1
11340	2	-1
11340	3	-1
11341	1	-1
11341	2	-1
11341	3	-1
10353	1	-1
10353	2	-1
10353	3	-1
10324	1	-1
10324	2	-1
11655	1	-1
11655	2	-1
1828	1	-1
1828	2	-1
5057	1	-1
5057	2	-1
4972	1	-1
4972	2	-1
4972	3	-1
4972	4	-1
4972	5	-1
1831	1	-1
1831	2	-1
1123	1	0
1123	2	0
1123	3	2
1123	4	2
10203	1	-1
10203	2	-1
10966	1	-1
10966	2	-1
10966	3	-1
11249	1	-1
11249	2	-1
11251	1	0
11251	2	0
11251	3	2
11251	4	2
10912	1	-1
10912	2	-1
10912	3	-1
10912	4	-1
10912	5	-1
10912	6	-1
10912	7	-1
10912	8	-1
10912	9	-1
10912	10	-1
10912	11	-1
10912	12	-1
10912	13	-1
10912	14	-1
10912	15	-1
10912	16	-1
10912	17	-1
10912	18	-1
10912	19	-1
10912	20	-1
10912	21	-1
10749	1	-1
10749	2	-1
10749	3	-1
10750	1	-1
10750	2	-1
9276	1	-1
9276	2	-1
9276	3	-1
4185	1	-1
4185	2	-1
4185	3	-1
4185	4	-1
4185	5	-1
11653	1	-1
11653	2	-1
11862	1	-1
11862	2	-1
9164	1	-1
9164	2	-1
10006	1	-1
10006	2	-1
10006	3	-1
5071	1	-1
5071	2	-1
5071	3	-1
5071	4	-1
5071	5	-1
7459	1	-1
7459	2	-1
1237	1	0
1237	2	0
11302	1	-1
11302	2	-1
9484	1	-1
9484	2	-1
9484	3	-1
2403	1	1
2403	2	1
9551	1	-1
9551	2	-1
10783	1	-1
10783	2	-1
9818	1	-1
9818	2	-1
11409	1	-1
11409	2	-1
10390	1	-1
10390	2	-1
10391	1	-1
10391	2	-1
10388	1	-1
10388	2	-1
10389	1	-1
10389	2	-1
7256	1	-1
7256	2	-1
4686	1	-1
4686	2	-1
9558	1	-1
9558	2	-1
9554	1	-1
9554	2	-1
9552	1	-1
9552	2	-1
11392	1	-1
11392	2	-1
11392	3	-1
11392	4	-1
11392	5	-1
11392	6	-1
11392	7	-1
11392	8	-1
11392	9	-1
11392	10	-1
11392	11	-1
11392	12	-1
11390	1	-1
11390	2	-1
11390	3	-1
11390	4	-1
11390	5	-1
11391	1	-1
11391	2	-1
11391	3	-1
11391	4	-1
11391	5	-1
11388	1	-1
11388	2	-1
11388	3	-1
11389	1	-1
11389	2	-1
11389	3	-1
11389	4	-1
11389	5	-1
11389	6	-1
11389	7	-1
11389	8	-1
11389	9	-1
11389	10	-1
11386	1	-1
11386	2	-1
11386	3	-1
11386	4	-1
11386	5	-1
11386	6	-1
11386	7	-1
11386	8	-1
11386	9	-1
11386	10	-1
4877	1	-1
4877	2	-1
11372	1	-1
11372	2	-1
11372	3	-1
11372	4	-1
11372	5	-1
11372	6	-1
11372	7	-1
11372	8	-1
10443	1	-1
10443	2	-1
10443	3	-1
10443	4	-1
10446	1	-1
10446	2	-1
7169	1	-1
7169	2	-1
7169	3	-1
7169	4	-1
7169	5	1
7169	6	1
7169	7	1
7169	8	1
7978	1	-1
7978	2	-1
7978	3	-1
7978	4	-1
7978	5	-1
10940	1	-1
10940	2	-1
7986	1	0
7986	2	0
7987	1	-1
7987	2	-1
11942	1	-1
11942	2	-1
11942	3	-1
11942	4	-1
11942	5	1
11942	6	1
11942	7	1
11942	8	1
9808	1	-1
9808	2	-1
10716	1	-1
10716	2	-1
10014	1	-1
10014	2	-1
10718	1	-1
10718	2	-1
8116	1	-1
8116	2	-1
10994	1	-1
10994	2	-1
10994	3	-1
10994	4	-1
10994	5	-1
10994	6	-1
4004	1	-1
4004	2	-1
4004	3	-1
4004	4	-1
4004	5	-1
11363	1	-1
11363	2	-1
11363	3	-1
11363	4	-1
11363	5	-1
11363	6	-1
11363	7	-1
11363	8	-1
11363	9	-1
11374	1	-1
11374	2	-1
11374	3	-1
11374	4	-1
11374	5	-1
11374	6	-1
11374	7	-1
11374	8	-1
10857	1	-1
10857	2	-1
11137	1	-1
11137	2	-1
11139	1	-1
11139	2	-1
10403	1	-1
10403	2	-1
10407	1	-1
10407	2	-1
2755	1	1
2755	2	1
11699	1	-1
11699	2	-1
11699	3	-1
11699	4	-1
11699	5	-1
11700	1	-1
11700	2	-1
11700	3	-1
11703	1	-1
11703	2	-1
11703	3	-1
11703	4	-1
7494	1	-1
7494	2	-1
11591	1	-1
11591	2	-1
11591	3	-1
3096	1	1
3096	2	1
3097	1	-1
3097	2	-1
3099	1	1
3099	2	1
3101	1	1
3101	2	1
3101	3	2
3101	4	2
3102	1	1
3102	2	1
3105	1	1
3105	2	1
3105	3	2
3105	4	2
3105	5	2
2113	1	-1
2113	2	-1
10152	1	-1
10152	2	-1
11040	1	-1
11040	2	-1
11040	3	-1
11041	1	-1
11041	2	-1
11041	3	-1
11041	4	-1
11041	5	-1
6998	1	2
6998	2	2
11043	1	-1
11043	2	-1
11043	3	-1
11044	1	-1
11044	2	-1
11044	3	-1
11045	1	-1
11045	2	-1
7412	1	-1
7412	2	-1
7412	3	-1
7412	4	-1
7412	5	-1
7412	6	-1
7412	7	-1
7412	8	-1
7412	9	-1
7412	10	-1
7412	11	-1
7412	12	-1
7412	13	-1
7412	14	-1
7412	15	-1
7412	16	-1
7412	17	-1
7412	18	-1
7412	19	-1
7412	20	-1
7412	21	-1
7412	22	-1
7412	23	-1
7412	24	-1
7412	25	-1
7412	26	-1
7412	27	-1
7412	28	-1
7412	29	-1
7412	30	-1
7412	31	-1
7412	32	-1
7412	33	-1
7412	34	-1
7412	35	-1
7412	36	-1
7412	37	-1
7412	38	-1
7412	39	-1
7412	40	-1
7412	41	-1
7412	42	-1
7412	43	-1
7412	44	1
7412	45	1
7412	46	1
7412	47	1
7412	48	1
7412	49	1
7412	50	1
7412	51	1
7412	52	1
7412	53	1
7412	54	1
7412	55	1
7412	56	1
7412	57	1
7412	58	1
7412	59	1
7412	60	1
7412	61	1
7412	62	1
7412	63	1
7412	64	1
7412	65	1
7412	66	1
7412	67	1
7412	68	1
7412	69	1
7412	70	1
7412	71	1
7412	72	1
7412	73	1
7412	74	1
7412	75	1
7412	76	1
7412	77	1
7412	78	1
7412	79	1
7412	80	1
7412	81	1
7412	82	1
7412	83	1
7412	84	1
7412	85	1
7412	86	1
7412	87	1
7412	88	1
7412	89	1
7412	90	1
7412	91	1
7412	92	1
7412	93	1
7412	94	1
7412	95	1
7412	96	1
7412	97	1
7412	98	1
7412	99	1
7412	100	1
7412	101	1
7412	102	1
7412	103	1
7412	104	1
7412	105	1
7412	106	1
7412	107	1
7412	108	1
7412	109	1
7412	110	1
7412	111	1
7412	112	1
7412	113	1
7412	114	1
7412	115	1
7412	116	1
7412	117	1
7412	118	1
7412	119	1
7412	120	1
7412	121	1
7412	122	1
7412	123	1
7412	124	1
7412	125	1
7412	126	1
7412	127	1
7412	128	1
7412	129	2
7412	130	2
7412	131	2
7412	132	2
7412	133	2
7412	134	2
7412	135	2
7412	136	2
7412	137	2
7412	138	2
7412	139	2
7412	140	2
7412	141	2
7412	142	2
7412	143	2
7412	144	2
7412	145	2
7412	146	2
7412	147	2
7412	148	2
7412	149	2
7412	150	2
7412	151	2
7412	152	2
7412	153	2
7412	154	2
7412	155	2
7412	156	2
7412	157	2
7412	158	2
7412	159	2
7412	160	2
7412	161	2
7412	162	2
7412	163	2
7412	164	2
7412	165	2
7412	166	2
7412	167	2
7412	168	2
7412	169	2
7412	170	2
7412	171	2
7414	1	-1
7414	2	-1
10379	1	-1
10379	2	-1
10379	3	-1
10379	4	-1
11785	1	-1
11785	2	-1
11785	3	-1
10791	1	-1
10791	2	-1
10791	3	-1
7748	1	-1
7748	2	-1
7748	3	-1
7748	4	1
7748	5	1
7748	6	1
7749	1	-1
7749	2	-1
7749	3	-1
10794	1	-1
10794	2	-1
2581	1	-1
2581	2	-1
11834	1	-1
11834	2	-1
11834	3	-1
10913	1	-1
10913	2	-1
10913	3	-1
10913	4	-1
10913	5	-1
10913	6	-1
10913	7	-1
10913	8	-1
10913	9	-1
10913	10	-1
10913	11	-1
10913	12	-1
10913	13	-1
10913	14	-1
10913	15	-1
10913	16	-1
10913	17	-1
8512	1	-1
8512	2	-1
5513	1	-1
5513	2	-1
2583	1	-1
2583	2	-1
10915	1	-1
10915	2	-1
10915	3	-1
10915	4	-1
10915	5	-1
10915	6	-1
10915	7	-1
10915	8	-1
10915	9	-1
10915	10	-1
10915	11	-1
10915	12	-1
10915	13	-1
10915	14	-1
10915	15	-1
10915	16	-1
10914	1	-1
10914	2	-1
10914	3	-1
10914	4	-1
9677	1	-1
9677	2	-1
10752	1	-1
10752	2	-1
10758	1	-1
10758	2	-1
3318	1	-1
3318	2	-1
10891	1	-1
10891	2	-1
10883	1	-1
10883	2	-1
10889	1	-1
10889	2	-1
11562	1	-1
11562	2	-1
11562	3	-1
11562	4	-1
11563	1	-1
11563	2	-1
11554	1	-1
11554	2	-1
11554	3	-1
11567	1	-1
11567	2	-1
11557	1	-1
11557	2	-1
11558	1	-1
11558	2	-1
11558	3	-1
11558	4	-1
11558	5	-1
11558	6	-1
11558	7	-1
11558	8	-1
11558	9	-1
11559	1	-1
11559	2	-1
11560	1	-1
11560	2	-1
11560	3	-1
10625	1	-1
10625	2	-1
10625	3	-1
10625	4	-1
3261	1	1
3261	2	1
9314	1	-1
9314	2	-1
3143	1	2
3143	2	2
3141	1	-1
3141	2	-1
3141	3	2
3141	4	2
3141	5	2
3140	1	1
3140	2	1
3140	3	2
3140	4	2
3140	5	2
3140	6	2
10819	1	-1
10819	2	-1
11369	1	-1
11369	2	-1
11369	3	-1
11369	4	-1
11369	5	-1
11369	6	-1
11369	7	-1
11369	8	-1
11369	9	-1
11369	10	-1
11369	11	-1
11369	12	-1
11369	13	-1
11369	14	-1
11369	15	-1
11369	16	-1
11369	17	-1
11369	18	-1
11369	19	-1
11369	20	-1
11369	21	-1
11369	22	-1
11369	23	-1
11369	24	-1
11369	25	-1
11369	26	-1
11369	27	-1
11369	28	-1
11369	29	-1
11369	30	-1
11369	31	-1
11369	32	-1
11369	33	-1
11369	34	-1
11369	35	-1
11369	36	-1
11369	37	-1
11369	38	-1
11369	39	-1
11369	40	-1
11369	41	-1
11369	42	-1
11369	43	-1
11369	44	-1
11369	45	-1
11369	46	-1
11369	47	-1
11369	48	-1
11369	49	-1
11369	50	-1
11369	51	-1
11369	52	-1
11369	53	-1
11369	54	-1
11369	55	-1
11369	56	-1
11369	57	-1
11369	58	-1
10206	1	-1
10206	2	-1
3649	1	-1
3649	2	-1
10207	1	-1
10207	2	-1
9890	1	0
9890	2	0
3653	1	-1
3653	2	-1
11496	1	-1
11496	2	-1
9390	1	-1
9390	2	-1
10201	1	-1
10201	2	-1
10201	3	-1
11681	1	-1
11681	2	-1
11774	1	-1
11774	2	-1
11774	3	-1
11774	4	-1
11774	5	-1
11774	6	-1
11774	7	-1
11774	8	-1
11774	9	-1
11774	10	-1
11774	11	-1
11774	12	-1
11774	13	-1
11774	14	-1
11774	15	-1
11774	16	-1
11774	17	-1
11774	18	-1
11774	19	-1
11774	20	-1
11774	21	-1
11774	22	-1
11774	23	-1
11774	24	-1
11774	25	-1
11774	26	-1
11774	27	-1
11774	28	-1
11774	29	-1
11774	30	-1
11774	31	-1
11774	32	-1
11774	33	-1
11774	34	-1
11774	35	-1
11774	36	-1
11774	37	-1
11774	38	-1
11774	39	-1
11774	40	-1
11774	41	-1
11774	42	-1
11774	43	-1
11774	44	-1
11774	45	-1
11774	46	-1
11774	47	-1
11774	48	-1
11774	49	-1
11774	50	-1
11774	51	-1
11774	52	-1
11774	53	-1
11774	54	-1
11774	55	-1
11774	56	-1
11774	57	-1
11575	1	-1
11575	2	-1
10493	1	-1
10493	2	-1
7434	1	-1
7434	2	-1
10653	1	-1
10653	2	-1
10653	3	-1
10491	1	-1
10491	2	-1
11358	1	-1
11358	2	-1
11358	3	-1
11358	4	-1
11358	5	-1
11358	6	-1
11358	7	-1
9837	1	-1
9837	2	-1
11361	1	-1
11361	2	-1
11361	3	-1
11361	4	-1
11361	5	-1
9719	1	-1
9719	2	-1
9717	1	-1
9717	2	-1
9717	3	-1
9717	4	-1
4444	1	-1
4444	2	-1
4444	3	-1
4444	4	-1
4444	5	-1
4445	1	-1
4445	2	-1
4445	3	-1
4445	4	-1
4445	5	-1
3172	1	2
3172	2	2
3172	3	2
3173	1	-1
3173	2	-1
4448	1	-1
4448	2	-1
4448	3	-1
4448	4	-1
4448	5	-1
3175	1	0
3175	2	0
3168	1	2
3168	2	2
8879	1	-1
8879	2	-1
3170	1	-1
3170	2	-1
3170	3	2
3170	4	2
3171	1	1
3171	2	1
3171	3	2
3171	4	2
5134	1	1
5134	2	1
5134	3	1
5133	1	1
5133	2	1
5133	3	1
5133	4	1
5133	5	1
5133	6	1
1935	1	-1
1935	2	-1
8621	1	-1
8621	2	-1
8621	3	-1
8621	4	1
8621	5	1
8621	6	1
11056	1	-1
11056	2	-1
5343	1	-1
5343	2	-1
11261	1	-1
11261	2	-1
11259	1	-1
11259	2	-1
11259	3	-1
11259	4	-1
11259	5	-1
11259	6	-1
11259	7	1
11259	8	1
11259	9	1
11259	10	1
11257	1	-1
11257	2	-1
10436	1	-1
10436	2	-1
8728	1	-1
8728	2	-1
8728	3	-1
8727	1	-1
8727	2	-1
8727	3	-1
10437	1	-1
10437	2	-1
4405	1	0
4405	2	0
4405	3	0
10438	1	-1
10438	2	-1
3756	1	1
3756	2	1
8985	1	-1
8985	2	-1
8985	3	-1
8985	4	1
8985	5	1
8985	6	1
10541	1	-1
10541	2	-1
3274	1	-1
3274	2	-1
9748	1	-1
9748	2	-1
9748	3	-1
11729	1	-1
11729	2	-1
11729	3	-1
11729	4	1
11729	5	1
11729	6	1
10241	1	-1
10241	2	-1
10241	3	-1
3425	1	1
3425	2	1
10418	1	-1
10418	2	-1
4002	1	2
4002	2	2
3080	1	2
3080	2	2
4001	1	-1
4001	2	-1
4001	3	-1
4001	4	-1
4001	5	-1
4001	6	1
4001	7	1
4001	8	1
4001	9	1
4001	10	1
4001	11	2
4001	12	2
4001	13	2
4001	14	2
4001	15	2
4000	1	-1
4000	2	-1
4000	3	-1
4000	4	-1
4000	5	-1
4000	6	1
4000	7	1
4000	8	1
4000	9	2
4000	10	2
4000	11	2
7943	1	-1
7943	2	-1
8168	1	-1
8168	2	-1
12041	1	-1
12041	2	-1
4150	1	-1
4150	2	-1
4150	3	-1
4150	4	-1
4150	5	-1
4150	6	-1
7558	1	-1
7558	2	-1
7559	1	-1
7559	2	-1
403	1	1
403	2	1
403	3	1
403	4	1
403	5	1
9527	1	-1
9527	2	-1
9527	3	-1
3152	1	2
3152	2	2
11461	1	-1
11461	2	-1
10782	1	-1
10782	2	-1
10782	3	-1
10782	4	-1
10782	5	-1
11828	1	-1
11828	2	-1
11828	3	-1
11828	4	-1
