date_hour	count	rating
7402	1	-1
7402	2	-1
9926	1	-1
9926	2	-1
9926	3	-1
8911	1	-1
8911	2	-1
3907	1	0
3907	2	0
3907	3	0
2709	1	-1
2709	2	-1
2272	1	-1
2272	2	-1
8887	1	-1
8887	2	-1
11169	1	-1
11169	2	-1
11169	3	1
11169	4	1
11455	1	-1
11455	2	-1
7640	1	-1
7640	2	-1
4346	1	-1
4346	2	-1
4346	3	-1
4346	4	-1
4346	5	-1
4346	6	1
4346	7	1
4346	8	1
4346	9	1
4346	10	1
4346	11	1
4346	12	1
4346	13	1
4346	14	1
11457	1	-1
11457	2	-1
11456	1	-1
11456	2	-1
7423	1	-1
7423	2	-1
10208	1	-1
10208	2	-1
10209	1	-1
10209	2	-1
10351	1	-1
10351	2	-1
7999	1	-1
7999	2	-1
7999	3	-1
7999	4	-1
7999	5	-1
3818	1	-1
3818	2	-1
11863	1	-1
11863	2	-1
5067	1	0
5067	2	0
5067	3	0
5067	4	2
5067	5	2
5067	6	2
10711	1	-1
10711	2	-1
5210	1	-1
5210	2	-1
4099	1	-1
4099	2	-1
4099	3	-1
4099	4	0
4099	5	0
4099	6	0
9486	1	-1
9486	2	-1
10495	1	-1
10495	2	-1
7036	1	-1
7036	2	-1
4688	1	2
4688	2	2
4688	3	2
3527	1	-1
3527	2	-1
8961	1	-1
8961	2	-1
1173	1	-1
1173	2	-1
4685	1	2
4685	2	2
4685	3	2
8768	1	-1
8768	2	-1
9229	1	-1
9229	2	-1
4045	1	-1
4045	2	-1
4049	1	-1
4049	2	-1
4049	3	-1
4049	4	-1
4049	5	-1
4046	1	-1
4046	2	-1
11947	1	-1
11947	2	-1
4813	1	-1
4813	2	-1
4813	3	-1
4813	4	-1
4813	5	-1
8493	1	-1
8493	2	-1
8493	3	-1
8493	4	-1
8493	5	-1
8317	1	-1
8317	2	-1
8317	3	-1
4626	1	1
4626	2	1
4626	3	1
4626	4	2
4626	5	2
4626	6	2
4487	1	1
4487	2	1
4487	3	1
4487	4	1
4487	5	1
8118	1	-1
8118	2	-1
7135	1	-1
7135	2	-1
7135	3	-1
3576	1	-1
3576	2	-1
11144	1	-1
11144	2	-1
7672	1	-1
7672	2	-1
11700	1	1
11700	2	1
7495	1	-1
7495	2	-1
7903	1	-1
7903	2	-1
7901	1	-1
7901	2	-1
7901	3	-1
1378	1	-1
1378	2	-1
10160	1	-1
10160	2	-1
10158	1	-1
10158	2	-1
10158	3	-1
9200	1	-1
9200	2	-1
7090	1	-1
7090	2	-1
11048	1	-1
11048	2	-1
11048	3	-1
4108	1	1
4108	2	1
7639	1	-1
7639	2	-1
9102	1	-1
9102	2	-1
9102	3	-1
8513	1	-1
8513	2	-1
8513	3	-1
8513	4	-1
10688	1	-1
10688	2	-1
4178	1	-1
4178	2	-1
4178	3	-1
4178	4	-1
4178	5	-1
10760	1	-1
10760	2	-1
10760	3	-1
9679	1	-1
9679	2	-1
9248	1	-1
9248	2	-1
9248	3	-1
9249	1	-1
9249	2	-1
9242	1	0
9242	2	0
9242	3	1
9242	4	1
8756	1	-1
8756	2	-1
5417	1	-1
5417	2	-1
11558	1	-1
