date_hour	count	rating
9509	1	1
9509	2	1
9509	3	1
9509	4	1
9509	5	1
9509	6	1
9509	7	1
9509	8	1
9509	9	1
9509	10	1
9509	11	1
9509	12	1
9509	13	1
9509	14	1
9509	15	1
9232	1	1
9232	2	1
5977	1	1
5977	2	1
5129	1	1
5129	2	1
5129	3	1
5129	4	1
5129	5	1
5129	6	1
5129	7	2
5129	8	2
5129	9	2
5129	10	2
5129	11	2
3953	1	1
3953	2	1
3953	3	2
3953	4	2
3953	5	2
3953	6	2
11050	1	-1
11050	2	-1
11050	3	-1
5455	1	1
5455	2	1
5455	3	2
5455	4	2
5162	1	1
5162	2	1
5162	3	2
5162	4	2
5162	5	2
2184	1	1
2184	2	1
4864	1	2
4864	2	2
4864	3	2
4864	4	2
4864	5	2
4864	6	2
4864	7	2
5414	1	1
5414	2	1
3438	1	0
3438	2	0
9383	1	1
9383	2	1
9383	3	1
9383	4	1
9383	5	1
9383	6	1
9383	7	1
9383	8	1
9383	9	1
9383	10	1
9383	11	1
9383	12	1
9383	13	1
9383	14	1
9383	15	1
9383	16	1
9383	17	1
9383	18	1
9383	19	1
9383	20	1
9383	21	1
9383	22	1
9383	23	1
9383	24	1
9383	25	1
9383	26	1
9383	27	1
9383	28	1
9383	29	1
9383	30	1
9383	31	1
5004	1	0
5004	2	0
5004	3	0
5413	1	1
5413	2	1
5413	3	2
5413	4	2
5413	5	2
5413	6	2
9343	1	-1
9343	2	-1
11925	1	-1
11925	2	-1
10249	1	1
10249	2	1
10249	3	1
667	1	1
667	2	1
667	3	1
4507	1	1
4507	2	1
4507	3	1
4507	4	2
4507	5	2
4507	6	2
4507	7	2
4507	8	2
4524	1	1
4524	2	1
4524	3	1
4524	4	1
4524	5	1
7740	1	1
7740	2	1
7740	3	1
7740	4	1
7740	5	1
5502	1	1
5502	2	1
5502	3	2
5502	4	2
4529	1	0
4529	2	0
4529	3	1
4529	4	1
4529	5	1
4529	6	2
4529	7	2
4529	8	2
4529	9	2
4529	10	2
2871	1	-1
2871	2	-1
2871	3	0
2871	4	0
5130	1	1
5130	2	1
4596	1	0
4596	2	0
4681	1	1
4681	2	1
5009	1	0
5009	2	0
4482	1	-1
4482	2	-1
3835	1	1
3835	2	1
3835	3	2
3835	4	2
3811	1	1
3811	2	1
4157	1	1
4157	2	1
4157	3	1
4157	4	2
4157	5	2
4157	6	2
5415	1	1
5415	2	1
5415	3	2
5415	4	2
5415	5	2
757	1	1
757	2	1
757	3	1
757	4	1
757	5	1
757	6	1
757	7	1
7742	1	1
7742	2	1
7742	3	1
3388	1	0
3388	2	0
5475	1	1
5475	2	1
5475	3	2
5475	4	2
5475	5	2
5128	1	-1
5128	2	-1
4513	1	1
4513	2	1
4513	3	1
4513	4	2
4513	5	2
4513	6	2
4513	7	2
4513	8	2
3378	1	1
3378	2	1
692	1	1
692	2	1
692	3	1
692	4	1
692	5	1
7623	1	1
7623	2	1
7623	3	1
7623	4	1
7623	5	1
3375	1	0
3375	2	0
3228	1	1
3228	2	1
4669	1	1
4669	2	1
4668	1	2
4668	2	2
4668	3	2
4668	4	2
4668	5	2
7919	1	1
7919	2	1
7283	1	1
7283	2	1
7283	3	1
7283	4	1
7283	5	1
7205	1	-1
7205	2	-1
4509	1	1
4509	2	1
4509	3	1
4509	4	1
4509	5	1
2180	1	1
2180	2	1
670	1	1
670	2	1
670	3	1
670	4	1
670	5	1
670	6	1
670	7	1
2534	1	2
2534	2	2
4512	1	2
4512	2	2
4512	3	2
4512	4	2
4512	5	2
3974	1	1
3974	2	1
3974	3	1
2584	1	2
2584	2	2
2584	3	2
2584	4	2
2584	5	2
2584	6	2
2584	7	2
3973	1	1
3973	2	1
4647	1	1
4647	2	1
4647	3	1
4647	4	1
4647	5	1
4647	6	1
4647	7	1
4647	8	2
4647	9	2
4647	10	2
4647	11	2
4647	12	2
4647	13	2
4647	14	2
4358	1	0
4358	2	0
4358	3	1
4358	4	1
4290	1	0
4290	2	0
4290	3	0
4290	4	1
4290	5	1
4290	6	1
9183	1	-1
9183	2	-1
11706	1	-1
11706	2	-1
2514	1	2
2514	2	2
2514	3	2
2514	4	2
2514	5	2
2514	6	2
2514	7	2
7663	1	0
7663	2	0
