date_hour	count	rating
7583	1	-1
7583	2	-1
9263	1	-1
9263	2	-1
9263	3	-1
9599	1	-1
9599	2	-1
8622	1	-1
8622	2	-1
8905	1	-1
8905	2	-1
8905	3	-1
7417	1	-1
7417	2	-1
7417	3	-1
8736	1	-1
8736	2	-1
11665	1	-1
11665	2	-1
2924	1	2
2924	2	2
2924	3	2
8704	1	-1
8704	2	-1
8704	3	-1
11320	1	-1
11320	2	-1
11257	1	-1
11257	2	-1
9361	1	-1
9361	2	-1
9361	3	-1
11233	1	-1
11233	2	-1
10318	1	-1
10318	2	-1
10652	1	-1
10652	2	-1
8901	1	-1
8901	2	-1
8901	3	-1
8202	1	-1
8202	2	-1
1950	1	2
1950	2	2
1950	3	2
1950	4	2
8875	1	-1
8875	2	-1
8875	3	-1
8874	1	-1
8874	2	-1
8874	3	-1
7445	1	-1
7445	2	-1
7445	3	-1
10968	1	-1
10968	2	-1
8976	1	-1
8976	2	-1
7441	1	-1
7441	2	-1
9745	1	-1
9745	2	-1
7632	1	-1
7632	2	-1
8870	1	-1
8870	2	-1
8870	3	-1
7320	1	-1
7320	2	-1
9936	1	-1
9936	2	-1
7325	1	1
7325	2	1
7325	3	1
7325	4	1
7325	5	1
11134	1	-1
11134	2	-1
10200	1	-1
10200	2	-1
10201	1	-1
10201	2	-1
7391	1	-1
7391	2	-1
11282	1	-1
11282	2	-1
7992	1	-1
7992	2	-1
8831	1	-1
8831	2	-1
11574	1	-1
11574	2	-1
9097	1	-1
9097	2	-1
11037	1	-1
11037	2	-1
10031	1	-1
10031	2	-1
7200	1	-1
7200	2	-1
7200	3	-1
8256	1	-1
8256	2	-1
11200	1	-1
11200	2	-1
8184	1	-1
8184	2	-1
7699	1	1
7699	2	1
7699	3	1
8232	1	-1
8232	2	-1
4378	1	-1
4378	2	-1
4378	3	-1
11923	1	-1
11923	2	-1
11858	1	-1
11858	2	-1
7193	1	-1
7193	2	-1
8970	1	-1
8970	2	-1
11905	1	-1
11905	2	-1
10337	1	1
10337	2	1
10337	3	1
8615	1	-1
8615	2	-1
11473	1	-1
11473	2	-1
9481	1	-1
9481	2	-1
8864	1	2
8864	2	2
8864	3	2
10776	1	-1
10776	2	-1
9624	1	-1
9624	2	-1
9990	1	-1
9990	2	-1
9649	1	-1
9649	2	-1
9551	1	-1
9551	2	-1
10416	1	-1
10416	2	-1
10416	3	-1
11279	1	-1
11279	2	-1
11006	1	-1
11006	2	-1
6917	1	-1
6917	2	-1
7973	1	-1
7973	2	-1
11159	1	-1
11159	2	-1
9221	1	-1
9221	2	-1
11252	1	-1
11252	2	-1
11299	1	-1
11299	2	-1
9026	1	-1
9026	2	-1
11688	1	-1
11688	2	-1
7216	1	-1
7216	2	-1
8953	1	-1
8953	2	-1
10679	1	-1
10679	2	-1
10678	1	-1
10678	2	-1
2345	1	-1
2345	2	-1
7177	1	-1
7177	2	-1
10389	1	-1
10389	2	-1
7681	1	-1
7681	2	-1
3486	1	-1
3486	2	-1
10536	1	-1
10536	2	-1
9840	1	-1
9840	2	-1
10321	1	-1
