date_hour	count	rating
9586	1	-1
9586	2	-1
9586	3	-1
9263	1	-1
9263	2	-1
1082	1	-1
1082	2	-1
8338	1	-1
8338	2	-1
8338	3	-1
1931	1	-1
1931	2	-1
8625	1	1
8625	2	1
8831	1	1
8831	2	1
8831	3	1
8831	4	1
8831	5	1
8831	6	1
8831	7	1
8831	8	1
8831	9	1
8831	10	1
8831	11	1
8831	12	1
8831	13	1
8831	14	1
8831	15	1
8831	16	1
8831	17	1
8831	18	1
8831	19	1
8831	20	1
8831	21	1
8831	22	1
8831	23	1
8831	24	1
8831	25	1
8831	26	1
8831	27	1
3624	1	1
3624	2	1
9803	1	-1
9803	2	-1
11317	1	-1
11317	2	-1
9368	1	-1
9368	2	-1
8698	1	-1
8698	2	-1
11314	1	-1
11314	2	-1
8002	1	-1
8002	2	-1
10214	1	-1
10214	2	-1
3903	1	1
3903	2	1
3017	1	-1
3017	2	-1
8722	1	-1
8722	2	-1
11587	1	-1
11587	2	-1
11587	3	-1
11587	4	-1
11587	5	-1
9273	1	1
9273	2	1
9273	3	1
9273	4	1
9273	5	1
9273	6	1
9273	7	1
9273	8	1
9273	9	1
9273	10	1
9273	11	1
9273	12	1
9273	13	1
9273	14	1
9273	15	1
9273	16	1
9273	17	1
9273	18	1
9273	19	1
9273	20	1
9273	21	1
9273	22	1
9273	23	1
9273	24	1
9273	25	1
9273	26	1
9269	1	1
9269	2	1
9269	3	1
9269	4	1
9269	5	1
9269	6	1
9269	7	1
9269	8	1
9269	9	1
9269	10	1
9269	11	1
9269	12	1
9269	13	1
9269	14	1
9269	15	1
9269	16	1
9269	17	1
9269	18	1
9269	19	1
9269	20	1
9269	21	1
9269	22	1
9269	23	1
9269	24	1
9269	25	1
9269	26	1
9269	27	1
9269	28	1
9269	29	1
9269	30	1
9269	31	1
9269	32	1
9269	33	1
9269	34	1
9269	35	1
9269	36	1
9269	37	1
9269	38	1
9269	39	1
9269	40	1
9269	41	1
9269	42	1
9269	43	1
9269	44	1
9269	45	1
9269	46	1
9269	47	1
9269	48	1
9269	49	1
9269	50	1
9269	51	1
9269	52	1
9269	53	1
9270	1	1
9270	2	1
9270	3	1
9270	4	1
9270	5	1
9270	6	1
9270	7	1
9270	8	1
9270	9	1
9270	10	1
9270	11	1
9270	12	1
9270	13	1
9270	14	1
9270	15	1
9270	16	1
9270	17	1
9270	18	1
9270	19	1
9270	20	1
9270	21	1
9270	22	1
9270	23	1
9270	24	1
9270	25	1
9270	26	1
9270	27	1
9270	28	1
9270	29	1
9270	30	1
9270	31	1
9270	32	1
9270	33	1
9270	34	1
9270	35	1
9270	36	1
9270	37	1
9270	38	1
9270	39	1
9270	40	1
9270	41	1
9270	42	1
9270	43	1
9270	44	1
9270	45	1
9270	46	1
9264	1	-1
9264	2	-1
3827	1	-1
3827	2	-1
8169	1	-1
8169	2	-1
1281	1	1
1281	2	1
1281	3	1
4930	1	-1
4930	2	-1
4930	3	-1
4930	4	-1
4930	5	-1
1261	1	-1
1261	2	-1
3834	1	-1
3834	2	-1
11890	1	-1
11890	2	-1
8985	1	-1
8985	2	-1
3278	1	-1
3278	2	-1
3274	1	-1
3274	2	-1
9490	1	-1
9490	2	-1
9490	3	-1
4345	1	-1
4345	2	-1
4345	3	-1
4345	4	-1
4345	5	-1
949	1	-1
949	2	-1
5475	1	-1
5475	2	-1
887	1	1
887	2	1
887	3	2
887	4	2
1118	1	-1
1118	2	-1
1119	1	-1
1119	2	-1
7323	1	1
7323	2	1
11914	1	-1
11914	2	-1
7329	1	-1
7329	2	-1
7042	1	-1
7042	2	-1
3308	1	1
3308	2	1
3308	3	2
3308	4	2
7354	1	-1
7354	2	-1
7354	3	-1
1706	1	-1
1706	2	-1
8714	1	1
8714	2	1
8714	3	1
8714	4	1
8714	5	1
8714	6	1
8714	7	1
8714	8	1
8714	9	1
8714	10	1
8714	11	1
8714	12	1
8714	13	1
8714	14	1
8714	15	1
8714	16	1
8714	17	1
8714	18	1
8714	19	1
8714	20	1
8714	21	1
8714	22	1
1710	1	-1
1710	2	-1
10413	1	1
10413	2	1
3701	1	-1
3701	2	-1
7666	1	-1
7666	2	-1
7666	3	-1
1558	1	-1
1558	2	-1
1256	1	1
1256	2	1
1257	1	1
1257	2	1
10306	1	-1
10306	2	-1
9274	1	1
9274	2	1
9274	3	1
3824	1	-1
3824	2	-1
1249	1	1
1249	2	1
1252	1	1
1252	2	1
1255	1	1
1255	2	1
4094	1	-1
4094	2	-1
9345	1	-1
9345	2	-1
11204	1	1
11204	2	1
11204	3	1
11204	4	1
11204	5	1
11204	6	1
11204	7	1
11204	8	1
11204	9	1
11204	10	1
11204	11	1
11204	12	1
10334	1	-1
10334	2	-1
11830	1	1
11830	2	1
11830	3	1
11830	4	1
11830	5	1
11830	6	1
11830	7	1
11830	8	1
11830	9	1
11830	10	1
11830	11	1
11830	12	1
11830	13	1
11830	14	1
11830	15	1
8989	1	-1
8989	2	-1
7454	1	-1
7454	2	-1
7454	3	-1
10079	1	1
10079	2	1
10079	3	1
10079	4	1
10079	5	1
10079	6	1
10079	7	1
10079	8	1
11848	1	-1
11848	2	-1
8865	1	-1
8865	2	-1
3426	1	-1
3426	2	-1
11578	1	-1
11578	2	-1
3954	1	-1
3954	2	-1
1248	1	1
1248	2	1
12015	1	-1
12015	2	-1
3090	1	-1
3090	2	-1
1702	1	-1
1702	2	-1
9633	1	-1
9633	2	-1
8841	1	-1
8841	2	-1
1622	1	-1
1622	2	-1
6917	1	-1
6917	2	-1
9383	1	1
9383	2	1
9383	3	1
9383	4	1
9383	5	1
9383	6	1
9383	7	1
9383	8	1
9383	9	1
9383	10	1
9383	11	1
9383	12	1
9383	13	1
9383	14	1
9383	15	1
9383	16	1
9383	17	1
9383	18	1
9383	19	1
9383	20	1
9383	21	1
9383	22	1
9383	23	1
9383	24	1
9383	25	1
9383	26	1
9383	27	1
9383	28	1
9383	29	1
9383	30	1
9383	31	1
10018	1	-1
10018	2	-1
7714	1	-1
7714	2	-1
11534	1	-1
11534	2	-1
11534	3	-1
8933	1	1
8933	2	1
8933	3	1
8933	4	1
8933	5	1
8933	6	1
8933	7	1
8933	8	1
8933	9	1
