date_hour	count	rating
2827	1	-1
2827	2	-1
2854	1	-1
2854	2	-1
9548	1	-1
9548	2	-1
7067	1	1
7067	2	1
7067	3	1
7067	4	1
7067	5	1
3090	1	1
3090	2	1
3090	3	2
3090	4	2
9670	1	-1
9670	2	-1
1837	1	1
1837	2	1
11671	1	0
11671	2	0
4551	1	-1
4551	2	-1
4551	3	-1
11369	1	1
11369	2	1
11369	3	2
11369	4	2
10319	1	1
10319	2	1
10319	3	2
10319	4	2
9687	1	1
9687	2	1
9687	3	2
9687	4	2
758	1	-1
758	2	-1
758	3	-1
758	4	1
758	5	1
758	6	1
8798	1	-1
8798	2	-1
1226	1	0
1226	2	0
11931	1	1
11931	2	1
11931	3	2
11931	4	2
7320	1	1
7320	2	1
7320	3	1
11990	1	1
11990	2	1
11990	3	1
10528	1	1
10528	2	1
10528	3	2
10528	4	2
9450	1	0
9450	2	0
9871	1	0
9871	2	0
1746	1	1
1746	2	1
1746	3	1
9741	1	0
9741	2	0
12041	1	1
12041	2	1
12041	3	2
12041	4	2
4780	1	1
4780	2	1
4780	3	1
4109	1	-1
4109	2	-1
4109	3	-1
4109	4	1
4109	5	1
4109	6	1
10028	1	1
10028	2	1
10028	3	2
10028	4	2
9331	1	1
9331	2	1
10686	1	0
10686	2	0
10686	3	0
7909	1	1
7909	2	1
7909	3	1
4177	1	-1
4177	2	-1
4177	3	-1
9294	1	0
9294	2	0
5012	1	2
5012	2	2
5012	3	2
10985	1	1
10985	2	1
10985	3	1
10985	4	1
10985	5	1
