date_hour	count	rating
5905	1	0
5905	2	0
4308	1	1
4308	2	1
1082	1	2
1082	2	2
1082	3	2
3615	1	1
3615	2	1
1080	1	2
1080	2	2
1080	3	2
1081	1	2
1081	2	2
1081	3	2
11509	1	1
11509	2	1
10518	1	-1
10518	2	-1
10518	3	-1
3784	1	1
3784	2	1
11554	1	1
11554	2	1
1463	1	2
1463	2	2
1463	3	2
4789	1	0
4789	2	0
4789	3	0
4789	4	0
4789	5	0
8702	1	0
8702	2	0
8702	3	1
8702	4	1
8833	1	1
8833	2	1
8724	1	0
8724	2	0
8724	3	0
8724	4	1
8724	5	1
8724	6	1
8724	7	1
8724	8	1
7212	1	1
7212	2	1
8503	1	-1
8503	2	-1
8661	1	0
8661	2	0
10658	1	1
10658	2	1
2341	1	0
2341	2	0
2341	3	1
2341	4	1
7554	1	-1
7554	2	-1
7554	3	-1
9341	1	-1
9341	2	-1
7495	1	-1
7495	2	-1
7308	1	1
7308	2	1
10350	1	-1
10350	2	-1
10653	1	-1
10653	2	-1
10653	3	-1
7099	1	0
7099	2	0
11557	1	1
11557	2	1
357	1	1
357	2	1
7462	1	0
7462	2	0
7140	1	1
7140	2	1
4049	1	0
4049	2	0
7092	1	1
7092	2	1
3589	1	1
3589	2	1
1560	1	-1
1560	2	-1
1560	3	2
1560	4	2
3349	1	1
3349	2	1
7574	1	-1
7574	2	-1
7574	3	-1
8464	1	-1
8464	2	-1
5124	1	0
5124	2	0
5124	3	0
5124	4	1
5124	5	1
5124	6	1
3417	1	1
3417	2	1
3182	1	1
3182	2	1
11125	1	1
11125	2	1
1075	1	2
1075	2	2
1075	3	2
8751	1	1
8751	2	1
11966	1	0
11966	2	0
11966	3	1
11966	4	1
5622	1	1
5622	2	1
5622	3	1
4670	1	0
4670	2	0
4670	3	0
4670	4	0
4670	5	0
3896	1	1
3896	2	1
3896	3	1
3896	4	1
3896	5	1
2079	1	1
2079	2	1
8591	1	0
8591	2	0
9005	1	-1
9005	2	-1
9853	1	2
9853	2	2
9853	3	2
7260	1	0
7260	2	0
7260	3	1
7260	4	1
4622	1	0
4622	2	0
7999	1	-1
7999	2	-1
11711	1	0
11711	2	0
11711	3	0
11711	4	0
11711	5	0
11711	6	0
11711	7	0
11711	8	0
11711	9	0
11711	10	0
11711	11	0
11711	12	0
11711	13	0
11711	14	0
11711	15	0
11711	16	0
11711	17	0
11711	18	0
11711	19	0
11711	20	0
11711	21	0
11711	22	0
11711	23	1
11711	24	1
11711	25	1
11711	26	1
11711	27	1
11711	28	1
11711	29	1
11711	30	1
11711	31	1
11711	32	1
11711	33	1
11711	34	1
11711	35	1
11711	36	1
11711	37	1
11711	38	1
11711	39	1
11711	40	1
11711	41	1
11711	42	1
11711	43	1
11711	44	1
7088	1	1
7088	2	1
8991	1	1
8991	2	1
4716	1	1
4716	2	1
4716	3	1
4716	4	1
4716	5	1
7626	1	-1
7626	2	-1
7131	1	0
7131	2	0
2773	1	1
2773	2	1
1077	1	2
1077	2	2
1077	3	2
1077	4	2
1077	5	2
1077	6	2
1077	7	2
2728	1	1
2728	2	1
