date_hour	count	rating
9757	1	-1
9757	2	-1
9902	1	-1
9902	2	-1
9922	1	-1
9922	2	-1
9898	1	-1
9898	2	-1
10034	1	-1
10034	2	-1
9946	1	-1
9946	2	-1
4741	1	2
4741	2	2
4741	3	2
4741	4	2
4268	1	0
4268	2	0
4268	3	0
4268	4	0
4268	5	0
4268	6	0
4268	7	0
4268	8	0
4268	9	0
4268	10	1
4268	11	1
4268	12	1
9611	1	-1
9611	2	-1
1658	1	2
1658	2	2
1658	3	2
9730	1	-1
9730	2	-1
9658	1	-1
9658	2	-1
10090	1	-1
10090	2	-1
4995	1	2
4995	2	2
4995	3	2
3503	1	-1
3503	2	-1
3503	3	-1
3503	4	2
3503	5	2
3503	6	2
9834	1	-1
9834	2	-1
10066	1	-1
10066	2	-1
9778	1	-1
9778	2	-1
9706	1	-1
9706	2	-1
9682	1	-1
9682	2	-1
9970	1	-1
9970	2	-1
10138	1	-1
10138	2	-1
1216	1	2
1216	2	2
1216	3	2
1049	1	2
1049	2	2
1049	3	2
10187	1	-1
10187	2	-1
9873	1	-1
9873	2	-1
9586	1	-1
9586	2	-1
1321	1	2
1321	2	2
1321	3	2
10042	1	-1
10042	2	-1
9994	1	-1
9994	2	-1
2558	1	0
2558	2	0
2558	3	1
2558	4	1
1536	1	-1
1536	2	-1
1672	1	2
1672	2	2
1672	3	2
9801	1	-1
9801	2	-1
10114	1	-1
10114	2	-1
9562	1	1
9562	2	1
9562	3	1
9580	1	-1
9580	2	-1
9582	1	-1
9582	2	-1
9582	3	-1
9582	4	-1
9583	1	1
9583	2	1
9583	3	1
9623	1	-1
9623	2	-1
10162	1	-1
10162	2	-1
