date_hour	count	rating
4004	1	2
4004	2	2
4004	3	2
4004	4	2
1063	1	1
1063	2	1
8625	1	0
8625	2	0
8625	3	0
3019	1	1
3019	2	1
3019	3	1
9669	1	1
9669	2	1
9669	3	1
9669	4	1
9669	5	1
1110	1	1
1110	2	1
1110	3	2
1110	4	2
9671	1	2
9671	2	2
9671	3	2
9671	4	2
9670	1	0
9670	2	0
9670	3	1
9670	4	1
9670	5	2
9670	6	2
8007	1	2
8007	2	2
8007	3	2
8007	4	2
1835	1	2
1835	2	2
8722	1	2
8722	2	2
8011	1	1
8011	2	1
8011	3	1
8727	1	2
8727	2	2
8727	3	2
11265	1	2
11265	2	2
11265	3	2
9271	1	2
9271	2	2
9271	3	2
1953	1	2
1953	2	2
1953	3	2
11887	1	2
11887	2	2
11887	3	2
8622	1	0
8622	2	0
8622	3	0
8622	4	0
8622	5	0
8622	6	0
8622	7	0
11050	1	2
11050	2	2
11050	3	2
11869	1	2
11869	2	2
11869	3	2
11869	4	2
11869	5	2
11869	6	2
11868	1	2
11868	2	2
11868	3	2
11868	4	2
11868	5	2
9007	1	2
9007	2	2
9007	3	2
9007	4	2
9007	5	2
9007	6	2
9007	7	2
9007	8	2
9007	9	2
9007	10	2
9007	11	2
9007	12	2
9007	13	2
9007	14	2
9007	15	2
9007	16	2
9007	17	2
9007	18	2
9007	19	2
9007	20	2
9007	21	2
3274	1	1
3274	2	1
9572	1	2
9572	2	2
9750	1	2
9750	2	2
9750	3	2
9750	4	2
9750	5	2
9750	6	2
9750	7	2
7637	1	1
7637	2	1
7637	3	1
11506	1	2
11506	2	2
11506	3	2
8871	1	1
8871	2	1
11482	1	2
11482	2	2
1745	1	2
1745	2	2
1745	3	2
7046	1	2
7046	2	2
7046	3	2
7043	1	1
7043	2	1
7043	3	2
7043	4	2
7044	1	2
7044	2	2
7044	3	2
8717	1	2
8717	2	2
8717	3	2
8717	4	2
8717	5	2
8718	1	2
8718	2	2
8718	3	2
8719	1	2
8719	2	2
8719	3	2
11286	1	2
11286	2	2
11286	3	2
4397	1	1
4397	2	1
4397	3	1
4397	4	2
4397	5	2
4397	6	2
8720	1	2
8720	2	2
9374	1	2
9374	2	2
9374	3	2
10470	1	0
10470	2	0
8261	1	2
8261	2	2
3821	1	1
3821	2	1
3800	1	2
3800	2	2
5070	1	2
5070	2	2
5070	3	2
5070	4	2
5070	5	2
5070	6	2
9967	1	2
9967	2	2
11171	1	2
11171	2	2
11171	3	2
7661	1	2
7661	2	2
7661	3	2
7661	4	2
7661	5	2
7661	6	2
7662	1	2
7662	2	2
4308	1	0
4308	2	0
4308	3	0
4308	4	0
4308	5	0
4308	6	0
3040	1	1
3040	2	1
10423	1	2
10423	2	2
10423	3	2
7037	1	1
7037	2	1
7037	3	1
7037	4	2
7037	5	2
7037	6	2
7037	7	2
7037	8	2
7037	9	2
7037	10	2
7037	11	2
7037	12	2
7037	13	2
7037	14	2
7037	15	2
8069	1	2
8069	2	2
9703	1	2
9703	2	2
9703	3	2
9703	4	2
9703	5	2
9703	6	2
9703	7	2
6917	1	2
6917	2	2
6917	3	2
6917	4	2
6917	5	2
6917	6	2
6917	7	2
7718	1	1
7718	2	1
10025	1	2
10025	2	2
4566	1	2
4566	2	2
4566	3	2
11089	1	-1
11089	2	-1
7743	1	0
7743	2	0
11095	1	1
11095	2	1
10481	1	0
10481	2	0
9674	1	2
9674	2	2
9674	3	2
9674	4	2
4082	1	1
4082	2	1
4082	3	1
4082	4	1
4082	5	2
4082	6	2
4082	7	2
