date_hour	count	rating
9928	1	-1
9928	2	-1
11541	1	0
11541	2	0
11541	3	0
11805	1	0
11805	2	0
11844	1	0
11844	2	0
9883	1	0
9883	2	0
10005	1	-1
10005	2	-1
4504	1	-1
4504	2	-1
7348	1	0
7348	2	0
7348	3	0
9494	1	-1
9494	2	-1
8249	1	0
8249	2	0
4143	1	-1
4143	2	-1
4143	3	-1
4143	4	0
4143	5	0
4143	6	0
10413	1	0
10413	2	0
4936	1	-1
4936	2	-1
4936	3	-1
4936	4	0
4936	5	0
4936	6	0
11776	1	0
11776	2	0
10794	1	0
10794	2	0
7640	1	1
7640	2	1
2296	1	0
2296	2	0
7639	1	1
7639	2	1
7639	3	1
7639	4	1
7639	5	1
7639	6	1
7639	7	1
7639	8	1
7639	9	1
7639	10	1
7639	11	1
7639	12	1
7639	13	1
7639	14	1
3594	1	-1
3594	2	-1
11339	1	0
11339	2	0
11340	1	0
11340	2	0
11341	1	0
11341	2	0
5058	1	0
5058	2	0
11346	1	0
11346	2	0
11346	3	0
1075	1	0
1075	2	0
8750	1	0
8750	2	0
3451	1	0
3451	2	0
9043	1	-1
9043	2	-1
9043	3	0
9043	4	0
9042	1	0
9042	2	0
9042	3	0
9042	4	0
9040	1	0
9040	2	0
11251	1	1
11251	2	1
10781	1	0
10781	2	0
10781	3	0
3817	1	0
3817	2	0
11917	1	0
11917	2	0
3819	1	0
3819	2	0
11919	1	0
11919	2	0
11419	1	0
11419	2	0
1528	1	0
1528	2	0
11856	1	0
11856	2	0
7695	1	0
7695	2	0
9909	1	0
9909	2	0
2983	1	0
2983	2	0
5067	1	1
5067	2	1
5067	3	1
5067	4	1
5067	5	1
5067	6	1
5067	7	1
4098	1	-1
4098	2	-1
4098	3	-1
4098	4	0
4098	5	0
4098	6	0
11822	1	0
11822	2	0
8633	1	0
8633	2	0
10003	1	-1
10003	2	-1
4864	1	0
4864	2	0
4862	1	-1
4862	2	-1
4862	3	-1
4862	4	-1
4862	5	-1
4862	6	-1
4862	7	0
4862	8	0
4862	9	0
4862	10	0
4862	11	0
4862	12	2
4862	13	2
4860	1	-1
4860	2	-1
4860	3	-1
4860	4	0
4860	5	0
4860	6	0
9380	1	0
9380	2	0
10020	1	0
10020	2	0
10020	3	0
10025	1	0
10025	2	0
4866	1	0
4866	2	0
2682	1	0
2682	2	0
