date_hour	count	rating
3426	1	1
3426	2	1
5113	1	-1
5113	2	-1
3191	1	1
3191	2	1
3191	3	1
2610	1	1
2610	2	1
2591	1	1
2591	2	1
3808	1	2
3808	2	2
3808	3	2
3142	1	1
3142	2	1
2134	1	1
2134	2	1
2134	3	1
3001	1	1
3001	2	1
3477	1	1
3477	2	1
2495	1	1
2495	2	1
3355	1	1
3355	2	1
935	1	1
935	2	1
3119	1	1
3119	2	1
3815	1	2
3815	2	2
3815	3	2
3818	1	2
3818	2	2
3818	3	2
3792	1	2
3792	2	2
3792	3	2
2155	1	1
2155	2	1
2155	3	1
3494	1	1
3494	2	1
3494	3	1
3494	4	1
1822	1	1
1822	2	1
3168	1	1
3168	2	1
3334	1	1
3334	2	1
3334	3	1
