date_hour	count	rating
7411	1	-1
7411	2	-1
7353	1	-1
7353	2	-1
7353	3	-1
7353	4	-1
7353	5	0
7353	6	0
7353	7	1
7353	8	1
7353	9	1
4506	1	-1
4506	2	-1
215	1	2
215	2	2
4930	1	0
4930	2	0
3618	1	2
3618	2	2
5477	1	-1
5477	2	-1
4345	1	2
4345	2	2
4348	1	2
4348	2	2
5057	1	-1
5057	2	-1
5057	3	1
5057	4	1
4969	1	2
4969	2	2
7999	1	-1
7999	2	-1
7997	1	-1
7997	2	-1
7914	1	0
7914	2	0
7914	3	1
7914	4	1
7914	5	2
7914	6	2
3446	1	2
3446	2	2
1527	1	2
1527	2	2
1527	3	2
7698	1	2
7698	2	2
5065	1	2
5065	2	2
5012	1	2
5012	2	2
4464	1	2
4464	2	2
7040	1	-1
7040	2	-1
7040	3	-1
7040	4	-1
7040	5	1
7040	6	1
4865	1	2
4865	2	2
781	1	0
781	2	0
7967	1	-1
7967	2	-1
7967	3	0
7967	4	0
7967	5	1
7967	6	1
6921	1	-1
6921	2	-1
7251	1	1
7251	2	1
5969	1	-1
5969	2	-1
8200	1	2
8200	2	2
7668	1	1
7668	2	1
7669	1	1
7669	2	1
7667	1	0
7667	2	0
7673	1	-1
7673	2	-1
7145	1	1
7145	2	1
3479	1	1
3479	2	1
4962	1	2
4962	2	2
4962	3	2
4962	4	2
4962	5	2
4962	6	2
4962	7	2
4962	8	2
4962	9	2
4962	10	2
4962	11	2
4962	12	2
4962	13	2
4962	14	2
4962	15	2
4963	1	2
4963	2	2
6081	1	1
6081	2	1
4961	1	2
4961	2	2
4961	3	2
4961	4	2
4961	5	2
4961	6	2
4961	7	2
4961	8	2
4961	9	2
4961	10	2
4961	11	2
4961	12	2
4961	13	2
4961	14	2
4961	15	2
4961	16	2
4961	17	2
4961	18	2
4961	19	2
4961	20	2
4961	21	2
4961	22	2
4961	23	2
4961	24	2
4961	25	2
4961	26	2
4961	27	2
4961	28	2
4961	29	2
4961	30	2
4961	31	2
4961	32	2
4961	33	2
4961	34	2
5872	1	1
5872	2	1
3815	1	1
3815	2	1
3815	3	1
3814	1	1
3814	2	1
5587	1	2
5587	2	2
4139	1	2
4139	2	2
793	1	1
793	2	1
1157	1	0
1157	2	0
2807	1	0
2807	2	0
7131	1	-1
7131	2	-1
7129	1	-1
7129	2	-1
7129	3	-1
7129	4	-1
7129	5	1
7129	6	1
7135	1	0
7135	2	0
5027	1	-1
5027	2	-1
7888	1	0
7888	2	0
7888	3	0
7888	4	0
7888	5	0
7888	6	1
7888	7	1
3337	1	0
3337	2	0
7886	1	-1
7886	2	-1
7886	3	0
7886	4	0
7886	5	0
7887	1	0
7887	2	0
7887	3	0
7887	4	0
7887	5	0
7885	1	-1
7885	2	-1
7885	3	1
7885	4	1
7885	5	1
3336	1	0
3336	2	0
614	1	0
614	2	0
7890	1	-1
7890	2	-1
7890	3	-1
7890	4	0
7890	5	0
7890	6	1
7890	7	1
7891	1	0
7891	2	0
7891	3	0
7891	4	0
7891	5	1
7891	6	1
7891	7	1
7279	1	-1
7279	2	-1
7275	1	2
7275	2	2
7898	1	-1
7898	2	-1
7898	3	-1
7898	4	0
7898	5	0
7898	6	0
7898	7	0
7898	8	1
7898	9	1
7898	10	1
7899	1	-1
7899	2	-1
7899	3	-1
7899	4	-1
7899	5	0
7899	6	0
7899	7	0
7899	8	0
7899	9	0
7899	10	1
7899	11	1
7899	12	1
7899	13	1
7902	1	0
7902	2	0
7903	1	1
7903	2	1
8157	1	-1
8157	2	-1
8157	3	-1
8157	4	-1
8157	5	-1
8157	6	-1
8157	7	-1
8157	8	-1
8157	9	-1
8157	10	-1
8157	11	-1
8157	12	-1
8157	13	-1
5656	1	0
5656	2	0
5656	3	2
5656	4	2
5656	5	2
5655	1	2
5655	2	2
7000	1	0
7000	2	0
6998	1	0
6998	2	0
6999	1	0
6999	2	0
6999	3	2
6999	4	2
5955	1	-1
5955	2	-1
5955	3	-1
5955	4	-1
5955	5	-1
5955	6	-1
5955	7	-1
5955	8	-1
896	1	2
896	2	2
3882	1	1
3882	2	1
4779	1	2
4779	2	2
4343	1	2
4343	2	2
4342	1	2
4342	2	2
5547	1	-1
5547	2	-1
5549	1	2
5549	2	2
7868	1	1
7868	2	1
7868	3	1
7869	1	-1
7869	2	-1
7869	3	1
7869	4	1
3316	1	1
3316	2	1
4820	1	2
4820	2	2
4821	1	0
4821	2	0
3313	1	1
3313	2	1
4253	1	2
4253	2	2
10566	1	0
10566	2	0
5787	1	2
5787	2	2
2013	1	2
2013	2	2
4652	1	-1
4652	2	-1
7783	1	-1
7783	2	-1
7783	3	-1
7783	4	-1
7783	5	-1
7783	6	-1
7783	7	-1
7783	8	0
7783	9	0
7783	10	0
7783	11	1
7783	12	1
7783	13	1
7783	14	1
7783	15	1
4434	1	2
4434	2	2
3601	1	2
3601	2	2
7373	1	-1
7373	2	-1
7373	3	-1
7373	4	-1
7373	5	-1
7838	1	2
7838	2	2
7838	3	2
7840	1	-1
7840	2	-1
7840	3	0
7840	4	0
7835	1	-1
7835	2	-1
7835	3	0
7835	4	0
7377	1	-1
7377	2	-1
7377	3	-1
7377	4	-1
7377	5	-1
7377	6	1
7377	7	1
7377	8	1
4514	1	0
4514	2	0
6434	1	-1
6434	2	-1
6434	3	2
6434	4	2
4521	1	1
4521	2	1
4440	1	1
4440	2	1
4441	1	0
4441	2	0
4447	1	0
4447	2	0
3841	1	2
3841	2	2
5343	1	2
5343	2	2
5344	1	2
5344	2	2
1316	1	2
1316	2	2
11880	1	2
11880	2	2
3759	1	-1
3759	2	-1
2058	1	2
2058	2	2
1454	1	2
1454	2	2
2315	1	2
2315	2	2
4494	1	1
4494	2	1
1797	1	2
1797	2	2
7363	1	-1
7363	2	-1
7363	3	-1
7363	4	0
7363	5	0
7363	6	0
4380	1	1
4380	2	1
7557	1	2
7557	2	2
7557	3	2
4921	1	0
4921	2	0
5251	1	2
5251	2	2
4356	1	0
4356	2	0
4357	1	0
4357	2	0
4362	1	-1
4362	2	-1
4362	3	0
4362	4	0
4362	5	0
4362	6	2
4362	7	2
5063	1	1
5063	2	1
5061	1	2
5061	2	2
8068	1	2
8068	2	2
3432	1	-1
3432	2	-1
4337	1	2
4337	2	2
4337	3	2
4337	4	2
7688	1	-1
7688	2	-1
7688	3	-1
7688	4	-1
7688	5	-1
7688	6	-1
7688	7	-1
7688	8	0
7688	9	0
7688	10	0
7688	11	1
7688	12	1
7688	13	1
7688	14	1
7688	15	1
7688	16	1
7183	1	1
7183	2	1
3653	1	1
3653	2	1
7680	1	1
7680	2	1
667	1	0
667	2	0
1145	1	2
1145	2	2
4080	1	2
4080	2	2
6336	1	0
6336	2	0
4733	1	2
4733	2	2
4817	1	-1
4817	2	-1
4810	1	-1
4810	2	-1
7962	1	1
7962	2	1
773	1	0
773	2	0
7960	1	1
7960	2	1
2669	1	1
2669	2	1
2667	1	0
2667	2	0
7319	1	-1
7319	2	-1
4038	1	1
4038	2	1
4965	1	2
4965	2	2
4965	3	2
4964	1	2
4964	2	2
7991	1	-1
7991	2	-1
7989	1	-1
7989	2	-1
7989	3	-1
7989	4	-1
7989	5	-1
6017	1	2
6017	2	2
5856	1	2
5856	2	2
4615	1	2
4615	2	2
4611	1	2
4611	2	2
4073	1	2
4073	2	2
1170	1	1
1170	2	1
4274	1	0
4274	2	0
4272	1	0
4272	2	0
4272	3	1
4272	4	1
1321	1	2
1321	2	2
4278	1	0
4278	2	0
4825	1	2
4825	2	2
4824	1	0
4824	2	0
4827	1	2
4827	2	2
932	1	0
932	2	0
2424	1	0
2424	2	0
7503	1	0
7503	2	0
7503	3	0
7504	1	-1
7504	2	-1
7286	1	1
7286	2	1
4674	1	2
4674	2	2
5106	1	-1
5106	2	-1
5100	1	-1
5100	2	-1
5105	1	1
5105	2	1
7479	1	-1
7479	2	-1
5305	1	2
5305	2	2
1651	1	1
1651	2	1
850	1	0
850	2	0
4832	1	0
4832	2	0
7615	1	-1
7615	2	-1
7615	3	-1
7615	4	-1
7615	5	0
7615	6	0
7615	7	1
7615	8	1
7615	9	1
7892	1	1
7892	2	1
4790	1	2
4790	2	2
3885	1	0
3885	2	0
10473	1	0
10473	2	0
4194	1	2
4194	2	2
5503	1	2
5503	2	2
7866	1	1
7866	2	1
7553	1	-1
7553	2	-1
7771	1	2
7771	2	2
7771	3	2
7771	4	2
7771	5	2
7769	1	-1
7769	2	-1
4364	1	0
4364	2	0
2945	1	-1
2945	2	-1
1847	1	2
1847	2	2
5463	1	2
5463	2	2
4592	1	2
4592	2	2
11878	1	2
11878	2	2
7788	1	0
7788	2	0
7790	1	1
7790	2	1
5364	1	2
5364	2	2
1750	1	1
1750	2	1
4437	1	-1
4437	2	-1
260	1	1
260	2	1
260	3	1
6135	1	-1
6135	2	-1
6134	1	1
6134	2	1
4904	1	-1
4904	2	-1
1274	1	2
1274	2	2
1274	3	2
4523	1	2
4523	2	2
4529	1	2
4529	2	2
499	1	2
499	2	2
5727	1	1
5727	2	1
4700	1	-1
4700	2	-1
4702	1	1
4702	2	1
3856	1	1
3856	2	1
4985	1	-1
4985	2	-1
3788	1	1
3788	2	1
3790	1	1
3790	2	1
3791	1	1
3791	2	1
3457	1	1
3457	2	1
3415	1	1
3415	2	1
7206	1	-1
7206	2	-1
7206	3	-1
7206	4	-1
7206	5	-1
7206	6	0
7206	7	0
