date_hour	count	rating
1086	1	-1
1086	2	-1
7402	1	-1
7402	2	-1
7832	1	-1
7832	2	-1
5049	1	-1
5049	2	-1
5049	3	-1
5049	4	-1
5049	5	-1
5049	6	-1
5049	7	-1
5049	8	-1
5049	9	-1
5049	10	-1
5049	11	-1
5049	12	-1
5049	13	-1
5049	14	-1
5049	15	-1
5049	16	-1
5049	17	-1
11330	1	-1
11330	2	-1
9926	1	-1
9926	2	-1
10176	1	-1
10176	2	-1
8804	1	-1
8804	2	-1
7422	1	-1
7422	2	-1
10078	1	-1
10078	2	-1
10078	3	-1
11512	1	-1
11512	2	-1
4980	1	-1
4980	2	-1
4980	3	-1
4980	4	-1
4980	5	-1
4980	6	-1
4980	7	-1
4980	8	-1
4980	9	-1
4980	10	-1
4980	11	-1
4980	12	-1
4980	13	-1
4980	14	-1
4980	15	-1
4980	16	-1
4980	17	-1
4980	18	-1
4980	19	-1
4980	20	-1
4980	21	-1
4980	22	-1
4980	23	-1
4980	24	-1
4980	25	-1
4980	26	-1
4980	27	-1
4980	28	-1
4980	29	-1
4980	30	-1
4980	31	-1
4980	32	-1
4980	33	-1
4980	34	-1
11615	1	-1
11615	2	-1
11615	3	0
11615	4	0
8698	1	-1
8698	2	-1
11515	1	-1
11515	2	-1
10319	1	-1
10319	2	-1
4902	1	-1
4902	2	-1
4902	3	-1
4902	4	-1
4902	5	-1
7487	1	-1
7487	2	-1
3689	1	-1
3689	2	-1
8208	1	-1
8208	2	-1
4525	1	1
4525	2	1
4525	3	1
4525	4	1
4525	5	1
11738	1	-1
11738	2	-1
11738	3	-1
11375	1	-1
11375	2	-1
9265	1	-1
9265	2	-1
11875	1	-1
11875	2	-1
11875	3	-1
10091	1	-1
10091	2	-1
982	1	2
982	2	2
982	3	2
11889	1	-1
11889	2	-1
5075	1	-1
5075	2	-1
5075	3	-1
5075	4	-1
5075	5	-1
5075	6	-1
5075	7	-1
5075	8	-1
5075	9	-1
5075	10	-1
5075	11	-1
5075	12	-1
5075	13	-1
7798	1	-1
7798	2	-1
7797	1	-1
7797	2	-1
4954	1	-1
4954	2	-1
4954	3	-1
4954	4	-1
4954	5	-1
4954	6	-1
4954	7	-1
4954	8	-1
4954	9	-1
4954	10	-1
4954	11	-1
4954	12	-1
4954	13	-1
4954	14	-1
4954	15	-1
4954	16	-1
4954	17	-1
4954	18	-1
4954	19	-1
4954	20	-1
4954	21	-1
4954	22	-1
4954	23	-1
4954	24	-1
4954	25	-1
4346	1	-1
4346	2	-1
4346	3	-1
4346	4	-1
4346	5	-1
10151	1	-1
10151	2	-1
3386	1	-1
3386	2	-1
10186	1	-1
10186	2	-1
10076	1	-1
10076	2	-1
5354	1	-1
5354	2	-1
10415	1	-1
10415	2	-1
10415	3	-1
1072	1	1
1072	2	1
11853	1	-1
11853	2	-1
11853	3	-1
2322	1	0
2322	2	0
11928	1	-1
11928	2	-1
10349	1	-1
10349	2	-1
2973	1	-1
2973	2	-1
11852	1	-1
11852	2	-1
11852	3	-1
7042	1	-1
7042	2	-1
11392	1	-1
11392	2	-1
8718	1	-1
8718	2	-1
8718	3	-1
4491	1	-1
