date_hour	count	rating
7404	1	-1
7404	2	-1
7404	3	-1
7404	4	-1
7404	5	-1
7404	6	-1
7404	7	-1
7404	8	-1
7404	9	-1
7404	10	-1
7404	11	-1
7404	12	-1
7404	13	-1
7404	14	-1
7404	15	-1
7404	16	-1
7404	17	-1
7404	18	-1
7404	19	-1
7404	20	-1
7404	21	-1
7404	22	-1
7404	23	-1
7404	24	-1
7404	25	-1
7404	26	-1
7404	27	-1
7404	28	-1
7404	29	-1
7404	30	-1
7404	31	-1
7404	32	-1
7404	33	-1
7404	34	-1
7404	35	-1
7404	36	-1
7404	37	-1
7404	38	-1
7404	39	-1
7404	40	-1
7404	41	-1
7404	42	-1
7404	43	-1
7404	44	1
7404	45	1
7404	46	1
7404	47	1
7404	48	1
7404	49	1
7404	50	1
7404	51	1
7404	52	1
7404	53	1
7404	54	1
7404	55	1
7404	56	1
7404	57	1
7404	58	1
7404	59	1
7404	60	1
7404	61	1
7404	62	1
7404	63	1
7404	64	1
7404	65	1
7404	66	1
7404	67	1
7404	68	1
7404	69	1
7404	70	1
7404	71	1
7404	72	1
7404	73	1
7404	74	1
7404	75	1
7404	76	1
7404	77	1
7404	78	1
7404	79	1
7404	80	1
7404	81	1
7404	82	1
7404	83	1
7404	84	1
7404	85	1
7404	86	1
7404	87	1
7404	88	1
7404	89	1
7404	90	1
7404	91	1
7404	92	1
7404	93	1
7404	94	1
7404	95	1
7404	96	1
7404	97	1
7404	98	1
7404	99	1
7404	100	1
7404	101	1
7404	102	1
7404	103	1
7404	104	1
7404	105	1
7404	106	1
7404	107	1
7404	108	1
7404	109	1
7404	110	1
7404	111	1
7404	112	1
7404	113	1
7404	114	1
7404	115	1
7404	116	1
7404	117	1
7404	118	1
7404	119	1
7404	120	1
7404	121	1
7404	122	1
7404	123	1
7404	124	1
7404	125	1
7404	126	1
7404	127	1
7404	128	1
7404	129	2
7404	130	2
7404	131	2
7404	132	2
7404	133	2
7404	134	2
7404	135	2
7404	136	2
7404	137	2
7404	138	2
7404	139	2
7404	140	2
7404	141	2
7404	142	2
7404	143	2
7404	144	2
7404	145	2
7404	146	2
7404	147	2
7404	148	2
7404	149	2
7404	150	2
7404	151	2
7404	152	2
7404	153	2
7404	154	2
7404	155	2
7404	156	2
7404	157	2
9929	1	-1
9929	2	-1
11543	1	1
11543	2	1
11543	3	1
11543	4	2
11543	5	2
3628	1	1
3628	2	1
9880	1	1
9880	2	1
9880	3	2
9880	4	2
4505	1	1
4505	2	1
4505	3	1
4505	4	2
4505	5	2
4505	6	2
4505	7	2
4505	8	2
4505	9	2
7348	1	1
7348	2	1
7348	3	1
7348	4	2
7348	5	2
7348	6	2
4499	1	1
4499	2	1
4499	3	2
4499	4	2
4499	5	2
5676	1	2
5676	2	2
5676	3	2
8212	1	1
8212	2	1
8212	3	2
8212	4	2
5680	1	2
5680	2	2
5680	3	2
8884	1	2
8884	2	2
8884	3	2
4031	1	2
4031	2	2
4031	3	2
10929	1	1
10929	2	1
10929	3	1
10929	4	2
10929	5	2
11341	1	1
11341	2	1
11341	3	1
11341	4	2
11341	5	2
5057	1	0
5057	2	0
1831	1	2
1831	2	2
1831	3	2
1825	1	0
1825	2	0
9039	1	1
9039	2	1
9039	3	2
9039	4	2
668	1	-1
668	2	-1
670	1	-1
670	2	-1
10748	1	1
10748	2	1
10748	3	1
10748	4	1
10748	5	1
10748	6	1
10748	7	2
10748	8	2
11917	1	1
11917	2	1
11917	3	1
11917	4	2
11917	5	2
9099	1	1
9099	2	1
9099	3	2
9099	4	2
11858	1	1
11858	2	1
11858	3	1
11858	4	1
11858	5	1
11858	6	1
11858	7	1
7186	1	1
7186	2	1
7186	3	2
7186	4	2
2979	1	0
2979	2	0
8614	1	2
8614	2	2
7452	1	1
7452	2	1
7452	3	1
7452	4	2
7452	5	2
7452	6	2
9822	1	1
9822	2	1
9822	3	2
9822	4	2
8217	1	1
8217	2	1
8217	3	1
8217	4	1
8217	5	1
8217	6	2
8217	7	2
4864	1	1
4864	2	1
780	1	2
780	2	2
780	3	2
780	4	2
780	5	2
780	6	2
780	7	2
2242	1	1
2242	2	1
4683	1	2
4683	2	2
4683	3	2
4680	1	1
4680	2	1
4680	3	1
4680	4	2
4680	5	2
4680	6	2
4680	7	2
4687	1	1
4687	2	1
4687	3	1
4687	4	1
4687	5	1
4687	6	2
4687	7	2
4684	1	1
4684	2	1
4684	3	1
4684	4	2
4684	5	2
4684	6	2
7670	1	1
7670	2	1
7670	3	2
7670	4	2
7670	5	2
10442	1	1
10442	2	1
10442	3	2
10442	4	2
7983	1	1
7983	2	1
10943	1	1
10943	2	1
10943	3	1
10943	4	2
10943	5	2
4623	1	1
4623	2	1
4623	3	1
4623	4	2
4623	5	2
4623	6	2
4623	7	2
800	1	2
800	2	2
10720	1	0
10720	2	0
4487	1	1
4487	2	1
4487	3	1
4487	4	2
4487	5	2
4487	6	2
4487	7	2
4486	1	1
4486	2	1
4486	3	1
4486	4	2
4486	5	2
4486	6	2
4486	7	2
4486	8	2
4486	9	2
8119	1	2
8119	2	2
8117	1	2
8117	2	2
8117	3	2
10247	1	0
10247	2	0
7889	1	1
7889	2	1
7889	3	1
7889	4	1
7889	5	2
7889	6	2
7889	7	2
7889	8	2
7889	9	2
7889	10	2
7889	11	2
7889	12	2
7889	13	2
7889	14	2
7889	15	2
4006	1	2
4006	2	2
4006	3	2
7075	1	1
7075	2	1
7075	3	1
7075	4	1
7075	5	1
7075	6	1
7075	7	1
7075	8	1
7075	9	1
7075	10	1
7075	11	1
7075	12	1
7075	13	1
7075	14	1
7075	15	1
