date_hour	count	rating
8551	1	2
8551	2	2
7880	1	2
7880	2	2
7880	3	2
5098	1	2
5098	2	2
5110	1	2
5110	2	2
5061	1	0
5061	2	0
5061	3	0
5061	4	0
5061	5	2
5061	6	2
5061	7	2
5061	8	2
5046	1	2
5046	2	2
9397	1	0
9397	2	0
9397	3	1
9397	4	1
4841	1	0
4841	2	0
6150	1	2
6150	2	2
4757	1	2
4757	2	2
7687	1	0
7687	2	0
7274	1	2
7274	2	2
7274	3	2
4866	1	-1
4866	2	-1
4938	1	-1
4938	2	-1
4937	1	0
4937	2	0
4937	3	1
4937	4	1
5004	1	2
5004	2	2
5004	3	2
5004	4	2
5109	1	0
5109	2	0
5109	3	0
5109	4	2
5109	5	2
5109	6	2
5109	7	2
5075	1	0
5075	2	0
5075	3	0
5075	4	2
5075	5	2
5075	6	2
7039	1	2
7039	2	2
7039	3	2
7141	1	1
7141	2	1
7141	3	1
7141	4	2
7141	5	2
7141	6	2
9303	1	-1
9303	2	-1
9303	3	-1
9303	4	-1
9303	5	-1
9303	6	-1
9303	7	0
9303	8	0
9303	9	0
9303	10	0
9303	11	0
9303	12	0
5039	1	0
5039	2	0
5037	1	0
5037	2	0
5037	3	0
5037	4	2
5037	5	2
5053	1	1
5053	2	1
5175	1	-1
5175	2	-1
5175	3	2
5175	4	2
6461	1	-1
6461	2	-1
4782	1	2
4782	2	2
4782	3	2
9404	1	1
9404	2	1
4669	1	1
4669	2	1
4669	3	2
4669	4	2
4669	5	2
7165	1	1
7165	2	1
4797	1	2
4797	2	2
4797	3	2
7711	1	2
7711	2	2
8253	1	0
8253	2	0
8253	3	0
8253	4	0
8253	5	0
4648	1	2
4648	2	2
4648	3	2
4648	4	2
4648	5	2
4648	6	2
5084	1	0
5084	2	0
5084	3	2
5084	4	2
5084	5	2
5085	1	2
5085	2	2
5099	1	2
5099	2	2
5087	1	2
5087	2	2
5087	3	2
4607	1	2
4607	2	2
4607	3	2
4607	4	2
4607	5	2
4607	6	2
486	1	-1
486	2	-1
7117	1	1
7117	2	1
7117	3	1
5068	1	2
5068	2	2
5068	3	2
5068	4	2
5068	5	2
7119	1	1
7119	2	1
7119	3	1
7119	4	1
7119	5	1
7119	6	2
7119	7	2
