date_hour	count	rating
4006	1	1
4006	2	1
4006	3	1
4007	1	-1
4007	2	-1
4007	3	0
4007	4	0
4007	5	0
4007	6	1
4007	7	1
4007	8	1
4007	9	1
4007	10	1
4007	11	1
4007	12	1
4007	13	1
4007	14	1
4007	15	1
4007	16	1
4007	17	1
3341	1	-1
3341	2	-1
9606	1	2
9606	2	2
9606	3	2
4985	1	-1
4985	2	-1
4985	3	-1
4985	4	-1
4985	5	-1
9605	1	2
9605	2	2
9605	3	2
9605	4	2
9605	5	2
9629	1	2
9629	2	2
9629	3	2
9351	1	1
9351	2	1
9351	3	1
9351	4	2
9351	5	2
9350	1	1
9350	2	1
9350	3	1
9350	4	1
9350	5	2
9350	6	2
9350	7	2
9364	1	1
9364	2	1
9364	3	1
9364	4	2
9364	5	2
9364	6	2
4774	1	-1
4774	2	-1
4774	3	-1
4774	4	0
4774	5	0
4774	6	0
4477	1	1
4477	2	1
4477	3	1
4477	4	2
4477	5	2
4477	6	2
7863	1	-1
7863	2	-1
4008	1	1
4008	2	1
4008	3	1
4008	4	1
4008	5	1
4008	6	1
3276	1	-1
3276	2	-1
7140	1	1
7140	2	1
3349	1	-1
3349	2	-1
9994	1	0
9994	2	0
9998	1	1
9998	2	1
9998	3	1
4001	1	0
4001	2	0
4001	3	0
4001	4	1
4001	5	1
4001	6	1
7356	1	-1
7356	2	-1
9378	1	1
9378	2	1
1847	1	0
1847	2	0
3520	1	-1
3520	2	-1
9376	1	1
9376	2	1
9376	3	1
9376	4	1
3517	1	-1
3517	2	-1
3498	1	-1
3498	2	-1
4463	1	1
4463	2	1
4023	1	1
4023	2	1
4023	3	1
4023	4	1
4023	5	1
4025	1	1
4025	2	1
4464	1	1
4464	2	1
4464	3	1
4464	4	1
4464	5	1
4464	6	2
4464	7	2
4464	8	2
4464	9	2
4464	10	2
