date_hour	count	rating
7337	1	0
7337	2	0
9875	1	1
9875	2	1
7331	1	1
7331	2	1
7416	1	1
7416	2	1
4981	1	0
4981	2	0
9670	1	2
9670	2	2
9670	3	2
9670	4	2
9670	5	2
2926	1	1
2926	2	1
11315	1	-1
11315	2	-1
11315	3	-1
11315	4	-1
11315	5	-1
10210	1	0
10210	2	0
11669	1	-1
11669	2	-1
11670	1	-1
11670	2	-1
497	1	0
497	2	0
3756	1	2
3756	2	2
3756	3	2
7883	1	1
7883	2	1
7702	1	1
7702	2	1
8979	1	1
8979	2	1
8982	1	0
8982	2	0
9420	1	-1
9420	2	-1
9420	3	-1
1942	1	1
1942	2	1
7324	1	-1
7324	2	-1
10194	1	1
10194	2	1
4972	1	-1
4972	2	-1
4972	3	-1
12023	1	2
12023	2	2
8163	1	0
8163	2	0
7195	1	-1
7195	2	-1
7195	3	1
7195	4	1
8302	1	-1
8302	2	-1
7699	1	1
7699	2	1
8062	1	-1
8062	2	-1
11922	1	-1
11922	2	-1
7691	1	1
7691	2	1
9857	1	1
9857	2	1
8132	1	1
8132	2	1
3662	1	2
3662	2	2
3662	3	2
3662	4	2
3662	5	2
3662	6	2
3662	7	2
3662	8	2
3662	9	2
3662	10	2
3662	11	2
3662	12	2
3662	13	2
3662	14	2
3662	15	2
3662	16	2
3662	17	2
3662	18	2
3662	19	2
3662	20	2
3662	21	2
3662	22	2
3662	23	2
3662	24	2
3662	25	2
3663	1	2
3663	2	2
3663	3	2
3663	4	2
3663	5	2
3663	6	2
3663	7	2
3663	8	2
3663	9	2
3663	10	2
3663	11	2
3663	12	2
3663	13	2
3663	14	2
3663	15	2
3663	16	2
3663	17	2
3663	18	2
3663	19	2
3663	20	2
3663	21	2
8149	1	1
8149	2	1
3665	1	2
3665	2	2
3665	3	2
7453	1	0
7453	2	0
8153	1	1
8153	2	1
3661	1	2
3661	2	2
3661	3	2
3661	4	2
3661	5	2
3661	6	2
3661	7	2
3661	8	2
3661	9	2
3661	10	2
3661	11	2
3661	12	2
3661	13	2
3661	14	2
3661	15	2
3661	16	2
3661	17	2
3661	18	2
3661	19	2
3661	20	2
3661	21	2
3661	22	2
3661	23	2
3661	24	2
3661	25	2
3661	26	2
3661	27	2
3661	28	2
3661	29	2
3661	30	2
3661	31	2
3661	32	2
3661	33	2
3661	34	2
3661	35	2
3661	36	2
3661	37	2
3661	38	2
3661	39	2
3661	40	2
3661	41	2
3661	42	2
3661	43	2
3661	44	2
3661	45	2
3661	46	2
3661	47	2
3661	48	2
10037	1	0
10037	2	0
9631	1	0
9631	2	0
10039	1	0
10039	2	0
9627	1	1
9627	2	1
10360	1	-1
10360	2	-1
296	1	1
296	2	1
3420	1	1
3420	2	1
11991	1	2
11991	2	2
9461	1	-1
9461	2	-1
8174	1	1
8174	2	1
8833	1	1
8833	2	1
8835	1	0
8835	2	0
7721	1	-1
7721	2	-1
10022	1	0
10022	2	0
10857	1	-1
10857	2	-1
8275	1	-1
8275	2	-1
11660	1	1
11660	2	1
7146	1	1
7146	2	1
10002	1	0
10002	2	0
10002	3	0
10441	1	1
10441	2	1
9871	1	1
9871	2	1
7924	1	1
7924	2	1
9998	1	0
9998	2	0
9998	3	0
9084	1	2
9084	2	2
9084	3	2
9084	4	2
9084	5	2
9999	1	0
9999	2	0
9999	3	1
9999	4	1
575	1	0
575	2	0
1397	1	1
1397	2	1
3664	1	2
3664	2	2
3664	3	2
4691	1	1
4691	2	1
8033	1	-1
8033	2	-1
8049	1	1
8049	2	1
2650	1	1
2650	2	1
8773	1	-1
8773	2	-1
8773	3	-1
10054	1	0
10054	2	0
11383	1	1
11383	2	1
10856	1	-1
10856	2	-1
4809	1	0
4809	2	0
9440	1	1
9440	2	1
7891	1	-1
7891	2	-1
11493	1	2
11493	2	2
10483	1	0
10483	2	0
10483	3	0
10483	4	0
10483	5	0
3865	1	2
3865	2	2
3865	3	2
10484	1	0
10484	2	0
10484	3	0
10484	4	0
10741	1	0
10741	2	0
10741	3	0
8660	1	0
8660	2	0
10642	1	1
10642	2	1
5110	1	2
5110	2	2
5110	3	2
5108	1	2
5108	2	2
5108	3	2
9161	1	2
9161	2	2
9161	3	2
9161	4	2
9161	5	2
9174	1	1
9174	2	1
10845	1	2
10845	2	2
3928	1	0
3928	2	0
9177	1	-1
9177	2	-1
4172	1	2
4172	2	2
7894	1	1
7894	2	1
9765	1	-1
9765	2	-1
2848	1	1
2848	2	1
4828	1	-1
4828	2	-1
1198	1	1
1198	2	1
1198	3	1
7285	1	0
7285	2	0
11652	1	0
11652	2	0
11428	1	1
11428	2	1
11428	3	1
9820	1	-1
9820	2	-1
9820	3	-1
7121	1	-1
7121	2	-1
11659	1	1
11659	2	1
10468	1	-1
10468	2	-1
11067	1	0
11067	2	0
7805	1	1
7805	2	1
4169	1	1
4169	2	1
10056	1	-1
10056	2	-1
11939	1	1
11939	2	1
9903	1	1
9903	2	1
9903	3	1
4843	1	0
4843	2	0
8805	1	1
8805	2	1
9898	1	1
9898	2	1
8807	1	1
8807	2	1
9900	1	1
9900	2	1
9900	3	1
8437	1	1
8437	2	1
9397	1	1
9397	2	1
4841	1	0
4841	2	0
11800	1	-1
11800	2	-1
3784	1	1
3784	2	1
3784	3	2
3784	4	2
3784	5	2
8484	1	0
8484	2	0
7384	1	1
7384	2	1
4761	1	0
4761	2	0
11594	1	1
11594	2	1
3678	1	2
3678	2	2
3678	3	2
10435	1	0
10435	2	0
10092	1	-1
10092	2	-1
5499	1	1
5499	2	1
10499	1	0
10499	2	0
1294	1	1
1294	2	1
7865	1	1
7865	2	1
7548	1	-1
7548	2	-1
7551	1	-1
7551	2	-1
760	1	1
760	2	1
7776	1	2
7776	2	2
10815	1	1
10815	2	1
8997	1	2
8997	2	2
8997	3	2
8998	1	2
8998	2	2
8998	3	2
3651	1	-1
3651	2	-1
10858	1	-1
10858	2	-1
10858	3	-1
11531	1	-1
11531	2	-1
4431	1	1
4431	2	1
8919	1	0
8919	2	0
11968	1	-1
11968	2	-1
11965	1	2
11965	2	2
8696	1	-1
8696	2	-1
8696	3	-1
10494	1	0
10494	2	0
10494	3	0
10494	4	0
10494	5	0
10494	6	0
10494	7	0
10494	8	0
10494	9	0
10494	10	0
10494	11	0
10494	12	0
10494	13	0
10494	14	0
10494	15	0
10494	16	0
10494	17	0
10494	18	0
10494	19	0
10494	20	0
10494	21	0
10494	22	0
10494	23	0
10494	24	0
10494	25	0
10494	26	0
10494	27	0
10494	28	0
10494	29	0
2007	1	-1
2007	2	-1
7837	1	-1
7837	2	-1
11352	1	-1
11352	2	-1
8394	1	0
8394	2	0
7724	1	-1
7724	2	-1
11357	1	-1
11357	2	-1
11357	3	-1
11357	4	-1
9837	1	0
9837	2	0
4442	1	0
4442	2	0
1271	1	1
1271	2	1
11733	1	-1
11733	2	-1
9769	1	-1
9769	2	-1
2928	1	1
2928	2	1
11185	1	2
11185	2	2
