date_hour	count	rating
1936	1	1
1936	2	1
3615	1	2
3615	2	2
3935	1	1
3935	2	1
3935	3	1
3935	4	2
3935	5	2
3935	6	2
1446	1	2
1446	2	2
2311	1	2
2311	2	2
1749	1	0
1749	2	0
1749	3	2
1749	4	2
2387	1	1
2387	2	1
2387	3	1
8685	1	2
8685	2	2
1997	1	1
1997	2	1
1997	3	2
1997	4	2
11320	1	1
11320	2	1
1681	1	2
1681	2	2
7484	1	1
7484	2	1
7484	3	2
7484	4	2
4409	1	1
4409	2	1
4409	3	1
4407	1	1
4407	2	1
4407	3	1
4407	4	1
4407	5	1
4406	1	1
4406	2	1
4406	3	1
4406	4	1
4406	5	1
4406	6	1
4406	7	1
4406	8	1
4411	1	1
4411	2	1
4411	3	1
4411	4	1
4411	5	1
4411	6	1
4411	7	1
4410	1	1
4410	2	1
2291	1	2
2291	2	2
955	1	2
955	2	2
955	3	2
4031	1	1
4031	2	1
4031	3	1
4031	4	2
4031	5	2
4031	6	2
10243	1	1
10243	2	1
591	1	1
591	2	1
591	3	2
591	4	2
11486	1	1
11486	2	1
11486	3	1
953	1	2
953	2	2
5353	1	2
5353	2	2
6378	1	2
6378	2	2
2322	1	1
2322	2	1
7329	1	2
7329	2	2
7329	3	2
7329	4	2
7329	5	2
6376	1	1
6376	2	1
6376	3	2
6376	4	2
2639	1	2
2639	2	2
8709	1	1
8709	2	1
8709	3	2
8709	4	2
11822	1	1
11822	2	1
11822	3	1
11822	4	1
11822	5	1
11822	6	2
11822	7	2
11822	8	2
10415	1	2
10415	2	2
7363	1	2
7363	2	2
4532	1	1
4532	2	1
4532	3	1
4532	4	2
4532	5	2
4532	6	2
3799	1	1
3799	2	1
2348	1	2
2348	2	2
2348	3	2
11665	1	1
11665	2	1
10581	1	2
10581	2	2
8896	1	1
8896	2	1
8896	3	1
6353	1	2
6353	2	2
6353	3	2
2289	1	2
2289	2	2
3992	1	2
3992	2	2
3992	3	2
3992	4	2
