date_hour	count	rating
3338	1	2
3338	2	2
3338	3	2
4503	1	-1
4503	2	-1
11296	1	1
11296	2	1
4337	1	2
4337	2	2
4337	3	2
4337	4	2
2612	1	1
2612	2	1
6288	1	0
6288	2	0
7529	1	0
7529	2	0
9160	1	0
9160	2	0
4684	1	2
4684	2	2
4684	3	2
4684	4	2
9231	1	0
9231	2	0
11936	1	1
11936	2	1
5622	1	-1
5622	2	-1
5622	3	-1
8413	1	-1
8413	2	-1
8413	3	1
8413	4	1
1875	1	-1
1875	2	-1
1875	3	1
1875	4	1
6077	1	1
6077	2	1
7928	1	-1
7928	2	-1
7928	3	1
7928	4	1
2994	1	0
2994	2	0
7962	1	-1
7962	2	-1
7962	3	1
7962	4	1
1616	1	-1
1616	2	-1
1616	3	-1
4559	1	-1
4559	2	-1
4624	1	-1
4624	2	-1
4698	1	2
4698	2	2
4698	3	2
4698	4	2
4355	1	1
4355	2	1
4355	3	2
4355	4	2
4356	1	1
4356	2	1
4356	3	1
4356	4	1
4356	5	1
4356	6	2
4356	7	2
4356	8	2
2788	1	-1
2788	2	-1
2788	3	1
2788	4	1
9064	1	0
9064	2	0
