date_hour	count	rating
6664	1	1
6664	2	1
7420	1	0
7420	2	0
7417	1	0
7417	2	0
7417	3	1
7417	4	1
7347	1	0
7347	2	0
7348	1	0
7348	2	0
7348	3	1
7348	4	1
7353	1	0
7353	2	0
7352	1	0
7352	2	0
6830	1	2
6830	2	2
11224	1	1
11224	2	1
11224	3	1
11224	4	1
9641	1	1
9641	2	1
10352	1	1
10352	2	1
327	1	1
327	2	1
7328	1	0
7328	2	0
7389	1	1
7389	2	1
7390	1	0
7390	2	0
7356	1	0
7356	2	0
7358	1	0
7358	2	0
2726	1	2
2726	2	2
2726	3	2
4920	1	0
4920	2	0
4920	3	0
4920	4	1
4920	5	1
4920	6	1
4920	7	1
4920	8	1
10307	1	1
10307	2	1
7708	1	2
7708	2	2
8894	1	1
8894	2	1
4890	1	0
4890	2	0
2281	1	1
2281	2	1
11828	1	0
11828	2	0
11848	1	1
11848	2	1
11848	3	1
7453	1	1
7453	2	1
7453	3	1
4770	1	0
4770	2	0
4770	3	0
4770	4	1
4770	5	1
4770	6	1
3946	1	1
3946	2	1
3946	3	1
3946	4	1
3946	5	1
5274	1	1
5274	2	1
454	1	2
454	2	2
2691	1	2
2691	2	2
2691	3	2
9287	1	1
9287	2	1
9287	3	1
7392	1	0
7392	2	0
9231	1	1
9231	2	1
9231	3	1
9231	4	2
9231	5	2
1143	1	1
1143	2	1
11851	1	0
11851	2	0
9973	1	0
9973	2	0
8463	1	1
8463	2	1
9124	1	1
9124	2	1
8183	1	2
8183	2	2
6158	1	1
6158	2	1
6159	1	1
6159	2	1
3157	1	1
3157	2	1
11154	1	1
11154	2	1
2536	1	1
2536	2	1
2155	1	1
2155	2	1
11849	1	1
11849	2	1
4718	1	0
4718	2	0
2033	1	2
2033	2	2
11129	1	0
11129	2	0
10275	1	1
10275	2	1
4676	1	0
4676	2	0
3225	1	2
3225	2	2
3225	3	2
3225	4	2
1364	1	1
1364	2	1
7309	1	0
7309	2	0
7309	3	0
7309	4	1
7309	5	1
9156	1	1
9156	2	1
8312	1	1
8312	2	1
8124	1	0
8124	2	0
8124	3	1
8124	4	1
9161	1	1
9161	2	1
9161	3	1
9161	4	1
9161	5	1
9172	1	1
9172	2	1
9172	3	1
9172	4	1
9172	5	1
9172	6	1
9172	7	1
9172	8	1
9172	9	1
9172	10	1
9172	11	1
8364	1	1
8364	2	1
10527	1	1
10527	2	1
11786	1	1
11786	2	1
1428	1	1
1428	2	1
8340	1	1
8340	2	1
1430	1	1
1430	2	1
7500	1	0
7500	2	0
4769	1	1
4769	2	1
7297	1	0
7297	2	0
4767	1	0
4767	2	0
7008	1	2
7008	2	2
8514	1	0
8514	2	0
8514	3	1
8514	4	1
7517	1	0
7517	2	0
7517	3	1
7517	4	1
7518	1	0
7518	2	0
3646	1	1
3646	2	1
7563	1	0
7563	2	0
11339	1	0
11339	2	0
7379	1	0
7379	2	0
7439	1	0
7439	2	0
2442	1	0
2442	2	0
4752	1	0
4752	2	0
4752	3	0
4752	4	1
4752	5	1
4752	6	1
7386	1	0
7386	2	0
10473	1	1
10473	2	1
11362	1	0
11362	2	0
4480	1	0
4480	2	0
4480	3	0
4480	4	0
4480	5	0
10498	1	0
10498	2	0
10192	1	1
10192	2	1
11601	1	-1
11601	2	-1
6279	1	1
6279	2	1
6279	3	2
6279	4	2
11827	1	0
11827	2	0
10817	1	1
10817	2	1
10817	3	1
11086	1	1
11086	2	1
5319	1	2
5319	2	2
1049	1	1
1049	2	1
9918	1	0
9918	2	0
9918	3	1
9918	4	1
7342	1	0
7342	2	0
7464	1	0
7464	2	0
9541	1	1
9541	2	1
5465	1	1
5465	2	1
4576	1	0
4576	2	0
4576	3	0
4576	4	0
4576	5	0
7377	1	0
7377	2	0
7542	1	0
7542	2	0
4545	1	0
4545	2	0
4545	3	0
4545	4	1
4545	5	1
4545	6	1
6499	1	2
6499	2	2
4443	1	0
4443	2	0
4443	3	0
4443	4	0
4443	5	0
6496	1	2
6496	2	2
6496	3	2
6496	4	2
6496	5	2
