date_hour	count	rating
4222	1	1
4222	2	1
4222	3	1
4222	4	1
4222	5	1
2327	1	-1
2327	2	-1
2327	3	1
2327	4	1
8741	1	1
8741	2	1
1393	1	2
1393	2	2
1393	3	2
1406	1	2
1406	2	2
1406	3	2
1409	1	1
1409	2	1
8699	1	1
8699	2	1
8699	3	1
1408	1	2
1408	2	2
3220	1	1
3220	2	1
4172	1	2
4172	2	2
4172	3	2
4172	4	2
4172	5	2
4172	6	2
4172	7	2
4172	8	2
1458	1	-1
1458	2	-1
1458	3	1
1458	4	1
1413	1	1
1413	2	1
1398	1	-1
1398	2	-1
1398	3	2
1398	4	2
1398	5	2
1398	6	2
1398	7	2
1399	1	2
1399	2	2
1399	3	2
1394	1	-1
1394	2	-1
1394	3	1
1394	4	1
1394	5	2
1394	6	2
1394	7	2
8695	1	1
8695	2	1
8695	3	1
8695	4	1
8695	5	1
8695	6	1
8694	1	1
8694	2	1
8694	3	1
4214	1	1
4214	2	1
4213	1	1
4213	2	1
4213	3	1
1405	1	1
1405	2	1
1405	3	1
10772	1	1
10772	2	1
4360	1	1
4360	2	1
4360	3	2
4360	4	2
4360	5	2
4243	1	1
4243	2	1
4243	3	1
4243	4	1
1505	1	2
1505	2	2
