date_hour	count	rating
11515	1	-1
11515	2	-1
1082	1	1
1082	2	1
1080	1	2
1080	2	2
3067	1	2
3067	2	2
3827	1	2
3827	2	2
954	1	2
954	2	2
5074	1	2
5074	2	2
5074	3	2
5074	4	2
5074	5	2
3278	1	1
3278	2	1
5186	1	1
5186	2	1
328	1	2
328	2	2
328	3	2
328	4	2
328	5	2
9669	1	2
9669	2	2
9669	3	2
2376	1	1
2376	2	1
2377	1	2
2377	2	2
3704	1	2
3704	2	2
9372	1	0
9372	2	0
9373	1	-1
9373	2	-1
9373	3	0
9373	4	0
2492	1	2
2492	2	2
9279	1	2
9279	2	2
9279	3	2
2348	1	2
2348	2	2
11200	1	1
11200	2	1
11200	3	2
11200	4	2
11200	5	2
11179	1	1
11179	2	1
11174	1	1
11174	2	1
11174	3	2
11174	4	2
11175	1	0
11175	2	0
11175	3	0
11175	4	0
11175	5	1
11175	6	1
11175	7	1
11175	8	1
11175	9	1
11175	10	1
11175	11	1
3468	1	2
3468	2	2
11213	1	0
11213	2	0
11213	3	2
11213	4	2
3418	1	2
3418	2	2
9383	1	1
9383	2	1
9383	3	1
9383	4	1
9383	5	1
9383	6	1
9383	7	1
9383	8	1
9383	9	1
9383	10	1
9383	11	1
9383	12	1
9383	13	1
9383	14	1
9383	15	1
9383	16	1
9383	17	1
9383	18	1
9383	19	1
9383	20	1
9383	21	1
9383	22	1
9383	23	1
9383	24	1
9383	25	1
9383	26	1
9383	27	1
9383	28	1
9383	29	1
9383	30	1
9383	31	1
1193	1	1
1193	2	1
10249	1	1
10249	2	1
10249	3	1
10249	4	1
10249	5	1
2345	1	1
2345	2	1
2345	3	2
2345	4	2
2347	1	1
2347	2	1
2347	3	2
2347	4	2
2347	5	2
2346	1	2
2346	2	2
2346	3	2
2527	1	0
2527	2	0
9231	1	2
9231	2	2
9231	3	2
11182	1	0
11182	2	0
11182	3	0
11182	4	0
11182	5	2
11182	6	2
11182	7	2
11182	8	2
11394	1	0
11394	2	0
11389	1	0
11389	2	0
3477	1	2
3477	2	2
304	1	2
304	2	2
304	3	2
4326	1	1
4326	2	1
4326	3	1
4326	4	2
4326	5	2
4326	6	2
2534	1	2
2534	2	2
9509	1	1
9509	2	1
9509	3	1
9509	4	1
9509	5	1
9509	6	1
9509	7	1
9509	8	1
7910	1	0
7910	2	0
2507	1	2
2507	2	2
9695	1	0
9695	2	0
1078	1	2
1078	2	2
1078	3	2
1078	4	2
1077	1	1
1077	2	1
1077	3	2
1077	4	2
2420	1	2
2420	2	2
2634	1	2
2634	2	2
2634	3	2
5004	1	0
5004	2	0
5004	3	0
4208	1	0
4208	2	0
4208	3	2
4208	4	2
4208	5	2
3967	1	2
3967	2	2
3967	3	2
3967	4	2
3967	5	2
10693	1	0
10693	2	0
10693	3	0
5009	1	0
5009	2	0
3539	1	2
3539	2	2
4315	1	1
4315	2	1
4315	3	1
4315	4	2
4315	5	2
4315	6	2
3922	1	2
3922	2	2
3922	3	2
3922	4	2
3922	5	2
3179	1	2
3179	2	2
3185	1	0
3185	2	0
3185	3	2
3185	4	2
3185	5	2
3184	1	0
3184	2	0
3187	1	2
3187	2	2
3187	3	2
3186	1	2
3186	2	2
3186	3	2
9256	1	2
9256	2	2
9256	3	2
2561	1	0
2561	2	0
7283	1	1
7283	2	1
7283	3	1
7283	4	1
7283	5	1
4341	1	-1
4341	2	-1
4341	3	-1
4341	4	2
4341	5	2
4341	6	2
2584	1	2
2584	2	2
2584	3	2
2584	4	2
2582	1	2
2582	2	2
2582	3	2
8532	1	0
8532	2	0
8532	3	0
4771	1	-1
4771	2	-1
4771	3	-1
4771	4	2
4771	5	2
4771	6	2
11414	1	1
11414	2	1
7516	1	0
7516	2	0
7516	3	0
3624	1	0
3624	2	0
9209	1	2
9209	2	2
9209	3	2
9209	4	2
2779	1	2
2779	2	2
744	1	0
744	2	0
2777	1	1
2777	2	1
2777	3	2
2777	4	2
2777	5	2
4526	1	2
4526	2	2
9060	1	2
9060	2	2
9060	3	2
9060	4	2
1125	1	1
1125	2	1
4657	1	2
4657	2	2
4657	3	2
4657	4	2
4657	5	2
8484	1	-1
8484	2	-1
2966	1	-1
2966	2	-1
992	1	0
992	2	0
4480	1	-1
4480	2	-1
4480	3	-1
4477	1	-1
4477	2	-1
4477	3	-1
4482	1	-1
4482	2	-1
4316	1	2
4316	2	2
4316	3	2
4316	4	2
4316	5	2
11198	1	1
11198	2	1
11198	3	1
11198	4	1
11198	5	2
11198	6	2
4319	1	1
4319	2	1
4319	3	2
4319	4	2
7396	1	0
7396	2	0
3376	1	2
3376	2	2
3635	1	2
3635	2	2
2956	1	-1
2956	2	-1
2514	1	2
2514	2	2
2514	3	2
2514	4	2
7434	1	1
7434	2	1
3753	1	2
3753	2	2
3202	1	1
3202	2	1
3209	1	1
3209	2	1
