date_hour	count	rating
3992	1	1
3992	2	1
11514	1	1
11514	2	1
3946	1	0
3946	2	0
2332	1	1
2332	2	1
2332	3	2
2332	4	2
1186	1	0
1186	2	0
3827	1	1
3827	2	1
3542	1	1
3542	2	1
3542	3	1
3810	1	1
3810	2	1
3810	3	1
1301	1	1
1301	2	1
1301	3	2
1301	4	2
1140	1	2
1140	2	2
1140	3	2
11730	1	0
11730	2	0
1812	1	1
1812	2	1
1812	3	2
1812	4	2
3851	1	1
3851	2	1
3607	1	1
3607	2	1
3607	3	1
5820	1	0
5820	2	0
3943	1	1
3943	2	1
3943	3	1
3943	4	1
3943	5	1
1197	1	2
1197	2	2
1197	3	2
3876	1	1
3876	2	1
3876	3	1
1177	1	2
1177	2	2
1177	3	2
3795	1	1
3795	2	1
3795	3	2
3795	4	2
5084	1	0
5084	2	0
3532	1	1
3532	2	1
1243	1	2
1243	2	2
1243	3	2
3585	1	1
3585	2	1
3662	1	1
3662	2	1
1811	1	2
1811	2	2
1811	3	2
