date_hour	count	rating
3473	1	-1
3473	2	-1
7581	1	1
7581	2	1
7581	3	2
7581	4	2
3064	1	-1
3064	2	-1
2854	1	-1
2854	2	-1
4332	1	-1
4332	2	-1
4312	1	1
4312	2	1
4312	3	1
4312	4	1
4312	5	1
11217	1	-1
11217	2	-1
11217	3	-1
11217	4	-1
2189	1	-1
2189	2	-1
4850	1	1
4850	2	1
4850	3	1
4850	4	1
4850	5	1
4850	6	2
4850	7	2
11512	1	-1
11512	2	-1
7568	1	1
7568	2	1
4121	1	1
4121	2	1
4121	3	1
4121	4	1
4121	5	1
4121	6	2
4121	7	2
7580	1	1
7580	2	1
1997	1	-1
1997	2	-1
4007	1	1
4007	2	1
4007	3	2
4007	4	2
783	1	-1
783	2	-1
7439	1	-1
7439	2	-1
4678	1	1
4678	2	1
4678	3	1
4678	4	1
4678	5	1
4678	6	2
4678	7	2
4678	8	2
4678	9	2
4564	1	1
4564	2	1
4564	3	1
4564	4	1
4564	5	1
4564	6	2
4564	7	2
2612	1	-1
2612	2	-1
2612	3	-1
9734	1	-1
9734	2	-1
8839	1	-1
8839	2	-1
4194	1	1
4194	2	1
4194	3	1
4194	4	1
4194	5	1
4145	1	1
4145	2	1
4145	3	2
4145	4	2
7555	1	-1
7555	2	-1
7555	3	1
7555	4	1
7555	5	1
7555	6	1
969	1	-1
969	2	-1
11528	1	-1
11528	2	-1
5006	1	1
5006	2	1
5006	3	1
5006	4	2
5006	5	2
2014	1	-1
2014	2	-1
2014	3	-1
2518	1	-1
2518	2	-1
11697	1	-1
11697	2	-1
7858	1	-1
7858	2	-1
7858	3	-1
7859	1	-1
7859	2	-1
4147	1	0
4147	2	0
4147	3	1
4147	4	1
7574	1	1
7574	2	1
3142	1	-1
3142	2	-1
340	1	-1
340	2	-1
340	3	-1
340	4	-1
340	5	-1
3595	1	-1
3595	2	-1
9554	1	-1
9554	2	-1
5109	1	1
5109	2	1
5109	3	1
5109	4	1
5109	5	1
5109	6	2
5109	7	2
7582	1	1
7582	2	1
7582	3	1
7582	4	1
2298	1	-1
2298	2	-1
3592	1	-1
3592	2	-1
7566	1	1
7566	2	1
7566	3	1
7566	4	1
7566	5	1
7566	6	2
7566	7	2
5021	1	-1
5021	2	-1
5021	3	-1
5021	4	-1
5021	5	-1
2716	1	-1
2716	2	-1
11791	1	-1
11791	2	-1
3055	1	-1
3055	2	-1
3055	3	2
3055	4	2
4962	1	1
4962	2	1
4962	3	2
4962	4	2
7575	1	1
7575	2	1
7575	3	1
7575	4	2
7575	5	2
4819	1	1
4819	2	1
4819	3	2
4819	4	2
10528	1	-1
10528	2	-1
4748	1	1
4748	2	1
4748	3	1
4748	4	2
4748	5	2
4748	6	2
4748	7	2
2198	1	-1
2198	2	-1
2472	1	-1
2472	2	-1
1630	1	-1
1630	2	-1
11013	1	-1
11013	2	-1
4853	1	-1
4853	2	-1
4853	3	-1
4489	1	0
4489	2	0
4489	3	0
4489	4	1
4489	5	1
4489	6	1
1879	1	-1
1879	2	-1
10415	1	-1
10415	2	-1
11502	1	-1
11502	2	-1
8808	1	-1
8808	2	-1
8808	3	-1
8808	4	-1
8808	5	-1
8808	6	-1
8808	7	-1
8808	8	-1
8808	9	-1
8808	10	-1
8808	11	-1
8808	12	-1
8808	13	-1
8808	14	-1
8808	15	-1
8808	16	-1
8808	17	-1
8808	18	-1
8808	19	-1
8808	20	-1
8808	21	-1
8808	22	-1
8808	23	-1
8808	24	-1
8808	25	-1
8808	26	-1
8808	27	-1
8808	28	-1
8808	29	-1
4694	1	-1
4694	2	-1
4694	3	-1
10620	1	-1
10620	2	-1
4696	1	1
4696	2	1
4696	3	1
4696	4	2
4696	5	2
4696	6	2
4696	7	2
4696	8	2
4648	1	0
4648	2	0
4768	1	0
4768	2	0
4521	1	-1
4521	2	-1
4521	3	-1
4521	4	-1
4521	5	-1
8032	1	-1
8032	2	-1
8933	1	-1
8933	2	-1
7131	1	-1
7131	2	-1
8212	1	-1
8212	2	-1
3496	1	-1
3496	2	-1
10808	1	-1
10808	2	-1
4997	1	-1
4997	2	-1
4997	3	-1
4997	4	1
4997	5	1
4997	6	1
4997	7	2
4997	8	2
5033	1	1
5033	2	1
5033	3	1
5033	4	1
5033	5	1
5033	6	1
5033	7	1
6149	1	1
6149	2	1
4681	1	-1
4681	2	-1
4681	3	-1
4240	1	0
4240	2	0
4240	3	0
4240	4	1
4240	5	1
4240	6	1
4240	7	2
4240	8	2
8328	1	-1
8328	2	-1
8328	3	-1
