date_hour	count	rating
1934	1	-1
1934	2	-1
1851	1	-1
1851	2	-1
4438	1	-1
4438	2	-1
1006	1	-1
1006	2	-1
1749	1	-1
1749	2	-1
8684	1	-1
8684	2	-1
8684	3	-1
7685	1	-1
7685	2	-1
7685	3	-1
11317	1	-1
11317	2	-1
2926	1	-1
2926	2	-1
11199	1	-1
11199	2	-1
4501	1	-1
4501	2	-1
4501	3	-1
6133	1	-1
6133	2	-1
6133	3	-1
8727	1	-1
8727	2	-1
8727	3	-1
8248	1	-1
8248	2	-1
1944	1	-1
1944	2	-1
1944	3	-1
1944	4	-1
1944	5	-1
4452	1	-1
4452	2	-1
7799	1	-1
7799	2	-1
3275	1	-1
3275	2	-1
11728	1	-1
11728	2	-1
7639	1	-1
7639	2	-1
9861	1	-1
9861	2	-1
4437	1	-1
4437	2	-1
4437	3	-1
4437	4	-1
4437	5	-1
953	1	-1
953	2	-1
1458	1	-1
1458	2	-1
11224	1	-1
11224	2	-1
7960	1	-1
7960	2	-1
280	1	-1
280	2	-1
280	3	-1
1072	1	-1
1072	2	-1
7770	1	-1
7770	2	-1
11512	1	-1
11512	2	-1
9669	1	-1
9669	2	-1
9669	3	-1
9669	4	-1
5053	1	-1
5053	2	-1
5053	3	-1
5053	4	0
5053	5	0
5053	6	0
8709	1	-1
8709	2	-1
8709	3	-1
7768	1	-1
7768	2	-1
11248	1	-1
11248	2	-1
11657	1	-1
11657	2	-1
6123	1	-1
6123	2	-1
8163	1	-1
8163	2	-1
8687	1	-1
8687	2	-1
8687	3	-1
8687	4	-1
8687	5	-1
8687	6	-1
8687	7	-1
7200	1	-1
7200	2	-1
7200	3	-1
7711	1	-1
7711	2	-1
8299	1	-1
8299	2	-1
8193	1	-1
8193	2	-1
3265	1	-1
3265	2	-1
11178	1	-1
11178	2	-1
8149	1	-1
8149	2	-1
8998	1	-1
8998	2	-1
3254	1	-1
3254	2	-1
8066	1	-1
8066	2	-1
3424	1	-1
3424	2	-1
3475	1	-1
3475	2	-1
