date_hour	count	rating
11773	1	-1
11773	2	-1
8976	1	0
8976	2	0
12024	1	-1
12024	2	-1
9237	1	0
9237	2	0
9237	3	1
9237	4	1
9237	5	1
9237	6	1
9237	7	1
9237	8	1
9237	9	1
9237	10	2
9237	11	2
12025	1	-1
12025	2	-1
7991	1	1
7991	2	1
7991	3	1
260	1	1
260	2	1
260	3	1
2184	1	2
2184	2	2
2184	3	2
2184	4	2
9406	1	1
9406	2	1
9406	3	1
9547	1	0
9547	2	0
8005	1	1
8005	2	1
8005	3	2
8005	4	2
8005	5	2
2696	1	1
2696	2	1
9463	1	1
9463	2	1
9463	3	1
3870	1	0
3870	2	0
3870	3	1
3870	4	1
3870	5	2
3870	6	2
3870	7	2
8228	1	-1
8228	2	-1
8228	3	-1
647	1	1
647	2	1
647	3	1
1292	1	0
1292	2	0
11570	1	-1
11570	2	-1
2527	1	-1
2527	2	-1
11405	1	2
11405	2	2
11405	3	2
8901	1	0
8901	2	0
8901	3	0
8901	4	1
8901	5	1
2499	1	1
2499	2	1
4058	1	1
4058	2	1
4058	3	1
4058	4	1
4058	5	1
9385	1	0
9385	2	0
9385	3	1
9385	4	1
9385	5	1
9385	6	1
9385	7	1
9385	8	1
9385	9	1
9385	10	2
9385	11	2
8765	1	1
8765	2	1
8765	3	1
8765	4	1
8765	5	1
8765	6	1
8765	7	1
8766	1	1
8766	2	1
7764	1	1
7764	2	1
7764	3	1
3859	1	2
3859	2	2
3859	3	2
9567	1	0
9567	2	0
9567	3	1
9567	4	1
9101	1	1
9101	2	1
9101	3	1
11689	1	-1
11689	2	-1
9166	1	1
9166	2	1
9166	3	1
11512	1	-1
11512	2	-1
3936	1	2
3936	2	2
3936	3	2
3936	4	2
5057	1	-1
5057	2	-1
5057	3	-1
5057	4	0
5057	5	0
5057	6	0
9865	1	1
9865	2	1
9865	3	1
9865	4	1
9493	1	2
9493	2	2
9493	3	2
9493	4	2
11384	1	2
11384	2	2
11384	3	2
11384	4	2
11384	5	2
3942	1	2
3942	2	2
3942	3	2
3942	4	2
10203	1	1
10203	2	1
2759	1	-1
2759	2	-1
2759	3	1
2759	4	1
1767	1	0
1767	2	0
7997	1	1
7997	2	1
7997	3	2
7997	4	2
7997	5	2
2736	1	1
2736	2	1
2736	3	2
2736	4	2
7838	1	2
7838	2	2
7838	3	2
7839	1	2
7839	2	2
7839	3	2
10204	1	1
10204	2	1
10204	3	1
10204	4	1
10204	5	1
2229	1	2
2229	2	2
2229	3	2
2229	4	2
11544	1	-1
11544	2	-1
11544	3	-1
2209	1	2
2209	2	2
2209	3	2
1766	1	0
1766	2	0
8967	1	1
8967	2	1
2148	1	1
2148	2	1
2148	3	2
2148	4	2
7481	1	1
7481	2	1
7481	3	1
4379	1	1
4379	2	1
4379	3	1
4379	4	1
4379	5	1
4379	6	2
4379	7	2
4379	8	2
4379	9	2
8966	1	1
8966	2	1
8966	3	1
8966	4	1
8966	5	1
8966	6	1
8966	7	1
8966	8	1
8966	9	1
8966	10	1
8966	11	1
8966	12	1
8966	13	2
8966	14	2
8966	15	2
9105	1	1
9105	2	1
9105	3	1
5719	1	1
5719	2	1
9238	1	1
9238	2	1
9238	3	1
2765	1	1
2765	2	1
9164	1	0
9164	2	0
9164	3	1
9164	4	1
9164	5	1
9164	6	1
9164	7	1
9164	8	1
9164	9	1
9164	10	2
9164	11	2
1131	1	0
1131	2	0
1131	3	1
1131	4	1
1131	5	1
9566	1	0
9566	2	0
9566	3	0
9566	4	1
9566	5	1
9566	6	1
9566	7	1
9566	8	1
9566	9	1
9566	10	2
9566	11	2
7821	1	1
7821	2	1
7821	3	1
1506	1	-1
1506	2	-1
5031	1	-1
5031	2	-1
5031	3	-1
5031	4	0
5031	5	0
5031	6	0
9494	1	2
9494	2	2
9494	3	2
9494	4	2
4040	1	-1
4040	2	-1
9645	1	1
9645	2	1
9645	3	1
9645	4	1
9645	5	2
9645	6	2
9485	1	2
9485	2	2
9485	3	2
9485	4	2
9485	5	2
