date_hour	count	rating
11335	1	1
11335	2	1
9598	1	-1
9598	2	-1
1980	1	0
1980	2	0
1980	3	2
1980	4	2
10216	1	1
10216	2	1
11319	1	1
11319	2	1
6726	1	1
6726	2	1
11672	1	1
11672	2	1
5384	1	-1
5384	2	-1
8972	1	-1
8972	2	-1
8972	3	-1
8972	4	1
8972	5	1
8972	6	1
3835	1	1
3835	2	1
4934	1	1
4934	2	1
4934	3	1
4934	4	1
4934	5	1
5481	1	1
5481	2	1
3851	1	-1
3851	2	-1
3851	3	1
3851	4	1
3851	5	1
8606	1	-1
8606	2	-1
10969	1	1
10969	2	1
10969	3	1
908	1	1
908	2	1
7050	1	0
7050	2	0
7050	3	1
7050	4	1
276	1	1
276	2	1
8751	1	2
8751	2	2
1827	1	1
1827	2	1
1827	3	2
1827	4	2
11563	1	1
11563	2	1
9378	1	1
9378	2	1
9378	3	2
9378	4	2
11890	1	1
11890	2	1
11890	3	2
11890	4	2
5258	1	1
5258	2	1
10312	1	1
10312	2	1
4379	1	1
4379	2	1
4379	3	1
4379	4	1
4379	5	1
4379	6	1
4379	7	1
8895	1	1
8895	2	1
7664	1	1
7664	2	1
4093	1	1
4093	2	1
4093	3	1
4093	4	1
4093	5	1
7459	1	1
7459	2	1
11842	1	1
11842	2	1
4312	1	0
4312	2	0
4312	3	0
4312	4	0
4312	5	0
10421	1	1
10421	2	1
11206	1	1
11206	2	1
1407	1	0
1407	2	0
1407	3	1
1407	4	1
1407	5	2
1407	6	2
8172	1	-1
8172	2	-1
10698	1	1
10698	2	1
9520	1	1
9520	2	1
10253	1	1
10253	2	1
10253	3	1
2342	1	0
2342	2	0
8960	1	1
8960	2	1
8960	3	1
3480	1	1
3480	2	1
3480	3	2
3480	4	2
9843	1	1
9843	2	1
1244	1	0
1244	2	0
1244	3	2
1244	4	2
4089	1	1
4089	2	1
4089	3	1
4089	4	1
4089	5	1
9611	1	-1
9611	2	-1
9617	1	1
9617	2	1
11637	1	1
11637	2	1
9994	1	1
9994	2	1
7979	1	-1
7979	2	-1
7979	3	-1
2148	1	1
2148	2	1
5287	1	1
5287	2	1
1397	1	1
1397	2	1
9570	1	1
9570	2	1
9570	3	2
9570	4	2
6255	1	-1
6255	2	-1
4388	1	1
4388	2	1
4388	3	1
6993	1	1
6993	2	1
5984	1	1
5984	2	1
9803	1	0
9803	2	0
9807	1	1
9807	2	1
4337	1	0
4337	2	0
4337	3	0
4337	4	0
4337	5	0
3503	1	0
3503	2	0
8128	1	1
8128	2	1
8128	3	1
8128	4	1
8128	5	1
8128	6	1
8128	7	1
8128	8	1
8128	9	1
8128	10	1
8128	11	1
8128	12	1
8128	13	1
8128	14	1
8128	15	1
8128	16	1
8128	17	1
8128	18	1
8128	19	1
8128	20	1
8128	21	1
8128	22	1
8128	23	1
8128	24	1
8128	25	1
8128	26	1
8128	27	1
8128	28	1
8128	29	1
8128	30	1
8128	31	1
8128	32	1
8128	33	1
8128	34	1
8128	35	1
8128	36	1
8128	37	1
8128	38	1
8128	39	1
8128	40	1
8128	41	1
8128	42	1
8128	43	1
8128	44	1
8128	45	1
8128	46	1
8128	47	1
8128	48	1
8128	49	1
8128	50	1
8128	51	1
8128	52	1
8128	53	1
8128	54	1
8128	55	1
8128	56	1
8128	57	1
8128	58	1
8128	59	1
8128	60	1
8128	61	1
8128	62	1
8128	63	1
8128	64	1
8128	65	1
8128	66	1
8128	67	1
8128	68	1
8128	69	1
8128	70	1
8128	71	1
8128	72	1
8128	73	1
8128	74	1
8128	75	1
8128	76	1
8128	77	1
8128	78	1
8128	79	1
8128	80	1
8128	81	1
8128	82	1
8128	83	1
8128	84	1
8128	85	1
8128	86	1
8128	87	1
8128	88	1
8128	89	1
8128	90	1
8128	91	1
8128	92	1
8128	93	1
8128	94	1
8128	95	1
8128	96	1
8128	97	1
8128	98	1
8128	99	1
8128	100	1
8128	101	1
8128	102	1
8128	103	1
8128	104	1
8128	105	1
8128	106	1
8128	107	1
8128	108	1
8128	109	1
8128	110	1
8128	111	1
8128	112	1
8128	113	1
8128	114	1
8128	115	1
8128	116	1
8128	117	1
8128	118	1
8128	119	1
8128	120	1
8128	121	1
8312	1	-1
8312	2	-1
8312	3	-1
9161	1	1
9161	2	1
9332	1	-1
9332	2	-1
8782	1	-1
8782	2	-1
1327	1	-1
1327	2	-1
3328	1	0
3328	2	0
7079	1	1
7079	2	1
7079	3	1
932	1	0
932	2	0
2201	1	2
2201	2	2
8683	1	1
8683	2	1
1671	1	1
1671	2	1
10638	1	1
10638	2	1
10638	3	1
3972	1	-1
3972	2	-1
3972	3	0
3972	4	0
10910	1	1
10910	2	1
3254	1	2
3254	2	2
7304	1	1
7304	2	1
9064	1	1
9064	2	1
7084	1	1
7084	2	1
7084	3	2
7084	4	2
3345	1	0
3345	2	0
11999	1	1
11999	2	1
10199	1	1
10199	2	1
10199	3	1
11743	1	1
11743	2	1
4418	1	1
4418	2	1
4418	3	2
4418	4	2
8671	1	1
8671	2	1
8484	1	0
8484	2	0
8484	3	1
8484	4	1
7438	1	0
7438	2	0
8672	1	1
8672	2	1
1791	1	1
1791	2	1
6279	1	1
6279	2	1
10316	1	1
10316	2	1
9710	1	1
9710	2	1
9710	3	1
7137	1	1
7137	2	1
11471	1	1
11471	2	1
10139	1	0
10139	2	0
7622	1	-1
7622	2	-1
3609	1	1
3609	2	1
1825	1	1
1825	2	1
1825	3	2
1825	4	2
3429	1	0
3429	2	0
6700	1	1
6700	2	1
11324	1	1
11324	2	1
10505	1	1
10505	2	1
10652	1	1
10652	2	1
11248	1	-1
11248	2	-1
11248	3	-1
6499	1	1
6499	2	1
11618	1	1
11618	2	1
4282	1	1
4282	2	1
5823	1	1
5823	2	1
