date_hour	count	rating
1086	1	0
1086	2	0
10627	1	1
10627	2	1
8684	1	1
8684	2	1
10211	1	-1
10211	2	-1
11323	1	-1
11323	2	-1
8209	1	2
8209	2	2
8209	3	2
8209	4	2
1263	1	0
1263	2	0
2543	1	0
2543	2	0
2542	1	0
2542	2	0
11222	1	-1
11222	2	-1
9939	1	-1
9939	2	-1
2321	1	0
2321	2	0
3999	1	1
3999	2	1
8751	1	1
8751	2	1
8751	3	2
8751	4	2
4001	1	1
4001	2	1
4001	3	1
6181	1	1
6181	2	1
6185	1	1
6185	2	1
3896	1	0
3896	2	0
8965	1	1
8965	2	1
8965	3	2
8965	4	2
10414	1	-1
10414	2	-1
10414	3	-1
10414	4	0
10414	5	0
10414	6	0
3793	1	-1
3793	2	-1
11920	1	-1
11920	2	-1
11819	1	-1
11819	2	-1
8893	1	-1
8893	2	-1
8893	3	0
8893	4	0
7690	1	2
7690	2	2
7690	3	2
3333	1	1
3333	2	1
3333	3	2
3333	4	2
7626	1	-1
7626	2	-1
3955	1	2
3955	2	2
3955	3	2
779	1	0
779	2	0
779	3	0
779	4	0
779	5	0
11108	1	-1
11108	2	-1
11296	1	-1
11296	2	-1
7210	1	-1
7210	2	-1
10074	1	-1
10074	2	-1
7743	1	2
7743	2	2
7743	3	2
4010	1	1
4010	2	1
4010	3	1
4010	4	1
4010	5	1
11662	1	-1
11662	2	-1
9401	1	2
9401	2	2
337	1	0
337	2	0
7138	1	-1
7138	2	-1
9235	1	-1
9235	2	-1
10770	1	-1
10770	2	-1
8083	1	2
8083	2	2
8083	3	2
8083	4	2
9614	1	-1
9614	2	-1
9122	1	2
9122	2	2
9122	3	2
9122	4	2
9126	1	2
9126	2	2
9126	3	2
9126	4	2
10001	1	-1
10001	2	-1
7980	1	-1
7980	2	-1
7978	1	2
7978	2	2
7978	3	2
7978	4	2
11146	1	-1
11146	2	-1
7162	1	-1
7162	2	-1
1538	1	2
1538	2	2
7730	1	2
7730	2	2
7730	3	2
7730	4	2
3227	1	2
3227	2	2
3227	3	2
8322	1	2
8322	2	2
8322	3	2
8322	4	2
10714	1	-1
10714	2	-1
10714	3	-1
2509	1	1
2509	2	1
3108	1	1
3108	2	1
10246	1	-1
10246	2	-1
10162	1	-1
10162	2	-1
9578	1	2
9578	2	2
9578	3	2
11151	1	-1
11151	2	-1
158	1	2
158	2	2
158	3	2
158	4	2
158	5	2
8298	1	-1
8298	2	-1
8298	3	-1
2566	1	0
2566	2	0
3147	1	0
3147	2	0
9352	1	-1
9352	2	-1
3507	1	1
3507	2	1
10570	1	-1
10570	2	-1
10642	1	-1
10642	2	-1
10546	1	-1
10546	2	-1
8157	1	-1
8157	2	-1
9687	1	-1
9687	2	-1
7090	1	-1
7090	2	-1
6998	1	-1
6998	2	-1
6998	3	0
6998	4	0
6999	1	-1
6999	2	-1
1321	1	2
1321	2	2
1321	3	2
3322	1	1
3322	2	1
603	1	1
603	2	1
8674	1	1
8674	2	1
11546	1	-1
11546	2	-1
11546	3	-1
10911	1	-1
10911	2	-1
10084	1	-1
10084	2	-1
10084	3	-1
10084	4	0
10084	5	0
10084	6	0
11083	1	-1
11083	2	-1
1500	1	1
1500	2	1
3319	1	1
3319	2	1
9408	1	-1
9408	2	-1
9242	1	2
9242	2	2
9242	3	2
9242	4	2
9242	5	2
9242	6	2
3290	1	0
3290	2	0
11350	1	-1
11350	2	-1
1436	1	2
1436	2	2
3178	1	2
3178	2	2
8486	1	0
8486	2	0
2549	1	0
2549	2	0
11595	1	2
11595	2	2
11595	3	2
9477	1	-1
9477	2	-1
11557	1	2
11557	2	2
11557	3	2
11557	4	2
11558	1	2
11558	2	2
12033	1	-1
12033	2	-1
11572	1	2
11572	2	2
9110	1	-1
9110	2	-1
4189	1	1
4189	2	1
4189	3	1
4189	4	1
4189	5	1
4189	6	1
4189	7	1
4189	8	1
4189	9	1
4190	1	1
4190	2	1
4190	3	1
4190	4	1
4190	5	1
4191	1	1
4191	2	1
4191	3	1
4191	4	1
4191	5	1
7859	1	2
7859	2	2
7859	3	2
7859	4	2
7859	5	2
7859	6	2
7858	1	2
7858	2	2
7858	3	2
7858	4	2
7858	5	2
7858	6	2
7858	7	2
7858	8	2
3143	1	2
3143	2	2
3143	3	2
11202	1	-1
11202	2	-1
2761	1	1
2761	2	1
1217	1	1
1217	2	1
1216	1	2
1216	2	2
10813	1	-1
10813	2	-1
8923	1	-1
8923	2	-1
1049	1	2
1049	2	2
1049	3	2
11986	1	-1
11986	2	-1
8526	1	2
8526	2	2
8526	3	2
8526	4	2
8526	5	2
8526	6	2
8523	1	2
8523	2	2
8523	3	2
8523	4	2
10474	1	-1
10474	2	-1
3428	1	1
3428	2	1
11269	1	-1
11269	2	-1
10306	1	-1
10306	2	-1
7536	1	0
7536	2	0
7852	1	2
7852	2	2
7852	3	2
7852	4	2
7852	5	2
7852	6	2
7852	7	2
11878	1	-1
11878	2	-1
7820	1	-1
7820	2	-1
3168	1	2
3168	2	2
3168	3	2
