date_hour	count	rating
11333	1	-1
11333	2	-1
11333	3	-1
3932	1	1
3932	2	1
3932	3	1
3932	4	1
3932	5	1
3932	6	1
3932	7	1
3617	1	2
3617	2	2
3617	3	2
11231	1	-1
11231	2	-1
11665	1	-1
11665	2	-1
8702	1	-1
8702	2	-1
9360	1	1
9360	2	1
9360	3	1
9360	4	2
9360	5	2
9366	1	1
9366	2	1
9366	3	2
9366	4	2
8975	1	-1
8975	2	-1
9037	1	-1
9037	2	-1
11488	1	1
11488	2	1
11488	3	2
11488	4	2
9575	1	-1
9575	2	-1
8607	1	-1
8607	2	-1
8605	1	-1
8605	2	-1
9638	1	-1
9638	2	-1
10200	1	-1
10200	2	-1
9278	1	-1
9278	2	-1
8165	1	1
8165	2	1
8165	3	1
11895	1	-1
11895	2	-1
11039	1	-1
11039	2	-1
11101	1	-1
11101	2	-1
8893	1	-1
8893	2	-1
8893	3	-1
8893	4	0
8893	5	0
8893	6	0
9167	1	-1
9167	2	-1
9167	3	-1
9854	1	-1
9854	2	-1
10406	1	-1
10406	2	-1
10224	1	-1
10224	2	-1
9354	1	2
9354	2	2
3086	1	1
3086	2	1
3086	3	1
3087	1	1
3087	2	1
10032	1	-1
10032	2	-1
10358	1	-1
10358	2	-1
10358	3	-1
9134	1	-1
9134	2	-1
9382	1	-1
9382	2	-1
10391	1	-1
10391	2	-1
6325	1	1
6325	2	1
6325	3	1
1144	1	1
1144	2	1
9190	1	-1
9190	2	-1
8797	1	-1
8797	2	-1
10046	1	-1
10046	2	-1
10367	1	-1
10367	2	-1
10014	1	-1
10014	2	-1
10992	1	-1
10992	2	-1
11478	1	0
11478	2	0
9356	1	1
9356	2	1
9356	3	2
9356	4	2
9356	5	2
9356	6	2
9356	7	2
8773	1	-1
8773	2	-1
9357	1	1
9357	2	1
9357	3	2
9357	4	2
10055	1	-1
10055	2	-1
11208	1	-1
11208	2	-1
11495	1	-1
11495	2	-1
11495	3	2
11495	4	2
9355	1	2
9355	2	2
8854	1	-1
8854	2	-1
10368	1	-1
10368	2	-1
9734	1	-1
9734	2	-1
10152	1	-1
10152	2	-1
11997	1	2
11997	2	2
11531	1	1
11531	2	1
11531	3	1
8543	1	-1
8543	2	-1
9469	1	-1
9469	2	-1
8509	1	-1
8509	2	-1
9574	1	-1
9574	2	-1
10680	1	-1
10680	2	-1
11413	1	-1
11413	2	-1
9816	1	-1
9816	2	-1
9816	3	-1
11487	1	1
11487	2	1
11487	3	1
11487	4	1
11487	5	2
11487	6	2
11487	7	2
11487	8	2
11487	9	2
9696	1	-1
9696	2	-1
10541	1	-1
10541	2	-1
10541	3	-1
10541	4	-1
11078	1	-1
11078	2	-1
9310	1	-1
9310	2	-1
9061	1	-1
9061	2	-1
9061	3	-1
9902	1	-1
9902	2	-1
8807	1	2
8807	2	2
8806	1	-1
8806	2	-1
8806	3	1
8806	4	1
8806	5	2
8806	6	2
8638	1	-1
8638	2	-1
8639	1	-1
8639	2	-1
8639	3	-1
11996	1	1
11996	2	1
11996	3	2
11996	4	2
11996	5	2
9398	1	-1
9398	2	-1
9398	3	-1
11520	1	1
11520	2	1
11520	3	1
8533	1	-1
8533	2	-1
8533	3	0
8533	4	0
11486	1	2
11486	2	2
10896	1	-1
10896	2	-1
9109	1	-1
9109	2	-1
9109	3	-1
9830	1	-1
9830	2	-1
9214	1	-1
9214	2	-1
9214	3	-1
9214	4	-1
9214	5	0
9214	6	0
9214	7	0
9214	8	0
9710	1	-1
9710	2	-1
11826	1	1
11826	2	1
11826	3	1
11826	4	2
11826	5	2
11826	6	2
10175	1	-1
10175	2	-1
11823	1	1
11823	2	1
11823	3	1
11823	4	1
11823	5	2
11823	6	2
11823	7	2
11823	8	2
11823	9	2
11823	10	2
11198	1	-1
11198	2	-1
11825	1	1
11825	2	1
11825	3	2
11825	4	2
11825	5	2
8555	1	1
8555	2	1
8555	3	1
8711	1	-1
8711	2	-1
11994	1	1
11994	2	1
11994	3	1
11994	4	1
11994	5	1
11994	6	2
11994	7	2
11994	8	2
11994	9	2
11994	10	2
9023	1	-1
9023	2	-1
10479	1	-1
10479	2	-1
9358	1	1
9358	2	1
9358	3	1
9358	4	1
9358	5	1
9358	6	1
9358	7	1
9358	8	1
9358	9	1
9358	10	1
9358	11	1
9358	12	1
9358	13	1
9358	14	1
9358	15	1
9358	16	1
9358	17	1
9358	18	1
9358	19	2
9358	20	2
9358	21	2
9358	22	2
9358	23	2
9358	24	2
9358	25	2
9358	26	2
9358	27	2
9358	28	2
9359	1	1
9359	2	1
9359	3	1
9359	4	2
9359	5	2
3643	1	2
3643	2	2
3643	3	2
10559	1	-1
10559	2	-1
832	1	1
832	2	1
832	3	1
11189	1	-1
11189	2	-1
11712	1	-1
11712	2	-1
9502	1	-1
9502	2	-1
