date_hour	count	rating
8617	1	0
8617	2	0
8617	3	0
11014	1	0
11014	2	0
11014	3	0
8906	1	2
8906	2	2
8906	3	2
8906	4	2
11552	1	0
11552	2	0
5041	1	0
5041	2	0
5041	3	0
4901	1	2
4901	2	2
4901	3	2
4901	4	2
4901	5	2
4901	6	2
4901	7	2
4901	8	2
4901	9	2
3455	1	2
3455	2	2
3455	3	2
3455	4	2
3762	1	0
3762	2	0
10989	1	0
10989	2	0
10989	3	0
10989	4	0
10989	5	0
10989	6	0
10989	7	0
5075	1	2
5075	2	2
955	1	1
955	2	1
955	3	2
955	4	2
10239	1	2
10239	2	2
10239	3	2
10239	4	2
5082	1	0
5082	2	0
11225	1	0
11225	2	0
11224	1	0
11224	2	0
1860	1	0
1860	2	0
4968	1	1
4968	2	1
4968	3	1
4968	4	1
4968	5	1
4968	6	1
4968	7	1
7354	1	2
7354	2	2
7354	3	2
7354	4	2
7354	5	2
7354	6	2
11282	1	0
11282	2	0
11282	3	0
11282	4	0
11282	5	0
3590	1	1
3590	2	1
11894	1	2
11894	2	2
11037	1	0
11037	2	0
11037	3	0
3700	1	2
3700	2	2
3700	3	2
3700	4	2
11824	1	-1
11824	2	-1
7187	1	2
7187	2	2
7187	3	2
7186	1	2
7186	2	2
7186	3	2
3264	1	2
3264	2	2
3403	1	0
3403	2	0
3403	3	0
5064	1	0
5064	2	0
3399	1	2
3399	2	2
9602	1	0
9602	2	0
11029	1	0
11029	2	0
7218	1	0
7218	2	0
7218	3	0
11009	1	0
11009	2	0
11009	3	0
11009	4	0
11008	1	0
11008	2	0
11008	3	0
2355	1	2
2355	2	2
2355	3	2
2355	4	2
2355	5	2
2355	6	2
11011	1	-1
11011	2	-1
11011	3	-1
11011	4	-1
11011	5	-1
11011	6	-1
11011	7	-1
11011	8	-1
11011	9	-1
11011	10	-1
11011	11	-1
11011	12	-1
11011	13	-1
11011	14	-1
11011	15	-1
11011	16	-1
11011	17	-1
11011	18	-1
11011	19	-1
11011	20	-1
11011	21	-1
11011	22	-1
11011	23	-1
11011	24	0
11011	25	0
11011	26	0
11010	1	-1
11010	2	-1
11010	3	-1
11010	4	-1
11010	5	-1
11010	6	-1
11010	7	-1
11010	8	-1
11010	9	-1
11010	10	-1
11010	11	-1
11010	12	-1
11010	13	-1
11010	14	-1
11010	15	-1
11010	16	-1
11010	17	-1
11010	18	0
11010	19	0
11010	20	0
11010	21	0
11010	22	0
11010	23	0
11010	24	0
11010	25	0
11010	26	0
11010	27	0
11010	28	0
11010	29	0
11010	30	0
11010	31	0
11010	32	0
11010	33	0
11010	34	0
11010	35	0
11010	36	0
11010	37	0
11010	38	0
11010	39	0
11010	40	0
11010	41	0
11010	42	0
11010	43	0
11010	44	0
11010	45	0
11010	46	0
11010	47	0
11010	48	0
11010	49	0
11010	50	0
11010	51	0
11010	52	0
11010	53	0
11010	54	0
11010	55	0
11010	56	0
11010	57	0
11010	58	0
11010	59	0
11010	60	0
11010	61	0
11010	62	0
11010	63	0
11010	64	0
11010	65	0
11010	66	0
11010	67	0
11010	68	0
11010	69	0
11010	70	0
11010	71	0
11010	72	0
11010	73	0
2688	1	2
2688	2	2
2688	3	2
7293	1	1
7293	2	1
11094	1	0
11094	2	0
1517	1	2
1517	2	2
1517	3	2
1517	4	2
11523	1	2
11523	2	2
11523	3	2
11523	4	2
1144	1	2
1144	2	2
1144	3	2
10990	1	0
10990	2	0
10991	1	0
10991	2	0
11394	1	2
11394	2	2
4874	1	2
4874	2	2
4874	3	2
4874	4	2
4874	5	2
4874	6	2
4875	1	2
4875	2	2
4875	3	2
4875	4	2
4875	5	2
4875	6	2
1812	1	2
1812	2	2
1812	3	2
1812	4	2
3939	1	2
3939	2	2
3939	3	2
3939	4	2
2472	1	2
2472	2	2
2472	3	2
2472	4	2
2472	5	2
11024	1	0
11024	2	0
1480	1	2
1480	2	2
1480	3	2
10992	1	0
10992	2	0
11081	1	0
11081	2	0
11000	1	0
11000	2	0
11564	1	2
11564	2	2
11564	3	2
2658	1	1
2658	2	1
2658	3	1
2533	1	2
2533	2	2
2533	3	2
2651	1	2
2651	2	2
2651	3	2
7317	1	1
7317	2	1
7317	3	1
4037	1	2
4037	2	2
4037	3	2
4037	4	2
4037	5	2
4037	6	2
3492	1	1
3492	2	1
4033	1	2
4033	2	2
4033	3	2
4033	4	2
4033	5	2
4033	6	2
959	1	0
959	2	0
959	3	0
880	1	2
880	2	2
1416	1	1
1416	2	1
7172	1	0
7172	2	0
7172	3	0
426	1	2
426	2	2
426	3	2
426	4	2
426	5	2
426	6	2
426	7	2
8951	1	0
8951	2	0
8951	3	0
11702	1	0
11702	2	0
11702	3	0
11702	4	0
4638	1	2
4638	2	2
4638	3	2
4638	4	2
9172	1	0
