date_hour	count	rating
290	1	-1
290	2	-1
290	3	-1
7791	1	-1
7791	2	-1
7791	3	1
7791	4	1
7791	5	1
7791	6	2
7791	7	2
11349	1	0
11349	2	0
11349	3	0
11349	4	0
11349	5	0
11349	6	0
11349	7	0
11349	8	0
11349	9	0
11349	10	0
11349	11	0
11349	12	0
11349	13	0
11349	14	0
11349	15	0
11349	16	0
11349	17	0
11349	18	0
11349	19	0
11349	20	0
11348	1	2
11348	2	2
718	1	1
718	2	1
11136	1	1
11136	2	1
9906	1	1
9906	2	1
4800	1	1
4800	2	1
4800	3	1
4800	4	1
4800	5	1
3425	1	-1
3425	2	-1
3425	3	-1
2635	1	1
2635	2	1
4268	1	1
4268	2	1
8348	1	1
8348	2	1
8854	1	-1
8854	2	-1
8853	1	-1
8853	2	-1
9012	1	0
9012	2	0
9012	3	1
9012	4	1
9012	5	2
9012	6	2
5784	1	1
5784	2	1
7146	1	1
7146	2	1
11255	1	2
11255	2	2
8203	1	1
8203	2	1
10706	1	1
10706	2	1
10706	3	1
10706	4	1
10706	5	1
10706	6	1
10706	7	1
10706	8	1
10706	9	1
1266	1	1
1266	2	1
5568	1	-1
5568	2	-1
11370	1	1
11370	2	1
625	1	-1
625	2	-1
10317	1	1
10317	2	1
7145	1	1
7145	2	1
7145	3	1
6501	1	1
6501	2	1
7124	1	1
7124	2	1
10552	1	-1
10552	2	-1
8783	1	1
8783	2	1
5082	1	1
5082	2	1
3593	1	1
3593	2	1
3593	3	1
10914	1	1
10914	2	1
8636	1	2
8636	2	2
909	1	1
909	2	1
5474	1	1
5474	2	1
6648	1	1
6648	2	1
10190	1	-1
10190	2	-1
10190	3	1
10190	4	1
10190	5	1
10190	6	2
10190	7	2
11986	1	1
11986	2	1
7056	1	1
7056	2	1
2842	1	-1
2842	2	-1
573	1	0
573	2	0
575	1	-1
575	2	-1
575	3	-1
575	4	0
575	5	0
575	6	0
10945	1	0
10945	2	0
377	1	2
377	2	2
8362	1	1
8362	2	1
11801	1	1
11801	2	1
10670	1	1
10670	2	1
10653	1	1
10653	2	1
10929	1	0
10929	2	0
1558	1	1
1558	2	1
8898	1	-1
8898	2	-1
6310	1	1
6310	2	1
3818	1	2
3818	2	2
7222	1	2
7222	2	2
7699	1	1
7699	2	1
10004	1	1
10004	2	1
976	1	1
976	2	1
5501	1	1
5501	2	1
7304	1	1
7304	2	1
7538	1	-1
7538	2	-1
9703	1	1
9703	2	1
2951	1	-1
2951	2	-1
11776	1	1
11776	2	1
5654	1	1
5654	2	1
10167	1	1
10167	2	1
10236	1	1
10236	2	1
7782	1	-1
7782	2	-1
1802	1	-1
1802	2	-1
1802	3	-1
