date_hour	count	rating
8787	1	-1
8787	2	-1
8617	1	1
8617	2	1
8617	3	1
8617	4	1
8620	1	1
8620	2	1
8620	3	1
8620	4	1
8620	5	1
8620	6	1
8620	7	1
8620	8	1
8620	9	1
10177	1	-1
10177	2	-1
4495	1	-1
4495	2	-1
4495	3	-1
4495	4	-1
4495	5	-1
8007	1	-1
8007	2	-1
11241	1	-1
11241	2	-1
11234	1	-1
11234	2	-1
11234	3	-1
11234	4	-1
11882	1	-1
11882	2	-1
8202	1	-1
8202	2	-1
8202	3	-1
8881	1	-1
8881	2	-1
8881	3	-1
8881	4	-1
8881	5	-1
8881	6	-1
8881	7	-1
8881	8	-1
8881	9	-1
11165	1	-1
11165	2	-1
8754	1	-1
8754	2	-1
8754	3	-1
7051	1	-1
7051	2	-1
10513	1	-1
10513	2	-1
10513	3	-1
330	1	1
330	2	1
330	3	1
10457	1	-1
10457	2	-1
10457	3	-1
10457	4	-1
10457	5	-1
10457	6	-1
10457	7	-1
4915	1	-1
4915	2	-1
4915	3	-1
4915	4	-1
4915	5	-1
8828	1	-1
8828	2	-1
3896	1	2
3896	2	2
3896	3	2
4244	1	1
4244	2	1
4244	3	1
4244	4	1
4244	5	1
11288	1	-1
11288	2	-1
8301	1	-1
8301	2	-1
8301	3	-1
7241	1	-1
7241	2	-1
7241	3	0
7241	4	0
8186	1	-1
8186	2	-1
7698	1	-1
7698	2	-1
7698	3	-1
7293	1	-1
7293	2	-1
11830	1	-1
11830	2	-1
11830	3	-1
11831	1	-1
11831	2	-1
5072	1	-1
5072	2	-1
8612	1	-1
8612	2	-1
9962	1	-1
9962	2	-1
10449	1	-1
10449	2	-1
10449	3	-1
10449	4	-1
10449	5	-1
10449	6	-1
268	1	1
268	2	1
268	3	1
268	4	1
10293	1	-1
10293	2	-1
7180	1	-1
7180	2	-1
7680	1	-1
7680	2	-1
10725	1	-1
10725	2	-1
2024	1	-1
2024	2	-1
8036	1	-1
8036	2	-1
340	1	1
340	2	1
11855	1	-1
11855	2	-1
300	1	1
300	2	1
300	3	1
10448	1	-1
10448	2	-1
10448	3	-1
10448	4	-1
8083	1	-1
8083	2	-1
9450	1	-1
9450	2	-1
9450	3	-1
9450	4	-1
10447	1	-1
10447	2	-1
10447	3	-1
10447	4	-1
10447	5	-1
10447	6	-1
10446	1	-1
10446	2	-1
10446	3	-1
10446	4	-1
10446	5	-1
10446	6	-1
10446	7	-1
10446	8	-1
10446	9	-1
10446	10	-1
10446	11	-1
10446	12	-1
10446	13	-1
10446	14	-1
10446	15	-1
10446	16	-1
10446	17	-1
10446	18	-1
10446	19	-1
10446	20	-1
10446	21	-1
10446	22	-1
10446	23	-1
10446	24	-1
10446	25	-1
10446	26	-1
10446	27	-1
10446	28	-1
10446	29	-1
10446	30	-1
10446	31	-1
10446	32	-1
10446	33	-1
10446	34	-1
10446	35	-1
10446	36	-1
10446	37	-1
10446	38	-1
10446	39	-1
10446	40	-1
10446	41	-1
10446	42	-1
10446	43	-1
10446	44	-1
10446	45	-1
10446	46	-1
10446	47	-1
10446	48	-1
10446	49	-1
10446	50	-1
10446	51	-1
10446	52	-1
10446	53	-1
10446	54	-1
10446	55	-1
10446	56	-1
10446	57	-1
10446	58	-1
8851	1	-1
8851	2	-1
7987	1	-1
7987	2	-1
11023	1	-1
11023	2	-1
8323	1	-1
8323	2	-1
7729	1	-1
7729	2	-1
4020	1	-1
4020	2	-1
10917	1	-1
10917	2	-1
10702	1	-1
10702	2	-1
10703	1	-1
10703	2	-1
10703	3	-1
10700	1	-1
10700	2	-1
10701	1	-1
10701	2	-1
4715	1	-1
4715	2	-1
349	1	1
349	2	1
320	1	1
320	2	1
320	3	1
10458	1	-1
10458	2	-1
10458	3	-1
10458	4	-1
10458	5	-1
10458	6	-1
10458	7	-1
10458	8	-1
10459	1	-1
10459	2	-1
10459	3	-1
10459	4	-1
10436	1	-1
10436	2	-1
10452	1	-1
10452	2	-1
10452	3	-1
10452	4	-1
10453	1	-1
10453	2	-1
10453	3	-1
10453	4	-1
10453	5	-1
10453	6	-1
10453	7	-1
10450	1	-1
10450	2	-1
10450	3	-1
10450	4	-1
10450	5	-1
10450	6	-1
10451	1	-1
10451	2	-1
10451	3	-1
10451	4	-1
10456	1	-1
10456	2	-1
10456	3	-1
10456	4	-1
10456	5	-1
291	1	1
291	2	1
291	3	1
10454	1	-1
10454	2	-1
10454	3	-1
10455	1	-1
10455	2	-1
10455	3	-1
10455	4	-1
7174	1	-1
7174	2	-1
7630	1	-1
7630	2	-1
7630	3	-1
11926	1	-1
11926	2	-1
7530	1	-1
7530	2	-1
11420	1	-1
11420	2	-1
11420	3	-1
5004	1	-1
5004	2	-1
5004	3	-1
5004	4	-1
5004	5	-1
8157	1	-1
8157	2	-1
8157	3	-1
8158	1	-1
8158	2	-1
8396	1	-1
8396	2	-1
9171	1	-1
9171	2	-1
9691	1	-1
9691	2	-1
10153	1	-1
10153	2	-1
10153	3	-1
10463	1	-1
10463	2	-1
10463	3	-1
10463	4	-1
10463	5	-1
10463	6	-1
10463	7	-1
10463	8	-1
10463	9	-1
10463	10	-1
10463	11	-1
10463	12	-1
10463	13	-1
10463	14	-1
10463	15	-1
10463	16	-1
10462	1	-1
10462	2	-1
10462	3	-1
10462	4	-1
10462	5	-1
10462	6	-1
10462	7	-1
10462	8	-1
10462	9	-1
10462	10	-1
10462	11	-1
10462	12	-1
10462	13	-1
10462	14	-1
10462	15	-1
10462	16	-1
10462	17	-1
10462	18	-1
10462	19	-1
10462	20	-1
10462	21	-1
10462	22	-1
10462	23	-1
10462	24	-1
10462	25	-1
10462	26	-1
10462	27	-1
10462	28	-1
10462	29	-1
10462	30	-1
10462	31	-1
10462	32	-1
10462	33	-1
10462	34	-1
10462	35	-1
10462	36	-1
10462	37	-1
10461	1	-1
10461	2	-1
10461	3	-1
10461	4	-1
10460	1	-1
10460	2	-1
4260	1	-1
4260	2	-1
8475	1	-1
8475	2	-1
9722	1	-1
9722	2	-1
9473	1	-1
9473	2	-1
9003	1	-1
9003	2	-1
11119	1	-1
11119	2	-1
9336	1	-1
9336	2	-1
9336	3	-1
9337	1	-1
9337	2	-1
10076	1	-1
10076	2	-1
8572	1	1
8572	2	1
8573	1	1
8573	2	1
8573	3	1
8573	4	1
11696	1	2
11696	2	2
11696	3	2
11697	1	2
11697	2	2
11697	3	2
11697	4	2
11697	5	2
10797	1	-1
10797	2	-1
9819	1	-1
9819	2	-1
10468	1	-1
10468	2	-1
10468	3	-1
9066	1	-1
9066	2	-1
9067	1	-1
9067	2	-1
12026	1	-1
12026	2	-1
4163	1	-1
4163	2	-1
4163	3	-1
4163	4	-1
4163	5	-1
10130	1	-1
10130	2	-1
9980	1	-1
9980	2	-1
9980	3	-1
9905	1	-1
9905	2	-1
10870	1	-1
10870	2	-1
11521	1	-1
11521	2	-1
10470	1	-1
10470	2	-1
10470	3	-1
10470	4	-1
10470	5	-1
10470	6	-1
10470	7	-1
10470	8	-1
10470	9	-1
10470	10	-1
10470	11	-1
10470	12	-1
10470	13	-1
10470	14	-1
10470	15	-1
10470	16	-1
10470	17	-1
10469	1	-1
10469	2	-1
10469	3	-1
10469	4	-1
10469	5	-1
10469	6	-1
10469	7	-1
10469	8	-1
10469	9	-1
8669	1	-1
8669	2	-1
10467	1	-1
10467	2	-1
10467	3	-1
10467	4	-1
10467	5	-1
10467	6	-1
10467	7	-1
10467	8	-1
10467	9	-1
10467	10	-1
10467	11	-1
10467	12	-1
10467	13	-1
10467	14	-1
10467	15	-1
10467	16	-1
10465	1	-1
10465	2	-1
10465	3	-1
10464	1	-1
10464	2	-1
10464	3	-1
10464	4	-1
10464	5	-1
10464	6	-1
10464	7	-1
10464	8	-1
10464	9	-1
10464	10	-1
10464	11	-1
10464	12	-1
10464	13	-1
4758	1	-1
4758	2	-1
4758	3	-1
4758	4	-1
4758	5	-1
10896	1	-1
10896	2	-1
10896	3	-1
8825	1	-1
8825	2	-1
7866	1	-1
7866	2	-1
9317	1	-1
9317	2	-1
11404	1	0
11404	2	0
8901	1	-1
8901	2	-1
8901	3	-1
8900	1	-1
8900	2	-1
7770	1	-1
7770	2	-1
11470	1	-1
11470	2	-1
8633	1	1
8633	2	1
9521	1	-1
9521	2	-1
7341	1	-1
7341	2	-1
9390	1	-1
9390	2	-1
11677	1	-1
11677	2	-1
11327	1	-1
11327	2	-1
11275	1	-1
11275	2	-1
10654	1	-1
10654	2	-1
10654	3	-1
10654	4	-1
7377	1	1
7377	2	1
7377	3	1
7377	4	1
7377	5	1
7220	1	-1
7220	2	-1
7220	3	-1
7030	1	-1
7030	2	-1
8395	1	-1
8395	2	-1
9839	1	-1
9839	2	-1
7853	1	1
7853	2	1
11877	1	-1
11877	2	-1
7650	1	-1
7650	2	-1
11190	1	-1
11190	2	-1
11719	1	-1
11719	2	-1
