date_hour	count	rating
10007	1	-1
10007	2	-1
4502	1	-1
4502	2	-1
8705	1	-1
8705	2	-1
8705	3	-1
8705	4	-1
8702	1	-1
8702	2	-1
8214	1	-1
8214	2	-1
8882	1	-1
8882	2	-1
8882	3	-1
8882	4	-1
8882	5	-1
818	1	1
818	2	1
818	3	1
818	4	1
818	5	1
9862	1	1
9862	2	1
9862	3	1
11160	1	-1
11160	2	-1
7637	1	-1
7637	2	-1
7637	3	-1
1121	1	-1
1121	2	-1
11342	1	-1
11342	2	-1
11342	3	-1
11342	4	-1
4976	1	1
4976	2	1
4976	3	1
11655	1	-1
11655	2	-1
4974	1	1
4974	2	1
4974	3	1
4974	4	1
4974	5	1
4973	1	1
4973	2	1
4973	3	1
4973	4	1
4973	5	1
4973	6	1
4973	7	1
4973	8	1
4973	9	1
4971	1	1
4971	2	1
4971	3	1
4971	4	1
4971	5	1
4968	1	1
4968	2	1
4968	3	1
4969	1	1
4969	2	1
4969	3	1
4969	4	1
4969	5	1
7999	1	-1
7999	2	-1
11242	1	-1
11242	2	-1
11288	1	-1
11288	2	-1
8001	1	-1
8001	2	-1
8301	1	-1
8301	2	-1
7195	1	1
7195	2	1
7195	3	1
8302	1	-1
8302	2	-1
2349	1	1
2349	2	1
7694	1	1
7694	2	1
10314	1	-1
10314	2	-1
10314	3	-1
7192	1	-1
7192	2	-1
7192	3	-1
7191	1	-1
7191	2	-1
9489	1	-1
9489	2	-1
4096	1	-1
4096	2	-1
5012	1	1
5012	2	1
5012	3	1
5012	4	1
5012	5	1
5068	1	1
5068	2	1
5068	3	1
5068	4	1
5068	5	1
5068	6	1
5068	7	1
7456	1	-1
7456	2	-1
7457	1	-1
7457	2	-1
7457	3	-1
7457	4	-1
7457	5	-1
7455	1	-1
7455	2	-1
7455	3	1
7455	4	1
7455	5	1
7453	1	-1
7453	2	-1
6172	1	-1
6172	2	-1
7148	1	-1
7148	2	-1
7148	3	-1
7148	4	-1
7148	5	-1
9979	1	-1
9979	2	-1
7125	1	-1
7125	2	-1
9676	1	-1
9676	2	-1
7672	1	-1
7672	2	-1
4958	1	2
4958	2	2
4958	3	2
1724	1	-1
1724	2	-1
7168	1	-1
7168	2	-1
7169	1	-1
7169	2	-1
7169	3	-1
7166	1	-1
7166	2	-1
7985	1	-1
7985	2	-1
7985	3	-1
7983	1	-1
7983	2	-1
7983	3	-1
8322	1	-1
8322	2	-1
8322	3	-1
796	1	0
796	2	0
796	3	0
796	4	1
796	5	1
796	6	1
8314	1	-1
8314	2	-1
10721	1	-1
10721	2	-1
8318	1	-1
8318	2	-1
9187	1	-1
9187	2	-1
7962	1	-1
7962	2	-1
5034	1	1
5034	2	1
5034	3	1
5034	4	1
5034	5	1
5034	6	1
5034	7	1
5034	8	1
5034	9	1
7888	1	-1
7888	2	-1
7886	1	-1
7886	2	-1
7885	1	-1
7885	2	-1
7885	3	-1
7890	1	-1
7890	2	-1
11704	1	-1
11704	2	-1
11707	1	-1
11707	2	-1
11707	3	-1
3969	1	0
3969	2	0
3969	3	0
3969	4	0
3969	5	1
3969	6	1
3969	7	1
3969	8	1
3927	1	1
3927	2	1
7817	1	-1
7817	2	-1
7817	3	-1
7817	4	-1
7817	5	-1
7817	6	-1
7817	7	-1
7000	1	-1
7000	2	-1
7001	1	-1
7001	2	-1
11043	1	-1
11043	2	-1
6997	1	-1
6997	2	-1
6997	3	-1
11793	1	-1
11793	2	-1
11536	1	-1
11536	2	-1
7002	1	-1
7002	2	-1
8344	1	-1
8344	2	-1
8341	1	-1
8341	2	-1
8346	1	-1
8346	2	-1
8346	3	-1
8346	4	-1
8346	5	1
8346	6	1
8346	7	1
11426	1	-1
11426	2	-1
11657	1	-1
11657	2	-1
8513	1	-1
8513	2	-1
10910	1	-1
10910	2	-1
10910	3	-1
10914	1	-1
10914	2	-1
9066	1	-1
9066	2	-1
9980	1	-1
9980	2	-1
8030	1	-1
8030	2	-1
564	1	0
564	2	0
11350	1	-1
11350	2	-1
4654	1	-1
4654	2	-1
11560	1	-1
11560	2	-1
7464	1	0
7464	2	0
10626	1	-1
10626	2	-1
10626	3	-1
10626	4	-1
10626	5	-1
10626	6	-1
10626	7	-1
10626	8	-1
10626	9	-1
10626	10	-1
10626	11	-1
10626	12	-1
10626	13	-1
10626	14	-1
10626	15	-1
10626	16	-1
10626	17	-1
10626	18	0
10626	19	0
10626	20	0
10626	21	0
10626	22	0
10626	23	0
10626	24	0
10626	25	0
10626	26	0
10626	27	0
10626	28	0
10626	29	0
10626	30	0
10626	31	0
10626	32	0
10626	33	0
10626	34	1
10626	35	1
10626	36	1
10626	37	1
10626	38	1
10626	39	1
10626	40	1
10626	41	1
10626	42	1
10626	43	1
10626	44	1
10626	45	1
10626	46	1
10626	47	1
10626	48	1
10626	49	1
10626	50	1
10626	51	1
10626	52	1
10626	53	1
10626	54	1
10626	55	1
10626	56	1
10626	57	1
10626	58	1
10626	59	1
10626	60	1
10626	61	1
10626	62	1
10626	63	1
10626	64	1
10626	65	1
8830	1	-1
8830	2	-1
758	1	1
758	2	1
758	3	1
758	4	1
758	5	1
758	6	1
761	1	0
761	2	0
761	3	0
761	4	1
761	5	1
761	6	1
7779	1	-1
7779	2	-1
7779	3	-1
8525	1	-1
8525	2	-1
9569	1	-1
9569	2	-1
9569	3	-1
9569	4	-1
7839	1	-1
7839	2	-1
7840	1	-1
7840	2	-1
7841	1	-1
7841	2	-1
7841	3	0
7841	4	0
10654	1	-1
10654	2	-1
10491	1	-1
10491	2	-1
7335	1	-1
7335	2	-1
7334	1	-1
7334	2	-1
7334	3	-1
9948	1	-1
9948	2	-1
9948	3	-1
11264	1	-1
11264	2	-1
10243	1	-1
10243	2	-1
9036	1	-1
9036	2	-1
9747	1	-1
9747	2	-1
11221	1	-1
11221	2	-1
2318	1	0
2318	2	0
11227	1	1
11227	2	1
11227	3	1
11226	1	1
11226	2	1
11226	3	1
7360	1	-1
7360	2	-1
7360	3	-1
7360	4	-1
7358	1	-1
7358	2	-1
7363	1	-1
7363	2	-1
8232	1	-1
8232	2	-1
8997	1	-1
8997	2	-1
9857	1	-1
9857	2	-1
2951	1	-1
2951	2	-1
8150	1	-1
8150	2	-1
9859	1	-1
9859	2	-1
9859	3	-1
8152	1	-1
8152	2	-1
10361	1	-1
10361	2	-1
3951	1	0
3951	2	0
9137	1	-1
9137	2	-1
1405	1	1
1405	2	1
2344	1	1
2344	2	1
7685	1	1
7685	2	1
7685	3	1
9488	1	-1
9488	2	-1
4080	1	0
4080	2	0
7460	1	1
7460	2	1
769	1	-1
769	2	-1
2625	1	0
2625	2	0
7957	1	-1
7957	2	-1
10380	1	-1
10380	2	-1
10380	3	-1
10380	4	-1
10380	5	-1
10380	6	-1
10380	7	-1
10380	8	0
10380	9	0
10380	10	0
10380	11	0
10380	12	0
10380	13	0
10380	14	0
10380	15	0
10380	16	0
10380	17	0
10380	18	1
10380	19	1
10380	20	1
10380	21	1
10380	22	1
10380	23	1
10380	24	1
10380	25	1
10380	26	1
10380	27	1
10380	28	1
10380	29	1
10380	30	1
10380	31	1
10380	32	1
10380	33	1
11732	1	-1
11732	2	-1
10384	1	-1
10384	2	-1
10383	1	-1
10383	2	-1
8044	1	-1
8044	2	-1
9562	1	1
9562	2	1
7532	1	-1
7532	2	-1
4039	1	0
4039	2	0
7676	1	-1
7676	2	-1
11397	1	-1
11397	2	-1
11397	3	-1
4967	1	1
4967	2	1
4967	3	1
4967	4	1
4967	5	1
8695	1	-1
8695	2	-1
11782	1	-1
11782	2	-1
1677	1	-1
1677	2	-1
8304	1	-1
8304	2	-1
4775	1	0
4775	2	0
4775	3	0
4775	4	1
4775	5	1
4775	6	1
805	1	0
805	2	0
5024	1	1
5024	2	1
5024	3	1
5019	1	1
5019	2	1
5019	3	1
11065	1	-1
11065	2	-1
11065	3	-1
11065	4	-1
11065	5	-1
11065	6	-1
11065	7	-1
11065	8	-1
11065	9	-1
11065	10	-1
5021	1	1
5021	2	1
5021	3	1
5021	4	1
5021	5	1
5023	1	1
5023	2	1
5023	3	1
5023	4	1
5023	5	1
7894	1	-1
7894	2	-1
7894	3	-1
7894	4	-1
934	1	1
934	2	1
4671	1	-1
4671	2	-1
4671	3	-1
4671	4	-1
4671	5	-1
7503	1	-1
7503	2	-1
7503	3	-1
7286	1	-1
7286	2	-1
7287	1	-1
7287	2	-1
7501	1	-1
7501	2	-1
3976	1	0
3976	2	0
3976	3	0
3976	4	1
3976	5	1
3976	6	1
11585	1	-1
11585	2	-1
11583	1	-1
11583	2	-1
11583	3	-1
11583	4	-1
11583	5	-1
11583	6	-1
11583	7	-1
11583	8	-1
11583	9	-1
11583	10	-1
11583	11	-1
11583	12	-1
11583	13	-1
11583	14	-1
11583	15	-1
11583	16	-1
11583	17	-1
11583	18	-1
11583	19	-1
11583	20	-1
11583	21	-1
11583	22	0
11583	23	0
11583	24	0
11583	25	0
11583	26	0
11583	27	0
11583	28	0
11583	29	0
11583	30	0
11583	31	0
11583	32	0
11583	33	0
11583	34	0
11583	35	0
11583	36	0
11583	37	1
11583	38	1
11583	39	1
11583	40	1
11583	41	1
11583	42	1
11583	43	1
11583	44	1
11583	45	1
11583	46	1
11583	47	1
11583	48	1
11583	49	1
11583	50	1
11583	51	1
11583	52	1
11583	53	1
11583	54	1
11583	55	1
11583	56	1
11583	57	1
11583	58	1
11583	59	1
11583	60	1
11583	61	1
11583	62	1
11583	63	1
11583	64	1
11583	65	1
11583	66	1
11583	67	1
11583	68	1
11583	69	1
11583	70	1
11583	71	1
8093	1	-1
8093	2	-1
7806	1	-1
7806	2	-1
7081	1	-1
7081	2	-1
7081	3	-1
9210	1	-1
9210	2	-1
11066	1	-1
11066	2	-1
11066	3	-1
11066	4	-1
9310	1	-1
9310	2	-1
8545	1	-1
8545	2	-1
1644	1	0
1644	2	0
8823	1	-1
8823	2	-1
8823	3	-1
8641	1	-1
8641	2	-1
8641	3	-1
8645	1	0
8645	2	0
7555	1	-1
7555	2	-1
7555	3	-1
7865	1	-1
7865	2	-1
7861	1	-1
7861	2	-1
