date_hour	count	rating
11335	1	-1
11335	2	-1
9262	1	-1
9262	2	-1
9262	3	-1
9263	1	-1
9263	2	-1
9263	3	-1
9263	4	-1
9263	5	-1
3614	1	1
3614	2	1
3614	3	1
3614	4	1
3614	5	1
3614	6	1
3614	7	1
3614	8	1
3614	9	1
3614	10	1
3614	11	1
3614	12	1
3614	13	1
3614	14	1
3614	15	1
3614	16	1
3615	1	1
3615	2	1
3615	3	1
3615	4	1
3615	5	1
3615	6	1
3616	1	1
3616	2	1
3616	3	1
3617	1	1
3617	2	1
3617	3	1
3617	4	1
3618	1	1
3618	2	1
3618	3	1
4438	1	-1
4438	2	-1
10958	1	-1
10958	2	-1
4500	1	1
4500	2	1
4507	1	-1
4507	2	-1
7425	1	-1
7425	2	-1
9269	1	-1
9269	2	-1
9269	3	-1
8202	1	-1
8202	2	-1
8202	3	-1
5739	1	-1
5739	2	-1
9267	1	-1
9267	2	-1
9267	3	-1
9334	1	-1
9334	2	-1
4388	1	-1
4388	2	-1
8201	1	-1
8201	2	-1
8201	3	-1
8201	4	-1
8201	5	-1
8201	6	-1
8201	7	-1
8201	8	-1
7196	1	0
7196	2	0
7196	3	0
5442	1	-1
5442	2	-1
11448	1	-1
11448	2	-1
11231	1	1
11231	2	1
9787	1	-1
9787	2	-1
10928	1	-1
10928	2	-1
9418	1	-1
9418	2	-1
10186	1	-1
10186	2	-1
10186	3	-1
3024	1	1
3024	2	1
3024	3	2
3024	4	2
7328	1	-1
7328	2	-1
7048	1	-1
7048	2	-1
5052	1	-1
5052	2	-1
4969	1	-1
4969	2	-1
4969	3	-1
4969	4	1
4969	5	1
4969	6	1
11281	1	-1
11281	2	-1
7357	1	1
7357	2	1
11916	1	-1
11916	2	-1
11242	1	-1
11242	2	-1
4534	1	1
4534	2	1
7558	1	-1
7558	2	-1
7558	3	-1
7558	4	-1
7558	5	-1
11824	1	1
11824	2	1
11824	3	2
11824	4	2
9235	1	-1
9235	2	-1
9235	3	-1
10526	1	-1
10526	2	-1
10526	3	-1
10526	4	-1
10526	5	-1
10526	6	-1
10526	7	-1
10526	8	-1
10526	9	-1
10526	10	-1
3495	1	0
3495	2	0
3495	3	2
3495	4	2
11863	1	-1
11863	2	-1
4359	1	1
4359	2	1
11850	1	-1
11850	2	-1
11850	3	-1
3662	1	1
3662	2	1
9966	1	-1
9966	2	-1
8797	1	-1
8797	2	-1
8797	3	-1
4889	1	-1
4889	2	-1
11479	1	-1
11479	2	-1
11211	1	-1
11211	2	-1
7036	1	-1
7036	2	-1
7036	3	-1
3422	1	1
3422	2	1
3422	3	2
3422	4	2
11294	1	-1
11294	2	-1
7212	1	0
7212	2	0
7212	3	0
9743	1	-1
9743	2	-1
11904	1	-1
11904	2	-1
3489	1	2
3489	2	2
3489	3	2
3524	1	2
3524	2	2
3524	3	2
3527	1	2
3527	2	2
3527	3	2
2111	1	1
2111	2	1
4376	1	-1
4376	2	-1
4376	3	-1
4376	4	1
4376	5	1
4376	6	1
4680	1	-1
4680	2	-1
2099	1	1
2099	2	1
9496	1	-1
9496	2	-1
10656	1	-1
10656	2	-1
3587	1	1
3587	2	1
3587	3	2
3587	4	2
8140	1	-1
8140	2	-1
8140	3	-1
8140	4	-1
8140	5	-1
8140	6	-1
8141	1	-1
8141	2	-1
8141	3	-1
8141	4	-1
8141	5	-1
8141	6	-1
8141	7	-1
8141	8	-1
8141	9	-1
8141	10	-1
8141	11	-1
8141	12	-1
8141	13	-1
8141	14	-1
8141	15	-1
9662	1	-1
9662	2	-1
9662	3	1
9662	4	1
4296	1	-1
4296	2	-1
9617	1	-1
9617	2	-1
9967	1	-1
9967	2	-1
9967	3	-1
9967	4	-1
11807	1	-1
11807	2	-1
10008	1	1
10008	2	1
2367	1	-1
2367	2	-1
4215	1	-1
4215	2	-1
4798	1	-1
4798	2	-1
4798	3	-1
4798	4	-1
4798	5	-1
8252	1	-1
8252	2	-1
8252	3	-1
8252	4	-1
8252	5	-1
8252	6	-1
8252	7	-1
8252	8	-1
8252	9	-1
8252	10	-1
11022	1	-1
11022	2	-1
9264	1	-1
9264	2	-1
9264	3	-1
9264	4	-1
9264	5	-1
11608	1	-1
11608	2	-1
9508	1	-1
9508	2	-1
9508	3	-1
7736	1	-1
7736	2	-1
5008	1	-1
5008	2	-1
7912	1	-1
7912	2	-1
7912	3	-1
4716	1	-1
4716	2	-1
9077	1	1
9077	2	1
11846	1	-1
11846	2	-1
10692	1	-1
10692	2	-1
9694	1	-1
9694	2	-1
9694	3	-1
9694	4	-1
7134	1	-1
7134	2	-1
7134	3	-1
7497	1	-1
7497	2	-1
1103	1	1
1103	2	1
1103	3	1
9438	1	-1
9438	2	-1
9438	3	-1
10517	1	-1
10517	2	-1
10303	1	-1
10303	2	-1
10303	3	-1
10303	4	-1
11143	1	-1
11143	2	-1
3308	1	-1
3308	2	-1
3308	3	1
3308	4	1
7937	1	-1
7937	2	-1
11924	1	-1
11924	2	-1
10662	1	-1
10662	2	-1
9458	1	-1
9458	2	-1
10710	1	-1
10710	2	-1
3510	1	2
3510	2	2
3510	3	2
5007	1	1
5007	2	1
3513	1	2
3513	2	2
3513	3	2
7902	1	-1
7902	2	-1
7902	3	-1
7902	4	-1
7902	5	-1
9332	1	-1
9332	2	-1
9332	3	-1
10549	1	-1
10549	2	-1
9194	1	-1
9194	2	-1
9194	3	-1
8365	1	-1
8365	2	-1
10420	1	-1
10420	2	-1
11349	1	-1
11349	2	-1
9398	1	-1
9398	2	-1
10963	1	-1
10963	2	-1
10529	1	-1
10529	2	-1
9253	1	-1
9253	2	-1
9253	3	-1
9253	4	-1
9253	5	-1
9253	6	-1
9253	7	-1
11731	1	-1
11731	2	-1
11013	1	-1
11013	2	-1
11013	3	-1
9796	1	-1
9796	2	-1
8676	1	-1
8676	2	-1
4343	1	-1
4343	2	-1
3516	1	2
3516	2	2
3516	3	2
2562	1	-1
2562	2	-1
5107	1	-1
5107	2	-1
11834	1	-1
11834	2	-1
11694	1	-1
11694	2	-1
10632	1	-1
10632	2	-1
11418	1	-1
11418	2	-1
10868	1	-1
10868	2	-1
5105	1	-1
5105	2	-1
10115	1	-1
10115	2	-1
10543	1	-1
10543	2	-1
4169	1	-1
4169	2	-1
7803	1	-1
7803	2	-1
9148	1	-1
9148	2	-1
5113	1	-1
5113	2	-1
9888	1	-1
9888	2	-1
10885	1	-1
10885	2	-1
4835	1	-1
4835	2	-1
11754	1	-1
11754	2	-1
3645	1	2
3645	2	2
3645	3	2
8643	1	-1
8643	2	-1
11952	1	-1
11952	2	-1
1774	1	1
1774	2	1
8229	1	-1
8229	2	-1
8229	3	-1
8229	4	-1
8229	5	-1
8229	6	-1
8229	7	-1
8229	8	-1
10297	1	-1
10297	2	-1
10297	3	-1
10560	1	-1
10560	2	-1
10560	3	-1
7776	1	1
7776	2	1
7776	3	1
11201	1	-1
11201	2	-1
7767	1	-1
7767	2	-1
4365	1	-1
4365	2	-1
8412	1	-1
8412	2	-1
2115	1	1
2115	2	1
4366	1	-1
4366	2	-1
4366	3	-1
4366	4	1
4366	5	1
4366	6	1
11756	1	-1
11756	2	-1
9916	1	-1
9916	2	-1
9916	3	-1
9916	4	-1
7393	1	-1
7393	2	-1
4432	1	1
4432	2	1
4432	3	1
10474	1	-1
10474	2	-1
10474	3	-1
10474	4	-1
10474	5	-1
10474	6	-1
10474	7	-1
10474	8	-1
10474	9	-1
10474	10	0
10474	11	0
10474	12	0
10475	1	-1
10475	2	-1
10475	3	-1
2011	1	1
2011	2	1
8657	1	-1
8657	2	-1
9544	1	-1
9544	2	-1
11710	1	-1
11710	2	-1
11710	3	-1
11710	4	-1
12020	1	-1
12020	2	-1
11970	1	-1
11970	2	-1
11908	1	-1
11908	2	-1
11908	3	-1
8206	1	-1
8206	2	-1
8206	3	-1
8206	4	-1
8206	5	-1
8206	6	-1
8206	7	-1
7543	1	-1
7543	2	-1
11825	1	1
11825	2	1
11825	3	2
11825	4	2
4445	1	1
4445	2	1
4445	3	1
4445	4	1
4445	5	1
11812	1	-1
11812	2	-1
11812	3	-1
