date_hour	count	rating
854	1	-1
854	2	-1
3786	1	-1
3786	2	-1
1575	1	-1
1575	2	-1
1575	3	-1
11751	1	-1
11751	2	-1
3694	1	-1
3694	2	-1
9949	1	-1
9949	2	-1
3043	1	-1
3043	2	-1
11223	1	-1
11223	2	-1
11223	3	-1
7341	1	-1
7341	2	-1
7341	3	-1
7341	4	-1
7341	5	-1
4739	1	-1
4739	2	-1
10779	1	2
10779	2	2
10779	3	2
10779	4	2
8083	1	-1
8083	2	-1
8083	3	-1
1619	1	-1
1619	2	-1
1619	3	-1
1619	4	-1
1547	1	-1
1547	2	-1
1548	1	-1
1548	2	-1
7350	1	-1
7350	2	-1
10738	1	2
10738	2	2
10738	3	2
10738	4	2
2171	1	-1
2171	2	-1
11407	1	-1
11407	2	-1
3899	1	-1
3899	2	-1
2250	1	-1
2250	2	-1
7739	1	-1
7739	2	-1
1317	1	-1
1317	2	-1
1318	1	-1
1318	2	-1
1318	3	-1
7250	1	-1
7250	2	-1
11903	1	-1
11903	2	-1
9709	1	-1
9709	2	-1
981	1	-1
981	2	-1
3932	1	-1
3932	2	-1
3968	1	-1
3968	2	-1
3835	1	-1
3835	2	-1
10694	1	2
10694	2	2
10694	3	2
10694	4	2
5074	1	-1
5074	2	-1
1013	1	-1
1013	2	-1
9284	1	-1
9284	2	-1
1244	1	-1
1244	2	-1
7638	1	-1
7638	2	-1
7638	3	-1
7113	1	-1
7113	2	-1
2942	1	-1
2942	2	-1
9427	1	-1
9427	2	-1
9427	3	-1
9427	4	-1
9427	5	-1
10186	1	-1
10186	2	-1
9330	1	-1
9330	2	-1
1327	1	-1
1327	2	-1
3780	1	-1
3780	2	-1
8446	1	-1
8446	2	-1
8445	1	-1
8445	2	-1
9995	1	-1
9995	2	-1
3938	1	-1
3938	2	-1
4955	1	-1
4955	2	-1
3941	1	-1
3941	2	-1
3095	1	-1
3095	2	-1
1632	1	-1
1632	2	-1
2892	1	-1
2892	2	-1
2953	1	-1
2953	2	-1
1600	1	-1
1600	2	-1
1600	3	-1
1600	4	-1
3942	1	-1
3942	2	-1
8288	1	-1
8288	2	-1
1288	1	-1
1288	2	-1
3816	1	-1
3816	2	-1
8202	1	-1
8202	2	-1
8202	3	-1
7544	1	-1
7544	2	-1
7545	1	-1
7545	2	-1
9644	1	2
9644	2	2
9644	3	2
5581	1	-1
5581	2	-1
1475	1	-1
1475	2	-1
1475	3	-1
1501	1	-1
1501	2	-1
1501	3	-1
1174	1	-1
1174	2	-1
1846	1	-1
1846	2	-1
2928	1	-1
2928	2	-1
7452	1	2
7452	2	2
7452	3	2
7452	4	2
7452	5	2
7452	6	2
7452	7	2
7452	8	2
2800	1	-1
2800	2	-1
2904	1	-1
2904	2	-1
