date_hour	count	rating
9550	1	-1
9550	2	-1
8435	1	-1
8435	2	-1
8435	3	-1
1579	1	-1
1579	2	-1
1579	3	2
1579	4	2
1579	5	2
11762	1	-1
11762	2	-1
11233	1	-1
11233	2	-1
9011	1	-1
9011	2	-1
9011	3	-1
8496	1	-1
8496	2	-1
8496	3	-1
9340	1	-1
9340	2	-1
9521	1	-1
9521	2	-1
7468	1	-1
7468	2	-1
8884	1	-1
8884	2	-1
4008	1	-1
4008	2	-1
4008	3	-1
4008	4	-1
4008	5	-1
7109	1	-1
7109	2	-1
7098	1	-1
7098	2	-1
7098	3	-1
8089	1	-1
8089	2	-1
9750	1	-1
9750	2	-1
9750	3	-1
9750	4	-1
9750	5	-1
9750	6	-1
3554	1	-1
3554	2	-1
10154	1	-1
10154	2	-1
10154	3	-1
10154	4	-1
7059	1	-1
7059	2	-1
10284	1	-1
10284	2	-1
10421	1	0
10421	2	0
10421	3	1
10421	4	1
9766	1	-1
9766	2	-1
9767	1	-1
9767	2	-1
9764	1	-1
9764	2	-1
7049	1	-1
7049	2	-1
2478	1	2
2478	2	2
2478	3	2
8236	1	-1
8236	2	-1
7921	1	-1
7921	2	-1
10754	1	-1
10754	2	-1
10586	1	-1
10586	2	-1
1441	1	-1
1441	2	-1
9749	1	-1
9749	2	-1
7750	1	-1
7750	2	-1
10488	1	-1
10488	2	-1
4135	1	-1
4135	2	-1
9751	1	-1
9751	2	-1
9751	3	-1
9751	4	-1
7734	1	-1
7734	2	-1
9096	1	-1
9096	2	-1
9096	3	-1
7728	1	-1
7728	2	-1
7319	1	-1
7319	2	-1
7319	3	-1
8412	1	-1
8412	2	-1
3551	1	-1
3551	2	-1
7532	1	-1
7532	2	-1
7130	1	-1
7130	2	-1
7130	3	-1
10225	1	-1
10225	2	-1
