date_hour	count	rating
11665	1	1
11665	2	1
11665	3	1
11665	4	1
11667	1	1
11667	2	1
11667	3	1
10955	1	1
10955	2	1
11869	1	1
11869	2	1
11869	3	1
11869	4	1
11868	1	1
11868	2	1
11868	3	1
11841	1	1
11841	2	1
11840	1	1
11840	2	1
11840	3	1
11544	1	1
11544	2	1
11723	1	1
11723	2	1
11723	3	1
279	1	-1
279	2	-1
12021	1	1
12021	2	1
469	1	1
469	2	1
469	3	1
11865	1	1
11865	2	1
11865	3	1
12013	1	1
12013	2	1
12013	3	1
400	1	1
400	2	1
400	3	1
400	4	1
400	5	1
11859	1	1
11859	2	1
11850	1	1
11850	2	1
11850	3	1
11828	1	1
11828	2	1
11828	3	1
11828	4	1
11732	1	1
11732	2	1
11732	3	1
11848	1	1
11848	2	1
269	1	1
269	2	1
269	3	1
269	4	1
269	5	1
3468	1	1
3468	2	1
3432	1	1
3432	2	1
3432	3	2
3432	4	2
3434	1	1
3434	2	1
9496	1	-1
9496	2	-1
11852	1	1
11852	2	1
1022	1	1
1022	2	1
7064	1	0
7064	2	0
10941	1	1
10941	2	1
10943	1	1
10943	2	1
188	1	1
188	2	1
12003	1	1
12003	2	1
4061	1	1
4061	2	1
4061	3	1
4061	4	2
4061	5	2
4061	6	2
11695	1	1
11695	2	1
11695	3	1
11695	4	1
1570	1	1
1570	2	1
3222	1	1
3222	2	1
3222	3	2
3222	4	2
8328	1	0
8328	2	0
11924	1	1
11924	2	1
11924	3	1
3500	1	1
3500	2	1
3961	1	-1
3961	2	-1
3961	3	0
3961	4	0
11642	1	1
11642	2	1
11971	1	1
11971	2	1
11971	3	1
3329	1	1
3329	2	1
11742	1	1
11742	2	1
11742	3	1
11742	4	1
6996	1	2
6996	2	2
6996	3	2
11739	1	1
11739	2	1
11739	3	1
11739	4	1
3324	1	1
3324	2	1
11798	1	1
11798	2	1
11798	3	1
11798	4	1
11523	1	1
11523	2	1
10927	1	1
10927	2	1
10926	1	1
10926	2	1
11774	1	1
11774	2	1
10907	1	-1
10907	2	-1
11650	1	1
11650	2	1
11650	3	1
10912	1	1
10912	2	1
10915	1	1
10915	2	1
11578	1	1
11578	2	1
219	1	-1
219	2	-1
219	3	-1
219	4	0
219	5	0
219	6	0
11947	1	1
11947	2	1
3317	1	-1
3317	2	-1
3317	3	2
3317	4	2
3341	1	1
3341	2	1
3341	3	2
3341	4	2
903	1	1
903	2	1
4248	1	1
4248	2	1
4248	3	1
4248	4	1
4248	5	1
3382	1	1
3382	2	1
3382	3	1
3383	1	1
3383	2	1
3383	3	2
3383	4	2
11800	1	1
11800	2	1
10930	1	1
10930	2	1
10932	1	1
10932	2	1
10932	3	1
11761	1	1
11761	2	1
11761	3	1
10938	1	1
10938	2	1
10903	1	1
10903	2	1
11600	1	1
11600	2	1
11600	3	1
11573	1	1
11573	2	1
11573	3	1
11952	1	1
11952	2	1
3325	1	1
3325	2	1
198	1	1
198	2	1
198	3	1
198	4	1
198	5	1
11827	1	1
11827	2	1
10813	1	-1
10813	2	-1
11630	1	1
11630	2	1
11991	1	1
11991	2	1
913	1	1
913	2	1
913	3	2
913	4	2
10951	1	1
10951	2	1
12005	1	1
12005	2	1
12005	3	1
11709	1	1
11709	2	1
11709	3	1
11709	4	1
11784	1	1
11784	2	1
11784	3	1
10952	1	1
10952	2	1
11682	1	1
11682	2	1
730	1	-1
730	2	-1
730	3	-1
11624	1	1
11624	2	1
11721	1	1
11721	2	1
11721	3	1
11817	1	1
11817	2	1
11811	1	0
11811	2	0
11811	3	1
11811	4	1
