date_hour	count	rating
1936	1	1
1936	2	1
1936	3	2
1936	4	2
1937	1	1
1937	2	1
1937	3	2
1937	4	2
1937	5	2
1934	1	1
1934	2	1
1934	3	1
1934	4	1
1934	5	1
1934	6	1
1934	7	2
1934	8	2
1935	1	1
1935	2	1
1935	3	1
1933	1	1
1933	2	1
1933	3	1
1931	1	1
1931	2	1
1750	1	2
1750	2	2
1748	1	2
1748	2	2
1749	1	2
1749	2	2
1982	1	1
1982	2	1
1983	1	0
1983	2	0
1938	1	1
1938	2	1
1997	1	1
1997	2	1
10218	1	2
10218	2	2
2000	1	1
2000	2	1
2000	3	2
2000	4	2
2001	1	1
2001	2	1
2001	3	2
2001	4	2
1944	1	1
1944	2	1
1944	3	2
1944	4	2
1945	1	1
1945	2	1
1945	3	1
1945	4	2
1945	5	2
3060	1	1
3060	2	1
948	1	2
948	2	2
1226	1	-1
1226	2	-1
952	1	2
952	2	2
1745	1	2
1745	2	2
1745	3	2
1745	4	2
1942	1	1
1942	2	1
1942	3	2
1942	4	2
1942	5	2
1981	1	1
1981	2	1
1747	1	2
1747	2	2
1747	3	2
1747	4	2
7188	1	2
7188	2	2
2049	1	1
2049	2	1
3400	1	1
3400	2	1
3038	1	0
3038	2	0
2402	1	1
2402	2	1
2402	3	1
2404	1	1
2404	2	1
1965	1	1
1965	2	1
1965	3	1
1965	4	1
1965	5	1
1965	6	2
1965	7	2
1965	8	2
1965	9	2
1965	10	2
1965	11	2
3527	1	1
3527	2	1
2663	1	0
2663	2	0
2019	1	1
2019	2	1
3231	1	0
3231	2	0
2180	1	1
2180	2	1
2664	1	0
2664	2	0
2657	1	1
2657	2	1
2985	1	0
2985	2	0
2187	1	1
2187	2	1
434	1	1
434	2	1
434	3	1
433	1	1
433	2	1
1547	1	1
1547	2	1
1549	1	1
1549	2	1
1549	3	1
1554	1	1
1554	2	1
3868	1	1
3868	2	1
3543	1	1
3543	2	1
3543	3	1
235	1	2
235	2	2
235	3	2
234	1	2
234	2	2
4266	1	0
4266	2	0
4266	3	0
1989	1	1
1989	2	1
1989	3	1
1989	4	2
1989	5	2
1989	6	2
1988	1	2
1988	2	2
1988	3	2
1991	1	1
1991	2	1
1991	3	2
1991	4	2
1991	5	2
1990	1	2
1990	2	2
1990	3	2
2161	1	1
2161	2	1
1000	1	1
1000	2	1
2168	1	2
2168	2	2
7501	1	2
7501	2	2
3528	1	2
3528	2	2
3528	3	2
3528	4	2
11527	1	0
11527	2	0
619	1	1
619	2	1
619	3	1
1940	1	1
1940	2	1
1774	1	2
1774	2	2
7552	1	2
7552	2	2
1915	1	0
1915	2	0
2013	1	1
2013	2	1
2013	3	1
2013	4	1
1912	1	2
1912	2	2
1912	3	2
1913	1	-1
1913	2	-1
1913	3	0
1913	4	0
1913	5	2
1913	6	2
1913	7	2
1913	8	2
1913	9	2
1913	10	2
1910	1	2
1910	2	2
1910	3	2
1910	4	2
1910	5	2
1911	1	2
1911	2	2
1911	3	2
1911	4	2
1911	5	2
1925	1	1
1925	2	1
1927	1	1
1927	2	1
1920	1	0
1920	2	0
1920	3	2
1920	4	2
1920	5	2
1977	1	2
1977	2	2
1976	1	2
1976	2	2
1976	3	2
1970	1	1
1970	2	1
2011	1	-1
2011	2	-1
2919	1	1
2919	2	1
2005	1	1
2005	2	1
2003	1	-1
2003	2	-1
2008	1	1
2008	2	1
2007	1	1
2007	2	1
2007	3	1
2007	4	2
2007	5	2
2006	1	1
2006	2	1
1963	1	1
1963	2	1
1963	3	2
1963	4	2
1963	5	2
1963	6	2
1963	7	2
1963	8	2
1963	9	2
1963	10	2
1963	11	2
1954	1	2
1954	2	2
1954	3	2
1960	1	-1
1960	2	-1
1919	1	0
1919	2	0
1919	3	1
1919	4	1
1919	5	2
1919	6	2
1919	7	2
1919	8	2
1919	9	2
1918	1	0
1918	2	0
1918	3	1
1918	4	1
1918	5	2
1918	6	2
1918	7	2
1918	8	2
1917	1	0
1917	2	0
1917	3	1
1917	4	1
1917	5	2
1917	6	2
1917	7	2
1917	8	2
1917	9	2
1917	10	2
1917	11	2
1917	12	2
1916	1	2
1916	2	2
1916	3	2
1916	4	2
1916	5	2
1916	6	2
1916	7	2
1916	8	2
1916	9	2
