date_hour	count	rating
3933	1	0
3933	2	0
3933	3	0
3933	4	2
3933	5	2
3933	6	2
3933	7	2
3933	8	2
1933	1	2
1933	2	2
1933	3	2
3935	1	0
3935	2	0
3935	3	0
3935	4	2
3935	5	2
3935	6	2
6991	1	2
6991	2	2
6991	3	2
9671	1	-1
9671	2	-1
1089	1	2
1089	2	2
1089	3	2
9183	1	-1
9183	2	-1
1761	1	2
1761	2	2
1761	3	2
1760	1	2
1760	2	2
8724	1	-1
8724	2	-1
8011	1	-1
8011	2	-1
8011	3	-1
8011	4	-1
8011	5	-1
4896	1	1
4896	2	1
4896	3	1
645	1	2
645	2	2
647	1	2
647	2	2
4526	1	0
4526	2	0
1945	1	2
1945	2	2
3281	1	2
3281	2	2
3276	1	2
3276	2	2
3276	3	2
9637	1	-1
9637	2	-1
10351	1	2
10351	2	2
4970	1	1
4970	2	1
8708	1	-1
8708	2	-1
4488	1	2
4488	2	2
4488	3	2
9043	1	-1
9043	2	-1
9043	3	-1
4600	1	2
4600	2	2
4600	3	2
4600	4	2
4600	5	2
2977	1	2
2977	2	2
9375	1	-1
9375	2	-1
9375	3	-1
9375	4	-1
9375	5	-1
9375	6	-1
9375	7	-1
9375	8	-1
9375	9	-1
10749	1	-1
10749	2	-1
10749	3	1
10749	4	1
10749	5	2
10749	6	2
7194	1	2
7194	2	2
7697	1	-1
7697	2	-1
10362	1	-1
10362	2	-1
8335	1	2
8335	2	2
4891	1	1
4891	2	1
4891	3	1
4891	4	1
4891	5	1
8991	1	2
8991	2	2
2281	1	0
2281	2	0
5071	1	1
5071	2	1
5071	3	1
5071	4	1
5071	5	1
7458	1	-1
7458	2	-1
2976	1	2
2976	2	2
7455	1	0
7455	2	0
8150	1	-1
8150	2	-1
9662	1	-1
9662	2	-1
9624	1	-1
9624	2	-1
4946	1	0
4946	2	0
4946	3	0
4946	4	2
4946	5	2
4946	6	2
9664	1	-1
9664	2	-1
9664	3	-1
8345	1	-1
8345	2	-1
8345	3	-1
10280	1	2
10280	2	2
7720	1	-1
7720	2	-1
7672	1	-1
7672	2	-1
5634	1	2
5634	2	2
3944	1	0
3944	2	0
3944	3	0
3944	4	2
3944	5	2
3944	6	2
4962	1	1
4962	2	1
4962	3	1
4963	1	1
4963	2	1
4963	3	1
4819	1	0
4819	2	0
4819	3	0
4819	4	2
4819	5	2
4819	6	2
4819	7	2
4819	8	2
4818	1	0
4818	2	0
4818	3	0
4818	4	2
4818	5	2
4818	6	2
9661	1	-1
9661	2	-1
3936	1	0
3936	2	0
3936	3	0
3936	4	2
3936	5	2
3936	6	2
4955	1	0
4955	2	0
4955	3	0
4955	4	2
4955	5	2
4955	6	2
9085	1	-1
9085	2	-1
9085	3	-1
4959	1	0
4959	2	0
4959	3	2
4959	4	2
2232	1	0
2232	2	0
2232	3	2
2232	4	2
4938	1	0
4938	2	0
4938	3	0
4938	4	2
4938	5	2
4938	6	2
7982	1	-1
7982	2	-1
8492	1	-1
8492	2	-1
10001	1	-1
10001	2	-1
10001	3	1
10001	4	1
10001	5	2
10001	6	2
2667	1	2
2667	2	2
2667	3	2
4485	1	0
4485	2	0
4485	3	2
4485	4	2
9646	1	-1
9646	2	-1
7676	1	-1
7676	2	-1
7676	3	-1
7676	4	-1
5027	1	0
5027	2	0
5027	3	0
5027	4	2
5027	5	2
5027	6	2
4006	1	0
4006	2	0
4006	3	0
4006	4	2
4006	5	2
4006	6	2
160	1	1
160	2	1
7991	1	-1
7991	2	-1
4270	1	2
4270	2	2
4268	1	2
4268	2	2
665	1	2
665	2	2
9044	1	2
9044	2	2
9044	3	2
9044	4	2
8059	1	-1
8059	2	-1
8059	3	-1
9811	1	-1
9811	2	-1
9811	3	1
9811	4	1
9811	5	2
9811	6	2
8293	1	2
8293	2	2
8293	3	2
8293	4	2
8293	5	2
8294	1	-1
8294	2	-1
8294	3	2
8294	4	2
9456	1	-1
9456	2	-1
8296	1	-1
8296	2	-1
10575	1	-1
10575	2	-1
10575	3	-1
5011	1	2
5011	2	2
8516	1	-1
8516	2	-1
7313	1	-1
7313	2	-1
8823	1	2
8823	2	2
8823	3	2
8823	4	2
8823	5	2
4070	1	0
4070	2	0
5656	1	2
5656	2	2
5022	1	0
5022	2	0
5022	3	0
5022	4	2
5022	5	2
5022	6	2
9690	1	-1
9690	2	-1
6998	1	2
6998	2	2
6998	3	2
4281	1	2
4281	2	2
4673	1	0
4673	2	0
4673	3	0
4673	4	0
4673	5	2
4673	6	2
4673	7	2
4673	8	2
2758	1	2
2758	2	2
2758	3	2
8342	1	-1
8342	2	-1
1601	1	2
1601	2	2
10607	1	2
10607	2	2
7606	1	-1
7606	2	-1
8346	1	-1
8346	2	-1
4674	1	2
4674	2	2
4674	3	2
8513	1	-1
8513	2	-1
11417	1	-1
11417	2	-1
8515	1	-1
8515	2	-1
11513	1	-1
11513	2	-1
3979	1	2
3979	2	2
3979	3	2
3979	4	2
3979	5	2
9208	1	-1
9208	2	-1
2788	1	2
2788	2	2
2788	3	2
9645	1	-1
9645	2	-1
9645	3	-1
2771	1	0
2771	2	0
931	1	2
931	2	2
931	3	2
10533	1	2
10533	2	2
9762	1	2
9762	2	2
9762	3	2
4841	1	0
4841	2	0
4841	3	1
4841	4	1
4657	1	0
4657	2	0
4657	3	0
4657	4	2
4657	5	2
4657	6	2
8535	1	-1
8535	2	-1
8490	1	-1
8490	2	-1
9015	1	-1
9015	2	-1
4191	1	0
4191	2	0
4153	1	0
4153	2	0
4153	3	0
4153	4	2
4153	5	2
4153	6	2
10175	1	-1
10175	2	-1
3768	1	1
3768	2	1
3768	3	2
3768	4	2
7623	1	-1
7623	2	-1
7623	3	-1
7623	4	-1
7623	5	-1
9453	1	-1
9453	2	-1
9453	3	-1
8659	1	-1
8659	2	-1
2759	1	0
2759	2	0
2759	3	2
2759	4	2
2264	1	2
2264	2	2
2264	3	2
1429	1	2
1429	2	2
7794	1	-1
7794	2	-1
7651	1	-1
7651	2	-1
7651	3	-1
1102	1	2
1102	2	2
7646	1	-1
7646	2	-1
7646	3	-1
