date_hour	count	rating
3017	1	-1
3017	2	-1
1449	1	0
1449	2	0
3060	1	1
3060	2	1
1005	1	0
1005	2	0
1445	1	0
1445	2	0
1007	1	-1
1007	2	-1
1111	1	2
1111	2	2
1111	3	2
1441	1	0
1441	2	0
2927	1	-1
2927	2	-1
5238	1	-1
5238	2	-1
8702	1	2
8702	2	2
8702	3	2
8702	4	2
8702	5	2
7406	1	-1
7406	2	-1
9365	1	-1
9365	2	-1
8210	1	-1
8210	2	-1
1647	1	-1
1647	2	-1
1947	1	0
1947	2	0
2274	1	0
2274	2	0
11868	1	-1
11868	2	-1
1948	1	-1
1948	2	-1
3276	1	2
3276	2	2
3619	1	-1
3619	2	-1
2134	1	0
2134	2	0
1743	1	-1
1743	2	-1
1743	3	-1
1940	1	0
1940	2	0
1940	3	0
8634	1	2
8634	2	2
8634	3	2
8634	4	2
8634	5	2
2321	1	1
2321	2	1
2975	1	-1
2975	2	-1
1454	1	-1
1454	2	-1
10201	1	-1
10201	2	-1
1456	1	0
1456	2	0
1457	1	-1
1457	2	-1
8164	1	2
8164	2	2
3451	1	-1
3451	2	-1
1290	1	0
1290	2	0
3119	1	0
3119	2	0
11895	1	-1
11895	2	-1
11895	3	-1
8700	1	2
8700	2	2
8700	3	2
8700	4	2
2348	1	-1
2348	2	-1
2348	3	-1
2348	4	2
2348	5	2
2348	6	2
3824	1	-1
3824	2	-1
2687	1	2
2687	2	2
8155	1	2
8155	2	2
2111	1	1
2111	2	1
2111	3	2
2111	4	2
1808	1	-1
1808	2	-1
8135	1	2
8135	2	2
8135	3	2
8135	4	2
8134	1	2
8134	2	2
8134	3	2
8134	4	2
5208	1	2
5208	2	2
10229	1	-1
10229	2	-1
10229	3	-1
8150	1	2
8150	2	2
3426	1	-1
3426	2	-1
4306	1	-1
4306	2	-1
4306	3	-1
4306	4	-1
4306	5	-1
4306	6	-1
4306	7	-1
4306	8	-1
4306	9	-1
4306	10	-1
4306	11	-1
4306	12	-1
4306	13	-1
4306	14	-1
4306	15	-1
4306	16	-1
4306	17	-1
4306	18	-1
4306	19	-1
4306	20	-1
4306	21	-1
4306	22	-1
4306	23	-1
4306	24	-1
4306	25	-1
4306	26	-1
