date_hour	count	rating
5132	1	1
5132	2	1
5132	3	1
5132	4	2
5132	5	2
5132	6	2
4987	1	1
4987	2	1
3015	1	1
3015	2	1
4983	1	1
4983	2	1
4983	3	1
4982	1	1
4982	2	1
4982	3	1
4982	4	1
7416	1	1
7416	2	1
6683	1	1
6683	2	1
3694	1	1
3694	2	1
5385	1	1
5385	2	1
5385	3	2
5385	4	2
5674	1	1
5674	2	1
5674	3	2
5674	4	2
3455	1	1
3455	2	1
4702	1	1
4702	2	1
4702	3	2
4702	4	2
817	1	0
817	2	0
9780	1	1
9780	2	1
9780	3	2
9780	4	2
908	1	2
908	2	2
908	3	2
3976	1	1
3976	2	1
3976	3	2
3976	4	2
10194	1	1
10194	2	1
2584	1	1
2584	2	1
11857	1	1
11857	2	1
11857	3	2
11857	4	2
4973	1	1
4973	2	1
7206	1	1
7206	2	1
2508	1	0
2508	2	0
7143	1	2
7143	2	2
7143	3	2
9855	1	2
9855	2	2
5012	1	1
5012	2	1
2976	1	0
2976	2	0
2976	3	2
2976	4	2
11383	1	1
11383	2	1
11383	3	2
11383	4	2
243	1	2
243	2	2
243	3	2
9648	1	1
9648	2	1
9648	3	2
9648	4	2
9632	1	1
9632	2	1
11279	1	1
11279	2	1
11279	3	2
11279	4	2
11006	1	1
11006	2	1
5127	1	1
5127	2	1
5127	3	2
5127	4	2
11470	1	0
11470	2	0
1188	1	-1
1188	2	-1
1188	3	-1
7216	1	0
7216	2	0
8957	1	1
8957	2	1
8957	3	2
8957	4	2
2674	1	1
2674	2	1
2674	3	2
2674	4	2
7232	1	0
7232	2	0
2988	1	2
2988	2	2
2988	3	2
339	1	1
339	2	1
339	3	2
339	4	2
9349	1	2
9349	2	2
1818	1	0
1818	2	0
1819	1	0
1819	2	0
1816	1	0
1816	2	0
1816	3	0
1814	1	0
1814	2	0
1814	3	0
1814	4	0
1814	5	0
1814	6	0
1812	1	0
1812	2	0
9088	1	1
9088	2	1
9088	3	2
9088	4	2
9999	1	1
9999	2	1
7316	1	0
7316	2	0
7533	1	1
7533	2	1
4997	1	1
4997	2	1
1822	1	0
1822	2	0
2033	1	1
2033	2	1
2033	3	2
2033	4	2
4743	1	2
4743	2	2
9354	1	1
9354	2	1
2514	1	0
2514	2	0
2514	3	0
7197	1	2
7197	2	2
8294	1	1
8294	2	1
5604	1	1
5604	2	1
1677	1	1
1677	2	1
7315	1	0
7315	2	0
7315	3	0
7314	1	0
7314	2	0
3249	1	0
3249	2	0
8131	1	1
8131	2	1
8131	3	2
8131	4	2
7493	1	1
7493	2	1
7493	3	1
9900	1	1
9900	2	1
9900	3	1
3242	1	1
3242	2	1
3242	3	2
3242	4	2
9334	1	1
9334	2	1
8432	1	1
8432	2	1
7079	1	0
7079	2	0
7079	3	0
3668	1	1
3668	2	1
3668	3	2
3668	4	2
1566	1	1
1566	2	1
1566	3	2
1566	4	2
3187	1	0
3187	2	0
3187	3	2
3187	4	2
2847	1	1
2847	2	1
2847	3	2
2847	4	2
11740	1	1
11740	2	1
1434	1	2
1434	2	2
8682	1	1
8682	2	1
8682	3	2
8682	4	2
8570	1	-1
8570	2	-1
7122	1	0
7122	2	0
7122	3	0
7122	4	0
7122	5	0
7122	6	0
4767	1	1
4767	2	1
4767	3	2
4767	4	2
2586	1	0
2586	2	0
7121	1	0
7121	2	0
3250	1	0
3250	2	0
3570	1	1
3570	2	1
9644	1	1
9644	2	1
9644	3	2
9644	4	2
9903	1	1
9903	2	1
9903	3	1
9898	1	1
9898	2	1
7894	1	-1
7894	2	-1
4793	1	1
4793	2	1
4793	3	2
4793	4	2
8490	1	1
8490	2	1
8490	3	2
8490	4	2
2913	1	0
2913	2	0
10899	1	1
10899	2	1
10899	3	2
10899	4	2
4188	1	1
4188	2	1
7137	1	1
7137	2	1
10430	1	1
10430	2	1
10430	3	2
10430	4	2
5128	1	1
5128	2	1
5128	3	1
5128	4	2
5128	5	2
5128	6	2
8557	1	1
8557	2	1
8557	3	2
8557	4	2
5124	1	1
5124	2	1
5124	3	2
5124	4	2
1974	1	1
1974	2	1
7623	1	1
7623	2	1
5130	1	1
5130	2	1
5130	3	2
5130	4	2
9541	1	1
9541	2	1
1844	1	0
1844	2	0
1692	1	1
1692	2	1
7252	1	0
7252	2	0
7222	1	0
7222	2	0
4539	1	1
4539	2	1
4539	3	2
4539	4	2
1957	1	1
1957	2	1
11779	1	1
11779	2	1
11779	3	2
11779	4	2
