date_hour	count	rating
11626	1	1
11626	2	1
11626	3	2
11626	4	2
9880	1	1
9880	2	1
9880	3	2
9880	4	2
7411	1	1
7411	2	1
7411	3	1
2304	1	1
2304	2	1
11615	1	1
11615	2	1
1836	1	1
1836	2	1
9522	1	1
9522	2	1
9522	3	1
9522	4	1
9522	5	1
1758	1	1
1758	2	1
11127	1	1
11127	2	1
11514	1	1
11514	2	1
11514	3	2
11514	4	2
10239	1	1
10239	2	1
7636	1	1
7636	2	1
7636	3	1
7634	1	1
7634	2	1
7634	3	1
7634	4	2
7634	5	2
7634	6	2
7440	1	-1
7440	2	-1
7050	1	1
7050	2	1
11346	1	1
11346	2	1
11346	3	1
4001	1	1
4001	2	1
4001	3	2
4001	4	2
9883	1	1
9883	2	1
11198	1	1
11198	2	1
11198	3	2
11198	4	2
8232	1	1
8232	2	1
8232	3	1
8232	4	2
8232	5	2
8232	6	2
4923	1	1
4923	2	1
4923	3	1
4923	4	2
4923	5	2
4923	6	2
4923	7	2
3794	1	1
3794	2	1
3794	3	2
3794	4	2
11862	1	1
11862	2	1
8991	1	1
8991	2	1
9482	1	1
9482	2	1
9482	3	1
9482	4	1
9482	5	1
9482	6	2
9482	7	2
9482	8	2
8797	1	0
8797	2	0
11176	1	1
11176	2	1
4098	1	1
4098	2	1
4098	3	1
4098	4	1
4098	5	1
2823	1	2
2823	2	2
2823	3	2
7367	1	1
7367	2	1
7367	3	1
7115	1	1
7115	2	1
7115	3	1
7115	4	1
7115	5	1
7115	6	1
7115	7	1
1625	1	-1
1625	2	-1
9519	1	1
9519	2	1
10254	1	1
10254	2	1
10254	3	1
10254	4	2
10254	5	2
10254	6	2
6329	1	1
6329	2	1
8327	1	1
8327	2	1
8327	3	1
4684	1	1
4684	2	1
10321	1	1
10321	2	1
10321	3	1
1141	1	1
1141	2	1
1141	3	2
1141	4	2
7672	1	1
7672	2	1
9189	1	1
9189	2	1
10449	1	1
10449	2	1
10449	3	1
9663	1	1
9663	2	1
9663	3	1
8082	1	1
8082	2	1
8082	3	1
8082	4	1
8082	5	1
8082	6	1
8082	7	1
8082	8	1
8082	9	1
8082	10	1
8082	11	1
8082	12	1
8082	13	1
8082	14	1
8082	15	1
8082	16	1
8082	17	1
8082	18	1
8082	19	1
8082	20	1
8082	21	1
8082	22	1
8082	23	1
8082	24	1
8082	25	1
8082	26	1
8082	27	1
8082	28	1
8082	29	1
8082	30	1
8082	31	1
8082	32	1
8082	33	1
8082	34	1
8082	35	1
8082	36	1
8082	37	1
8082	38	1
8082	39	1
8082	40	1
8082	41	1
8082	42	1
8082	43	1
8082	44	1
8082	45	1
8082	46	1
8082	47	1
8082	48	1
8082	49	1
8082	50	1
8082	51	1
4817	1	1
4817	2	1
4817	3	2
4817	4	2
4817	5	2
9679	1	1
9679	2	1
9679	3	2
9679	4	2
8079	1	1
8079	2	1
8079	3	1
8079	4	1
8079	5	1
8079	6	2
8079	7	2
10860	1	1
10860	2	1
10860	3	1
4021	1	1
4021	2	1
8947	1	1
8947	2	1
8947	3	1
8947	4	1
8947	5	1
8947	6	1
8947	7	1
8947	8	1
8947	9	1
8947	10	1
8947	11	1
8947	12	1
8947	13	1
8947	14	1
8947	15	1
8947	16	1
8947	17	1
8947	18	1
8947	19	1
8947	20	1
8947	21	1
8947	22	1
8947	23	1
8947	24	1
8947	25	1
8947	26	1
8947	27	1
8947	28	1
8947	29	1
8947	30	1
8947	31	1
8947	32	1
8947	33	1
8947	34	1
8947	35	1
8947	36	1
8947	37	1
8947	38	1
8947	39	1
8947	40	1
8947	41	1
8947	42	1
8947	43	1
8947	44	1
8947	45	1
8947	46	1
8947	47	1
9181	1	1
9181	2	1
9180	1	1
9180	2	1
9184	1	1
9184	2	1
9183	1	1
9183	2	1
9183	3	1
9183	4	1
9183	5	2
9183	6	2
956	1	1
956	2	1
7884	1	1
7884	2	1
7884	3	1
7884	4	1
7884	5	1
7885	1	-1
7885	2	-1
11139	1	1
11139	2	1
7629	1	1
7629	2	1
7174	1	1
7174	2	1
9808	1	1
9808	2	1
4676	1	0
4676	2	0
9352	1	1
9352	2	1
9352	3	1
9352	4	1
9352	5	1
8295	1	1
8295	2	1
3870	1	1
3870	2	1
8951	1	1
8951	2	1
8951	3	1
8951	4	1
8951	5	1
8951	6	1
8951	7	1
8951	8	1
8951	9	1
8951	10	1
8951	11	1
8951	12	1
8951	13	1
8951	14	1
8951	15	1
8951	16	1
8951	17	1
8951	18	1
8951	19	1
8951	20	1
8584	1	1
8584	2	1
8584	3	1
8584	4	1
8584	5	1
804	1	2
804	2	2
804	3	2
804	4	2
804	5	2
804	6	2
804	7	2
