date_hour	count	rating
8924	1	-1
8924	2	-1
8924	3	-1
8924	4	1
8924	5	1
8924	6	1
7887	1	-1
7887	2	-1
3039	1	0
3039	2	0
3039	3	2
3039	4	2
924	1	1
924	2	1
924	3	1
2402	1	0
2402	2	0
2402	3	0
2402	4	2
2402	5	2
2402	6	2
2404	1	0
2404	2	0
2404	3	2
2404	4	2
8331	1	0
8331	2	0
8331	3	2
8331	4	2
2641	1	0
2641	2	0
2641	3	1
2641	4	1
4056	1	1
4056	2	1
199	1	1
199	2	1
199	3	1
199	4	2
199	5	2
199	6	2
199	7	2
199	8	2
199	9	2
199	10	2
3834	1	0
3834	2	0
3834	3	1
3834	4	1
947	1	1
947	2	1
949	1	2
949	2	2
949	3	2
7093	1	-1
7093	2	-1
3069	1	0
3069	2	0
3069	3	2
3069	4	2
3133	1	2
3133	2	2
3133	3	2
3133	4	2
3133	5	2
4124	1	1
4124	2	1
7322	1	-1
7322	2	-1
8453	1	-1
8453	2	-1
894	1	1
894	2	1
934	1	1
934	2	1
932	1	1
932	2	1
932	3	1
4233	1	1
4233	2	1
1709	1	0
1709	2	0
1709	3	2
1709	4	2
6244	1	0
6244	2	0
6244	3	2
6244	4	2
4571	1	0
4571	2	0
4571	3	0
4571	4	2
4571	5	2
4571	6	2
4571	7	2
4571	8	2
3137	1	2
3137	2	2
3137	3	2
3135	1	2
3135	2	2
3135	3	2
937	1	1
937	2	1
937	3	2
937	4	2
3131	1	2
3131	2	2
3131	3	2
941	1	2
941	2	2
941	3	2
938	1	1
938	2	1
938	3	2
938	4	2
2729	1	1
2729	2	1
