date_hour	count	rating
1444	1	-1
1444	2	-1
4503	1	1
4503	2	1
4503	3	1
4503	4	2
4503	5	2
8214	1	1
8214	2	1
2273	1	-1
2273	2	-1
2297	1	-1
2297	2	-1
5475	1	1
5475	2	1
3018	1	-1
3018	2	-1
1116	1	-1
1116	2	-1
1116	3	-1
5059	1	1
5059	2	1
5059	3	1
5059	4	1
5059	5	1
5059	6	1
11347	1	-1
11347	2	-1
2974	1	-1
2974	2	-1
5052	1	1
5052	2	1
5052	3	1
5052	4	1
5052	5	1
5052	6	1
5053	1	1
5053	2	1
5050	1	1
5050	2	1
5050	3	1
3958	1	1
3958	2	1
3450	1	1
3450	2	1
3444	1	-1
3444	2	-1
5065	1	1
5065	2	1
3394	1	1
3394	2	1
3395	1	-1
3395	2	-1
3399	1	-1
3399	2	-1
7032	1	0
7032	2	0
2406	1	2
2406	2	2
2249	1	1
2249	2	1
4865	1	1
4865	2	1
4863	1	1
4863	2	1
4863	3	1
3525	1	2
3525	2	2
3525	3	2
3524	1	1
3524	2	1
3527	1	1
3527	2	1
3527	3	1
3527	4	2
3527	5	2
3527	6	2
3527	7	2
3527	8	2
3527	9	2
3526	1	2
3526	2	2
3526	3	2
3526	4	2
4681	1	1
4681	2	1
4681	3	1
4681	4	1
4681	5	1
7669	1	1
7669	2	1
7669	3	2
7669	4	2
3477	1	1
3477	2	1
3477	3	1
3477	4	1
2365	1	2
2365	2	2
7983	1	0
7983	2	0
8279	1	1
8279	2	1
8279	3	1
10206	1	1
10206	2	1
2062	1	1
2062	2	1
2062	3	1
2062	4	2
2062	5	2
5033	1	-1
5033	2	-1
5033	3	-1
5033	4	-1
5033	5	-1
3581	1	1
3581	2	1
3581	3	2
3581	4	2
3336	1	1
3336	2	1
3336	3	1
3309	1	1
3309	2	1
3311	1	0
3311	2	0
3311	3	0
2644	1	2
2644	2	2
4582	1	1
4582	2	1
4582	3	1
4582	4	1
4582	5	1
5110	1	1
5110	2	1
5110	3	1
3097	1	1
3097	2	1
3099	1	1
3099	2	1
3931	1	0
3931	2	0
3931	3	1
3931	4	1
3927	1	1
3927	2	1
3927	3	1
3927	4	2
3927	5	2
3927	6	2
3925	1	1
3925	2	1
3925	3	2
3925	4	2
2494	1	-1
2494	2	-1
4341	1	1
4341	2	1
