date_hour	count	rating
11335	1	-1
11335	2	-1
11335	3	-1
7938	1	1
7938	2	1
7938	3	1
11975	1	1
11975	2	1
625	1	1
625	2	1
625	3	1
625	4	1
625	5	1
1851	1	1
1851	2	1
10176	1	1
10176	2	1
11864	1	2
11864	2	2
11864	3	2
3631	1	1
3631	2	1
7416	1	-1
7416	2	-1
8686	1	1
8686	2	1
8686	3	1
8686	4	1
8686	5	1
7345	1	1
7345	2	1
11614	1	1
11614	2	1
8662	1	0
8662	2	0
9806	1	-1
9806	2	-1
9806	3	-1
9806	4	-1
12016	1	0
12016	2	0
12014	1	0
12014	2	0
12014	3	0
11895	1	2
11895	2	2
8729	1	2
8729	2	2
7824	1	1
7824	2	1
7824	3	1
9258	1	-1
9258	2	-1
7774	1	-1
7774	2	-1
7774	3	-1
7774	4	-1
7774	5	-1
7774	6	-1
7774	7	-1
7774	8	-1
7774	9	-1
7774	10	-1
7774	11	-1
7774	12	-1
7774	13	-1
8538	1	1
8538	2	1
8538	3	1
8538	4	1
8538	5	1
8085	1	-1
8085	2	-1
8085	3	-1
8085	4	-1
11875	1	-1
11875	2	-1
3826	1	0
3826	2	0
11873	1	2
11873	2	2
11873	3	2
11873	4	2
11873	5	2
11873	6	2
11873	7	2
11873	8	2
11873	9	2
11873	10	2
11873	11	2
11873	12	2
11873	13	2
11873	14	2
11873	15	2
11873	16	2
11873	17	2
11873	18	2
11872	1	-1
11872	2	-1
11871	1	2
11871	2	2
11328	1	1
11328	2	1
11869	1	2
11869	2	2
11869	3	2
11869	4	2
11869	5	2
4700	1	1
4700	2	1
4700	3	2
4700	4	2
4700	5	2
11867	1	2
11867	2	2
11867	3	2
3761	1	1
3761	2	1
3855	1	0
3855	2	0
3278	1	0
3278	2	0
8020	1	-1
8020	2	-1
8020	3	-1
8020	4	-1
8020	5	-1
8020	6	-1
8020	7	-1
9863	1	1
9863	2	1
506	1	1
506	2	1
506	3	1
11165	1	1
11165	2	1
8872	1	1
8872	2	1
11838	1	1
11838	2	1
7320	1	-1
7320	2	-1
7320	3	-1
278	1	1
278	2	1
278	3	1
11223	1	1
11223	2	1
5355	1	1
5355	2	1
329	1	1
329	2	1
329	3	1
6313	1	1
6313	2	1
10194	1	-1
10194	2	-1
10433	1	1
10433	2	1
11886	1	2
11886	2	2
11886	3	2
3410	1	1
3410	2	1
1747	1	1
1747	2	1
4969	1	1
4969	2	1
4969	3	1
5668	1	-1
5668	2	-1
1767	1	1
1767	2	1
7704	1	1
7704	2	1
7704	3	1
11894	1	2
11894	2	2
11894	3	2
4493	1	1
4493	2	1
10413	1	1
10413	2	1
1797	1	1
1797	2	1
1797	3	1
1797	4	1
1797	5	1
11896	1	2
11896	2	2
11896	3	2
11892	1	2
11892	2	2
11892	3	2
11892	4	2
11892	5	2
11892	6	2
11892	7	2
11892	8	2
11892	9	2
11892	10	2
11892	11	2
11892	12	2
11892	13	2
11892	14	2
10307	1	1
10307	2	1
4151	1	0
4151	2	0
4151	3	0
4151	4	1
4151	5	1
4151	6	1
11865	1	2
11865	2	2
11865	3	2
11865	4	2
11865	5	2
11865	6	2
11865	7	2
11865	8	2
2210	1	1
2210	2	1
9099	1	0
9099	2	0
9099	3	0
9099	4	1
9099	5	1
9099	6	1
7709	1	1
7709	2	1
7709	3	1
7709	4	1
12013	1	0
12013	2	0
12013	3	0
12013	4	0
12013	5	0
12013	6	0
12013	7	0
12013	8	0
9527	1	-1
9527	2	-1
9524	1	-1
9524	2	-1
4647	1	1
4647	2	1
11860	1	2
11860	2	2
2687	1	1
2687	2	1
10434	1	1
10434	2	1
10382	1	1
10382	2	1
10382	3	1
9857	1	1
9857	2	1
3266	1	0
3266	2	0
8022	1	-1
8022	2	-1
8022	3	-1
8022	4	-1
8022	5	-1
8022	6	-1
8022	7	-1
1809	1	1
1809	2	1
11740	1	1
11740	2	1
11830	1	1
11830	2	1
11830	3	1
11831	1	1
11831	2	1
1807	1	1
1807	2	1
9189	1	1
9189	2	1
9189	3	1
9189	4	1
9189	5	1
4363	1	1
4363	2	1
4363	3	1
4363	4	2
4363	5	2
4363	6	2
1802	1	1
1802	2	1
12011	1	0
12011	2	0
12011	3	0
12011	4	0
12011	5	0
9525	1	-1
9525	2	-1
10003	1	1
10003	2	1
10003	3	2
10003	4	2
7038	1	1
7038	2	1
11893	1	-1
11893	2	-1
11893	3	0
11893	4	0
2824	1	0
2824	2	0
10356	1	-1
10356	2	-1
4948	1	1
4948	2	1
4948	3	1
4948	4	1
4948	5	1
3988	1	1
3988	2	1
11861	1	2
11861	2	2
11861	3	2
7969	1	1
7969	2	1
7660	1	1
7660	2	1
7660	3	1
1486	1	1
1486	2	1
7972	1	2
7972	2	2
7972	3	2
11156	1	2
11156	2	2
7974	1	1
7974	2	1
7974	3	1
11863	1	2
11863	2	2
11863	3	2
11863	4	2
11863	5	2
11863	6	2
11010	1	-1
11010	2	-1
10023	1	-1
10023	2	-1
11907	1	2
11907	2	2
11907	3	2
2065	1	1
2065	2	1
2065	3	1
7740	1	1
7740	2	1
3525	1	2
3525	2	2
3525	3	2
9330	1	-1
9330	2	-1
1516	1	1
1516	2	1
7254	1	1
7254	2	1
7254	3	2
7254	4	2
10656	1	-1
10656	2	-1
10656	3	-1
10656	4	-1
10656	5	-1
10656	6	-1
10656	7	-1
10656	8	-1
10656	9	-1
11131	1	1
11131	2	1
11131	3	1
2280	1	1
2280	2	1
343	1	0
343	2	0
10367	1	-1
10367	2	-1
10367	3	-1
10367	4	-1
10367	5	-1
10367	6	-1
9854	1	1
9854	2	1
11183	1	-1
11183	2	-1
1140	1	1
1140	2	1
11853	1	2
11853	2	2
11852	1	2
11852	2	2
11852	3	2
9848	1	1
9848	2	1
9848	3	1
9848	4	1
9848	5	1
9848	6	1
9848	7	1
9848	8	1
9848	9	1
9848	10	1
9848	11	1
9848	12	1
9848	13	1
9848	14	1
9848	15	1
11076	1	2
11076	2	2
9972	1	1
9972	2	1
9972	3	2
9972	4	2
7140	1	1
7140	2	1
7140	3	1
7140	4	1
7140	5	2
7140	6	2
7140	7	2
9188	1	1
9188	2	1
9188	3	1
9188	4	1
1811	1	1
1811	2	1
1811	3	1
3944	1	-1
3944	2	-1
3944	3	-1
3944	4	-1
3944	5	-1
2783	1	0
2783	2	0
5885	1	1
5885	2	1
9658	1	1
9658	2	1
9122	1	1
9122	2	1
7056	1	-1
7056	2	-1
7056	3	-1
7056	4	-1
7056	5	-1
7056	6	-1
7056	7	-1
7056	8	-1
7056	9	-1
7056	10	-1
7056	11	-1
7056	12	-1
7056	13	-1
7056	14	-1
7056	15	-1
7056	16	-1
7056	17	-1
7056	18	-1
7056	19	-1
7056	20	-1
7056	21	-1
7056	22	-1
7056	23	-1
7056	24	-1
7056	25	-1
7056	26	-1
7056	27	-1
7056	28	-1
7056	29	-1
7056	30	-1
7056	31	-1
7056	32	-1
7056	33	-1
7056	34	-1
7056	35	-1
7056	36	-1
7056	37	-1
7056	38	-1
7056	39	-1
7056	40	-1
7056	41	-1
7056	42	-1
7056	43	-1
7056	44	-1
7056	45	-1
7881	1	-1
7881	2	-1
11870	1	2
11870	2	2
11870	3	2
11870	4	2
11870	5	2
11870	6	2
11870	7	2
11870	8	2
11870	9	2
11870	10	2
11870	11	2
11870	12	2
11870	13	2
11870	14	2
11870	15	2
11870	16	2
1477	1	1
1477	2	1
8850	1	2
8850	2	2
8850	3	2
8850	4	2
7164	1	-1
7164	2	-1
7164	3	-1
8635	1	1
8635	2	1
8635	3	1
1479	1	1
1479	2	1
4797	1	1
4797	2	1
4797	3	1
4797	4	1
4797	5	1
11155	1	2
11155	2	2
11154	1	2
11154	2	2
11154	3	2
11154	4	2
11154	5	2
2183	1	1
2183	2	1
10291	1	-1
10291	2	-1
4212	1	1
4212	2	1
4212	3	1
5732	1	0
5732	2	0
3814	1	1
3814	2	1
2149	1	1
2149	2	1
4624	1	1
4624	2	1
4624	3	1
4624	4	1
4624	5	1
4624	6	1
2603	1	1
2603	2	1
2603	3	1
2603	4	1
2150	1	1
2150	2	1
9160	1	1
9160	2	1
5584	1	1
5584	2	1
2091	1	1
2091	2	1
4626	1	1
4626	2	1
2654	1	-1
2654	2	-1
2509	1	1
2509	2	1
3549	1	1
3549	2	1
2804	1	1
2804	2	1
3527	1	2
3527	2	2
9414	1	1
9414	2	1
9180	1	1
9180	2	1
1820	1	1
1820	2	1
7199	1	-1
7199	2	-1
11152	1	2
11152	2	2
11152	3	2
11152	4	2
11152	5	2
11152	6	2
11152	7	2
11152	8	2
11152	9	2
11152	10	2
11152	11	2
11152	12	2
11152	13	2
11152	14	2
11152	15	2
11152	16	2
11152	17	2
11152	18	2
11152	19	2
11152	20	2
11152	21	2
11152	22	2
11152	23	2
11152	24	2
11152	25	2
11152	26	2
11152	27	2
11152	28	2
11152	29	2
11152	30	2
11152	31	2
11152	32	2
11152	33	2
11152	34	2
7511	1	1
7511	2	1
956	1	1
956	2	1
6991	1	2
6991	2	2
6991	3	2
4007	1	1
4007	2	1
4007	3	1
4007	4	1
4007	5	1
6985	1	1
6985	2	1
6985	3	1
6985	4	2
6985	5	2
6985	6	2
3191	1	1
3191	2	1
3191	3	2
3191	4	2
2490	1	1
2490	2	1
6986	1	2
6986	2	2
5572	1	1
5572	2	1
5572	3	1
4804	1	1
4804	2	1
9888	1	1
9888	2	1
9888	3	2
9888	4	2
9888	5	2
4119	1	1
4119	2	1
4119	3	1
10512	1	-1
10512	2	-1
7989	1	1
7989	2	1
7989	3	1
3968	1	1
3968	2	1
3968	3	1
3968	4	1
3968	5	1
9904	1	2
9904	2	2
11153	1	2
11153	2	2
11153	3	2
11153	4	2
11153	5	2
11153	6	2
11153	7	2
11153	8	2
11153	9	2
11153	10	2
11153	11	2
11153	12	2
11153	13	2
11153	14	2
4102	1	1
4102	2	1
6015	1	1
6015	2	1
9808	1	-1
9808	2	-1
10738	1	-1
10738	2	-1
10300	1	1
10300	2	1
1678	1	1
1678	2	1
9346	1	1
9346	2	1
5604	1	1
5604	2	1
4821	1	2
4821	2	2
4821	3	2
4821	4	2
4821	5	2
3500	1	1
3500	2	1
3500	3	1
8949	1	1
8949	2	1
11855	1	2
11855	2	2
