date_hour	count	rating
11211	1	1
11211	2	1
11211	3	1
11212	1	0
11212	2	0
11522	1	1
11522	2	1
11522	3	1
1110	1	1
1110	2	1
1110	3	2
1110	4	2
4010	1	-1
4010	2	-1
1351	1	1
1351	2	1
1351	3	1
2615	1	1
2615	2	1
2615	3	2
2615	4	2
3806	1	-1
3806	2	-1
3804	1	-1
3804	2	-1
3805	1	-1
3805	2	-1
4013	1	0
4013	2	0
4013	3	0
4013	4	1
4013	5	1
4013	6	1
10109	1	0
10109	2	0
10109	3	0
9172	1	0
9172	2	0
9172	3	0
1028	1	0
1028	2	0
9941	1	0
9941	2	0
3459	1	2
3459	2	2
3459	3	2
11498	1	0
11498	2	0
11498	3	0
11498	4	2
11498	5	2
11498	6	2
11523	1	1
11523	2	1
11523	3	1
10589	1	0
10589	2	0
10589	3	0
3157	1	0
3157	2	0
3157	3	2
3157	4	2
3816	1	-1
3816	2	-1
3798	1	0
3798	2	0
3798	3	2
3798	4	2
3822	1	-1
3822	2	-1
9773	1	0
9773	2	0
9773	3	0
9773	4	2
9773	5	2
9773	6	2
2286	1	1
2286	2	1
2286	3	1
11813	1	0
11813	2	0
11813	3	0
11813	4	2
11813	5	2
11813	6	2
