date_hour	count	rating
10142	1	-1
10142	2	-1
9711	1	1
9711	2	1
9711	3	1
9715	1	1
9715	2	1
9715	3	1
9993	1	-1
9993	2	-1
5767	1	-1
5767	2	-1
11027	1	-1
11027	2	-1
9544	1	-1
9544	2	-1
10205	1	1
10205	2	1
10205	3	1
9782	1	1
9782	2	1
10211	1	1
10211	2	1
8669	1	-1
8669	2	-1
11026	1	-1
11026	2	-1
3647	1	1
3647	2	1
9714	1	1
9714	2	1
9714	3	1
9714	4	1
9714	5	1
9714	6	1
8823	1	-1
8823	2	-1
8823	3	1
8823	4	1
8823	5	1
11989	1	1
11989	2	1
9733	1	1
9733	2	1
9733	3	1
9016	1	-1
9016	2	-1
9734	1	1
9734	2	1
10552	1	1
10552	2	1
9806	1	-1
9806	2	-1
5011	1	-1
5011	2	-1
7225	1	-1
7225	2	-1
8871	1	-1
8871	2	-1
9710	1	1
9710	2	1
9710	3	1
9765	1	1
9765	2	1
9765	3	1
9713	1	1
9713	2	1
9713	3	1
9713	4	1
9713	5	1
9713	6	1
9713	7	1
9713	8	1
9713	9	1
9713	10	1
9713	11	1
9713	12	1
6042	1	2
6042	2	2
6042	3	2
7675	1	1
7675	2	1
9708	1	1
9708	2	1
9708	3	1
9708	4	1
9037	1	-1
9037	2	-1
9706	1	1
9706	2	1
9706	3	1
9706	4	1
9706	5	1
9706	6	1
9706	7	1
9706	8	1
9706	9	1
9706	10	1
9706	11	1
9706	12	1
9706	13	1
9706	14	1
9706	15	1
9706	16	1
9706	17	1
9706	18	1
9706	19	1
9707	1	1
9707	2	1
9707	3	1
9707	4	1
9707	5	1
9707	6	1
9707	7	1
9707	8	1
9707	9	1
5083	1	-1
5083	2	-1
9749	1	1
9749	2	1
7141	1	-1
7141	2	-1
7767	1	-1
7767	2	-1
7767	3	-1
7143	1	-1
7143	2	-1
9694	1	1
9694	2	1
9694	3	1
5475	1	1
5475	2	1
5475	3	2
5475	4	2
5634	1	1
5634	2	1
5036	1	-1
5036	2	-1
9724	1	1
9724	2	1
1923	1	-1
1923	2	-1
1923	3	1
1923	4	1
5059	1	-1
5059	2	-1
10129	1	1
10129	2	1
8462	1	-1
8462	2	-1
9785	1	1
9785	2	1
9785	3	1
11751	1	1
11751	2	1
7375	1	-1
7375	2	-1
7166	1	-1
7166	2	-1
8693	1	-1
8693	2	-1
7162	1	-1
7162	2	-1
7163	1	-1
7163	2	-1
7163	3	1
7163	4	1
7479	1	1
7479	2	1
7479	3	1
9720	1	1
9720	2	1
9728	1	1
9728	2	1
9728	3	1
10554	1	1
10554	2	1
7288	1	-1
7288	2	-1
7501	1	-1
7501	2	-1
7501	3	1
7501	4	1
8801	1	1
8801	2	1
8801	3	1
4381	1	-1
4381	2	-1
7478	1	1
7478	2	1
7478	3	1
7262	1	-1
7262	2	-1
7263	1	-1
7263	2	-1
9825	1	-1
9825	2	-1
7186	1	-1
7186	2	-1
7186	3	-1
11413	1	1
11413	2	1
9696	1	-1
9696	2	-1
9696	3	-1
9857	1	1
9857	2	1
9857	3	1
9718	1	1
9718	2	1
9718	3	1
9718	4	1
9716	1	1
9716	2	1
9716	3	1
9716	4	1
9716	5	1
9716	6	1
9208	1	-1
9208	2	-1
1910	1	-1
1910	2	-1
9851	1	1
9851	2	1
9851	3	1
10543	1	-1
10543	2	-1
4723	1	1
4723	2	1
7671	1	-1
7671	2	-1
7671	3	1
7671	4	1
9705	1	1
9705	2	1
9705	3	1
9705	4	1
9705	5	1
9705	6	1
9705	7	1
9705	8	1
9705	9	1
8105	1	-1
8105	2	-1
8328	1	-1
8328	2	-1
