date_hour	count	rating
4843	1	0
4843	2	0
4841	1	0
4841	2	0
5270	1	1
5270	2	1
9881	1	-1
9881	2	-1
9881	3	-1
4861	1	2
4861	2	2
4861	3	2
4662	1	0
4662	2	0
1755	1	2
1755	2	2
1755	3	2
9457	1	1
9457	2	1
11903	1	-1
11903	2	-1
10243	1	1
10243	2	1
7785	1	1
7785	2	1
9780	1	1
9780	2	1
9780	3	2
9780	4	2
9781	1	1
9781	2	1
2502	1	2
2502	2	2
2502	3	2
1511	1	1
1511	2	1
5623	1	1
5623	2	1
1488	1	1
1488	2	1
676	1	1
676	2	1
9071	1	-1
9071	2	-1
4431	1	1
4431	2	1
8919	1	0
8919	2	0
2472	1	2
2472	2	2
2472	3	2
4001	1	1
4001	2	1
4001	3	1
2485	1	2
2485	2	2
2485	3	2
1596	1	2
1596	2	2
1596	3	2
7206	1	1
7206	2	1
2076	1	-1
2076	2	-1
1522	1	2
1522	2	2
1522	3	2
10722	1	-1
10722	2	-1
4922	1	1
4922	2	1
10273	1	1
10273	2	1
11857	1	1
11857	2	1
11857	3	1
8982	1	0
8982	2	0
11637	1	-1
11637	2	-1
1809	1	2
1809	2	2
1809	3	2
11719	1	1
11719	2	1
