date_hour	count	rating
11848	1	1
11848	2	1
11848	3	1
11211	1	2
11211	2	2
11130	1	1
11130	2	1
11130	3	1
9136	1	1
9136	2	1
9136	3	2
9136	4	2
1618	1	1
1618	2	1
578	1	1
578	2	1
578	3	1
578	4	1
578	5	1
578	6	2
578	7	2
578	8	2
578	9	2
578	10	2
10564	1	0
10564	2	0
10564	3	0
10564	4	0
10564	5	1
10564	6	1
10564	7	1
10564	8	1
10564	9	1
10564	10	1
10564	11	1
10998	1	1
10998	2	1
10998	3	1
11572	1	1
11572	2	1
9520	1	0
9520	2	0
9520	3	0
2675	1	1
2675	2	1
2675	3	2
2675	4	2
2675	5	2
8396	1	1
8396	2	1
1511	1	1
1511	2	1
10816	1	1
10816	2	1
10816	3	1
10816	4	1
10815	1	1
10815	2	1
10815	3	1
10815	4	1
10815	5	1
10815	6	1
2944	1	1
2944	2	1
3651	1	1
3651	2	1
1562	1	1
1562	2	1
10353	1	1
10353	2	1
10431	1	1
10431	2	1
10431	3	1
10431	4	1
10431	5	1
1974	1	1
1974	2	1
7341	1	1
7341	2	1
5432	1	1
5432	2	1
8716	1	1
8716	2	1
8716	3	1
417	1	2
417	2	2
417	3	2
417	4	2
417	5	2
417	6	2
417	7	2
657	1	1
657	2	1
657	3	2
657	4	2
657	5	2
8340	1	1
8340	2	1
8340	3	1
8340	4	1
8340	5	1
8340	6	1
8340	7	2
8340	8	2
8341	1	1
8341	2	1
8341	3	2
8341	4	2
10128	1	1
10128	2	1
4212	1	1
4212	2	1
4212	3	1
4212	4	1
4212	5	1
3498	1	1
3498	2	1
3498	3	1
10817	1	1
10817	2	1
10817	3	1
10817	4	1
10817	5	1
10817	6	1
10817	7	2
10817	8	2
8717	1	1
8717	2	1
8391	1	1
8391	2	1
3496	1	1
3496	2	1
3496	3	1
9206	1	1
9206	2	1
239	1	2
239	2	2
239	3	2
239	4	2
239	5	2
239	6	2
239	7	2
7452	1	1
7452	2	1
11849	1	1
11849	2	1
11849	3	1
11849	4	1
