date_hour	count	rating
9955	1	-1
9955	2	-1
10891	1	-1
10891	2	-1
3090	1	-1
3090	2	-1
9952	1	-1
9952	2	-1
12028	1	-1
12028	2	-1
8535	1	-1
8535	2	-1
9479	1	-1
9479	2	-1
3147	1	-1
3147	2	-1
9375	1	-1
9375	2	-1
9375	3	-1
9375	4	1
9375	5	1
9375	6	2
9375	7	2
9375	8	2
7600	1	-1
7600	2	-1
7600	3	-1
7600	4	-1
7600	5	-1
7600	6	-1
7600	7	-1
10745	1	-1
10745	2	-1
7490	1	-1
7490	2	-1
7490	3	-1
5095	1	2
5095	2	2
5095	3	2
5095	4	2
5095	5	2
11571	1	-1
11571	2	-1
11571	3	-1
1944	1	-1
1944	2	-1
1944	3	2
1944	4	2
1944	5	2
12042	1	-1
12042	2	-1
12042	3	-1
5097	1	2
5097	2	2
5097	3	2
5097	4	2
5097	5	2
11953	1	0
11953	2	0
11953	3	0
7960	1	-1
7960	2	-1
7147	1	-1
7147	2	-1
7147	3	-1
7047	1	-1
7047	2	-1
7047	3	-1
7047	4	2
7047	5	2
10147	1	-1
10147	2	-1
9336	1	-1
9336	2	-1
10160	1	0
10160	2	0
10160	3	0
2018	1	1
2018	2	1
2018	3	2
2018	4	2
3046	1	2
3046	2	2
3046	3	2
5431	1	1
5431	2	1
5431	3	1
5920	1	-1
5920	2	-1
4126	1	-1
4126	2	-1
4126	3	-1
4126	4	-1
4126	5	-1
4297	1	-1
4297	2	-1
4297	3	-1
4297	4	-1
4297	5	-1
4988	1	-1
4988	2	-1
4988	3	-1
4988	4	1
4988	5	1
4988	6	1
5122	1	2
5122	2	2
5122	3	2
2844	1	-1
2844	2	-1
7622	1	-1
7622	2	-1
5052	1	-1
5052	2	-1
5052	3	-1
5052	4	-1
5052	5	-1
5052	6	-1
5052	7	-1
2920	1	-1
2920	2	-1
7591	1	-1
7591	2	-1
7591	3	-1
7591	4	-1
7591	5	-1
4849	1	2
4849	2	2
4849	3	2
4849	4	2
4849	5	2
7587	1	-1
7587	2	-1
7587	3	-1
4885	1	2
4885	2	2
4885	3	2
4885	4	2
4885	5	2
7604	1	-1
7604	2	-1
8255	1	-1
8255	2	-1
7476	1	-1
7476	2	-1
7725	1	-1
7725	2	-1
6265	1	-1
6265	2	-1
5099	1	-1
5099	2	-1
5099	3	-1
5099	4	-1
5099	5	-1
7316	1	-1
7316	2	-1
8425	1	-1
8425	2	-1
3266	1	1
3266	2	1
3266	3	1
7539	1	-1
7539	2	-1
7539	3	-1
7807	1	-1
7807	2	-1
7807	3	-1
7807	4	-1
7807	5	-1
5031	1	-1
5031	2	-1
