date_hour	count	rating
9924	1	1
9924	2	1
3317	1	-1
3317	2	-1
3317	3	-1
3315	1	-1
3315	2	-1
4808	1	1
4808	2	1
4808	3	1
4808	4	1
4808	5	1
11665	1	-1
11665	2	-1
562	1	1
562	2	1
562	3	1
562	4	1
562	5	1
7421	1	1
7421	2	1
7421	3	1
10852	1	-1
10852	2	-1
2836	1	-1
2836	2	-1
245	1	-1
245	2	-1
4801	1	1
4801	2	1
4801	3	1
2753	1	-1
2753	2	-1
2925	1	-1
2925	2	-1
3338	1	-1
3338	2	-1
9809	1	-1
9809	2	-1
10411	1	-1
10411	2	-1
7279	1	0
7279	2	0
7279	3	0
5124	1	-1
5124	2	-1
5124	3	-1
5124	4	-1
5124	5	-1
4204	1	0
4204	2	0
4204	3	0
4204	4	1
4204	5	1
4204	6	1
11873	1	0
11873	2	0
11873	3	0
3340	1	-1
3340	2	-1
10675	1	-1
10675	2	-1
10675	3	-1
7231	1	0
7231	2	0
7231	3	0
7509	1	1
7509	2	1
7509	3	1
7509	4	1
7509	5	1
7509	6	1
7509	7	1
7509	8	1
7509	9	1
7509	10	1
7509	11	1
7509	12	1
7509	13	1
7509	14	1
7509	15	1
7509	16	1
7509	17	1
7509	18	1
7509	19	1
7509	20	1
7509	21	1
7509	22	1
7509	23	1
7509	24	1
7509	25	1
7509	26	1
7509	27	1
7509	28	1
7509	29	1
7509	30	1
7509	31	1
7509	32	1
7509	33	1
4862	1	-1
4862	2	-1
4862	3	-1
4862	4	-1
4862	5	-1
1169	1	0
1169	2	0
7529	1	-1
7529	2	-1
10193	1	-1
10193	2	-1
4867	1	1
4867	2	1
4867	3	1
4867	4	2
4867	5	2
4867	6	2
9160	1	-1
9160	2	-1
9231	1	-1
9231	2	-1
2946	1	-1
2946	2	-1
8867	1	-1
8867	2	-1
5021	1	-1
5021	2	-1
5021	3	-1
5021	4	0
5021	5	0
5021	6	0
1893	1	0
1893	2	0
3722	1	0
3722	2	0
9975	1	0
9975	2	0
10243	1	-1
10243	2	-1
2941	1	-1
2941	2	-1
4319	1	0
4319	2	0
4319	3	0
4319	4	1
4319	5	1
4319	6	1
4879	1	1
4879	2	1
4879	3	2
4879	4	2
3947	1	0
3947	2	0
3947	3	0
3947	4	1
3947	5	1
3947	6	1
9977	1	0
9977	2	0
9977	3	0
5128	1	-1
5128	2	-1
4644	1	-1
4644	2	-1
6197	1	0
6197	2	0
3305	1	-1
3305	2	-1
4504	1	0
4504	2	0
4504	3	0
4504	4	1
4504	5	1
4504	6	1
3325	1	-1
3325	2	-1
9286	1	-1
9286	2	-1
9286	3	-1
1450	1	0
1450	2	0
2383	1	2
2383	2	2
2383	3	2
2812	1	0
2812	2	0
8520	1	1
8520	2	1
8520	3	1
8520	4	1
8520	5	1
8520	6	1
8520	7	2
8520	8	2
8520	9	2
8520	10	2
8520	11	2
8520	12	2
3307	1	-1
3307	2	-1
246	1	-1
246	2	-1
246	3	-1
4871	1	1
4871	2	1
4871	3	1
4871	4	1
4871	5	1
4871	6	2
4871	7	2
4871	8	2
4871	9	2
4871	10	2
3428	1	1
3428	2	1
4868	1	1
4868	2	1
4868	3	1
4868	4	2
4868	5	2
4868	6	2
3474	1	0
3474	2	0
1178	1	0
1178	2	0
10676	1	-1
10676	2	-1
4798	1	1
4798	2	1
4798	3	1
6247	1	0
6247	2	0
7385	1	-1
7385	2	-1
4385	1	1
4385	2	1
7479	1	-1
7479	2	-1
4419	1	-1
4419	2	-1
2886	1	-1
2886	2	-1
10684	1	0
10684	2	0
4647	1	-1
4647	2	-1
8443	1	0
8443	2	0
8443	3	0
8443	4	0
8443	5	0
8443	6	0
8443	7	0
8443	8	1
8443	9	1
8443	10	1
8443	11	1
8443	12	1
8443	13	1
8443	14	1
4699	1	1
4699	2	1
4699	3	1
4699	4	1
4699	5	1
2278	1	-1
2278	2	-1
4056	1	1
4056	2	1
2951	1	-1
2951	2	-1
2951	3	-1
9209	1	-1
9209	2	-1
10677	1	0
10677	2	0
10148	1	0
10148	2	0
9976	1	0
9976	2	0
9611	1	-1
9611	2	-1
3730	1	0
3730	2	0
9576	1	-1
9576	2	-1
4052	1	1
4052	2	1
4052	3	1
4052	4	1
4052	5	1
