date_hour	count	rating
7337	1	0
7337	2	0
3935	1	0
3935	2	0
9597	1	0
9597	2	0
11228	1	0
11228	2	0
719	1	1
719	2	1
719	3	1
11614	1	0
11614	2	0
11614	3	1
11614	4	1
10007	1	2
10007	2	2
10007	3	2
10006	1	-1
10006	2	-1
8703	1	2
8703	2	2
8725	1	-1
8725	2	-1
8725	3	-1
8725	4	0
8725	5	0
8725	6	0
12019	1	0
12019	2	0
8726	1	0
8726	2	0
8247	1	2
8247	2	2
8247	3	2
3763	1	0
3763	2	0
3763	3	1
3763	4	1
464	1	-1
464	2	-1
464	3	-1
464	4	0
464	5	0
464	6	0
3758	1	1
3758	2	1
8874	1	2
8874	2	2
10243	1	0
10243	2	0
10243	3	0
9750	1	0
9750	2	0
11837	1	0
11837	2	0
886	1	1
886	2	1
2052	1	0
2052	2	0
11224	1	0
11224	2	0
3790	1	-1
3790	2	-1
8109	1	2
8109	2	2
8109	3	2
3029	1	0
3029	2	0
3029	3	0
9068	1	0
9068	2	0
9070	1	2
9070	2	2
9070	3	2
11134	1	2
11134	2	2
11134	3	2
7942	1	2
7942	2	2
7942	3	2
11285	1	0
11285	2	0
8830	1	0
8830	2	0
8831	1	0
8831	2	0
8831	3	0
9276	1	0
9276	2	0
3890	1	0
3890	2	0
670	1	-1
670	2	-1
670	3	-1
670	4	2
670	5	2
670	6	2
670	7	2
670	8	2
10312	1	-1
10312	2	-1
8061	1	-1
8061	2	-1
8061	3	-1
8060	1	-1
8060	2	-1
3794	1	-1
3794	2	-1
11463	1	0
11463	2	0
8062	1	-1
8062	2	-1
8062	3	-1
8062	4	-1
10583	1	2
10583	2	2
10583	3	2
9165	1	0
9165	2	0
2950	1	0
2950	2	0
2950	3	0
10959	1	0
10959	2	0
10959	3	0
10469	1	0
10469	2	0
9628	1	0
9628	2	0
9656	1	0
9656	2	0
9656	3	1
9656	4	1
9627	1	0
9627	2	0
4313	1	-1
4313	2	-1
4313	3	-1
10421	1	0
10421	2	0
9137	1	0
9137	2	0
11470	1	2
11470	2	2
11470	3	2
10295	1	2
10295	2	2
11010	1	0
11010	2	0
7717	1	0
7717	2	0
11636	1	0
11636	2	0
9285	1	2
9285	2	2
9285	3	2
10508	1	0
10508	2	0
4014	1	-1
4014	2	-1
4014	3	-1
4014	4	0
4014	5	0
4014	6	0
182	1	0
182	2	0
182	3	0
182	4	0
182	5	0
9233	1	0
9233	2	0
9975	1	0
9975	2	0
9189	1	0
9189	2	0
9663	1	0
9663	2	0
11117	1	0
11117	2	0
11117	3	0
11117	4	0
2419	1	0
2419	2	0
11302	1	2
11302	2	2
11302	3	2
11806	1	0
11806	2	0
8635	1	-1
8635	2	-1
11151	1	0
11151	2	0
8492	1	-1
8492	2	-1
8492	3	-1
11155	1	0
11155	2	0
8847	1	-1
8847	2	-1
2509	1	0
2509	2	0
10247	1	2
10247	2	2
8485	1	-1
8485	2	-1
8485	3	-1
8485	4	-1
8485	5	-1
8485	6	-1
8485	7	-1
8485	8	-1
8485	9	-1
8485	10	-1
8485	11	-1
7938	1	-1
7938	2	-1
7938	3	-1
7938	4	-1
7938	5	-1
7939	1	-1
7939	2	-1
4007	1	-1
4007	2	-1
4007	3	1
4007	4	1
11126	1	0
11126	2	0
11126	3	0
9436	1	-1
9436	2	-1
9436	3	-1
9436	4	-1
9436	5	-1
9436	6	0
9436	7	0
9436	8	0
9436	9	0
9436	10	0
9045	1	0
9045	2	0
2444	1	0
2444	2	0
8052	1	-1
8052	2	-1
8581	1	2
8581	2	2
8581	3	2
3512	1	-1
3512	2	-1
11423	1	2
11423	2	2
11423	3	2
11420	1	0
11420	2	0
11421	1	0
11421	2	0
11020	1	0
11020	2	0
9140	1	0
9140	2	0
5916	1	2
5916	2	2
5916	3	2
11535	1	0
11535	2	0
557	1	0
557	2	0
557	3	0
4262	1	1
4262	2	1
4262	3	2
4262	4	2
5922	1	-1
5922	2	-1
5922	3	1
5922	4	1
12039	1	0
12039	2	0
9795	1	0
9795	2	0
10887	1	0
10887	2	0
9726	1	0
9726	2	0
10672	1	0
10672	2	0
10078	1	0
10078	2	0
10637	1	0
10637	2	0
9099	1	0
9099	2	0
8532	1	-1
8532	2	-1
1310	1	-1
1310	2	-1
8530	1	-1
8530	2	-1
9208	1	0
9208	2	0
10752	1	2
10752	2	2
10752	3	2
11079	1	0
11079	2	0
5906	1	0
5906	2	0
5906	3	0
8488	1	-1
8488	2	-1
8488	3	-1
8488	4	-1
8545	1	-1
8545	2	-1
8545	3	0
8545	4	0
11351	1	2
11351	2	2
8534	1	2
8534	2	2
9246	1	0
9246	2	0
9641	1	0
9641	2	0
3380	1	-1
3380	2	-1
9245	1	0
9245	2	0
10799	1	2
10799	2	2
8483	1	-1
8483	2	-1
8484	1	-1
8484	2	-1
8484	3	-1
8484	4	-1
8484	5	-1
8484	6	-1
8484	7	-1
8484	8	-1
8484	9	-1
8484	10	-1
8484	11	-1
8484	12	-1
8484	13	-1
1663	1	1
1663	2	1
8486	1	-1
8486	2	-1
8486	3	-1
8486	4	-1
8486	5	-1
8486	6	-1
8486	7	-1
11592	1	2
11592	2	2
11592	3	2
8664	1	0
8664	2	0
8489	1	-1
8489	2	-1
8489	3	-1
8489	4	-1
8490	1	-1
8490	2	-1
8490	3	-1
8490	4	-1
8490	5	-1
8491	1	-1
8491	2	-1
9017	1	0
9017	2	0
8499	1	-1
8499	2	-1
8499	3	-1
8499	4	-1
8499	5	-1
11901	1	0
11901	2	0
11901	3	0
11366	1	0
11366	2	0
9832	1	0
9832	2	0
7861	1	-1
7861	2	-1
9214	1	0
9214	2	0
11559	1	0
11559	2	0
10095	1	0
10095	2	0
10146	1	0
10146	2	0
11827	1	0
11827	2	0
7771	1	-1
7771	2	-1
7771	3	-1
7771	4	-1
7771	5	-1
7771	6	-1
11199	1	0
11199	2	0
10145	1	0
10145	2	0
8999	1	0
8999	2	0
8999	3	0
8999	4	0
8528	1	-1
8528	2	-1
8528	3	-1
8528	4	-1
8528	5	-1
8528	6	-1
10307	1	-1
10307	2	-1
3095	1	0
3095	2	0
9957	1	1
9957	2	1
9957	3	2
9957	4	2
11608	1	0
11608	2	0
11967	1	0
11967	2	0
9454	1	2
9454	2	2
9454	3	2
5332	1	0
5332	2	0
5332	3	0
8394	1	0
8394	2	0
7724	1	0
7724	2	0
737	1	0
737	2	0
10840	1	0
10840	2	0
9836	1	0
9836	2	0
9327	1	0
9327	2	0
7540	1	0
7540	2	0
10775	1	-1
10775	2	-1
7820	1	-1
7820	2	-1
7773	1	2
7773	2	2
7773	3	2
