date_hour	count	rating
3426	1	-1
3426	2	-1
5369	1	-1
5369	2	-1
5377	1	-1
5377	2	-1
11924	1	-1
11924	2	-1
11925	1	-1
11925	2	-1
4676	1	1
4676	2	1
4676	3	1
4676	4	1
4676	5	1
11874	1	-1
11874	2	-1
10317	1	1
10317	2	1
11868	1	-1
11868	2	-1
10323	1	1
10323	2	1
10323	3	1
10323	4	1
10323	5	1
2991	1	1
2991	2	1
2991	3	2
2991	4	2
8385	1	-1
8385	2	-1
3026	1	-1
3026	2	-1
3029	1	-1
3029	2	-1
5420	1	-1
5420	2	-1
7606	1	-1
7606	2	-1
7606	3	-1
7605	1	-1
7605	2	-1
10312	1	1
10312	2	1
10312	3	1
10312	4	1
10312	5	1
10312	6	1
10312	7	1
2537	1	-1
2537	2	-1
2537	3	-1
1783	1	0
1783	2	0
11856	1	-1
11856	2	-1
5514	1	-1
5514	2	-1
11902	1	-1
11902	2	-1
11876	1	-1
11876	2	-1
2805	1	-1
2805	2	-1
11857	1	-1
11857	2	-1
11857	3	-1
7657	1	-1
7657	2	-1
7660	1	-1
7660	2	-1
7660	3	-1
7660	4	-1
7660	5	-1
