date_hour	count	rating
7583	1	-1
7583	2	-1
9262	1	-1
9262	2	-1
9262	3	-1
9262	4	-1
9262	5	-1
9262	6	-1
9262	7	-1
9262	8	-1
9262	9	-1
9262	10	-1
9262	11	-1
9262	12	-1
9262	13	-1
9262	14	-1
9262	15	-1
9262	16	-1
9262	17	-1
9262	18	-1
9262	19	-1
5742	1	-1
5742	2	-1
11543	1	-1
11543	2	-1
11543	3	-1
11543	4	-1
11543	5	-1
8625	1	-1
8625	2	-1
1007	1	2
1007	2	2
8686	1	-1
8686	2	-1
9829	1	-1
9829	2	-1
9829	3	-1
9829	4	-1
9829	5	-1
2927	1	1
2927	2	1
7344	1	-1
7344	2	-1
8012	1	2
8012	2	2
8012	3	2
8012	4	2
8012	5	2
11663	1	-1
11663	2	-1
11663	3	-1
4899	1	-1
4899	2	-1
5730	1	-1
5730	2	-1
983	1	1
983	2	1
10030	1	0
10030	2	0
10439	1	-1
10439	2	-1
7703	1	-1
7703	2	-1
11728	1	-1
11728	2	-1
3283	1	1
3283	2	1
5038	1	2
5038	2	2
5038	3	2
10208	1	-1
10208	2	-1
10208	3	-1
8189	1	-1
8189	2	-1
11516	1	0
11516	2	0
11516	3	0
11516	4	0
11516	5	0
11516	6	0
11516	7	0
2378	1	1
2378	2	1
8710	1	-1
8710	2	-1
8710	3	-1
8710	4	-1
3450	1	1
3450	2	1
7995	1	1
7995	2	1
7995	3	2
7995	4	2
3449	1	1
3449	2	1
10028	1	0
10028	2	0
10028	3	0
10029	1	0
10029	2	0
10029	3	0
8188	1	-1
8188	2	-1
8188	3	-1
7557	1	1
7557	2	1
7557	3	1
7558	1	1
7558	2	1
7558	3	1
7558	4	2
7558	5	2
8184	1	-1
8184	2	-1
9368	1	-1
9368	2	-1
9368	3	-1
9526	1	-1
9526	2	-1
9526	3	-1
9526	4	-1
9526	5	-1
9526	6	-1
9526	7	-1
8897	1	1
8897	2	1
8897	3	1
4360	1	1
4360	2	1
2109	1	2
2109	2	2
10337	1	2
10337	2	2
10338	1	2
10338	2	2
10338	3	2
10338	4	2
10338	5	2
10338	6	2
10338	7	2
10338	8	2
10338	9	2
10338	10	2
10338	11	2
10338	12	2
10338	13	2
10338	14	2
10338	15	2
10338	16	2
10338	17	2
10338	18	2
10338	19	2
10338	20	2
10338	21	2
10338	22	2
10338	23	2
10338	24	2
10338	25	2
10338	26	2
10338	27	2
10338	28	2
10338	29	2
10338	30	2
10338	31	2
10338	32	2
10338	33	2
10338	34	2
10338	35	2
10338	36	2
10338	37	2
10338	38	2
10338	39	2
10338	40	2
10338	41	2
10338	42	2
10338	43	2
10338	44	2
10338	45	2
10338	46	2
10338	47	2
10338	48	2
10338	49	2
514	1	1
514	2	1
514	3	1
4886	1	-1
4886	2	-1
9858	1	1
9858	2	1
9657	1	-1
9657	2	-1
9657	3	1
9657	4	1
11656	1	1
11656	2	1
11656	3	1
11656	4	1
11656	5	1
11656	6	1
9550	1	-1
9550	2	-1
9873	1	-1
9873	2	-1
2820	1	-1
2820	2	-1
7156	1	1
7156	2	1
