date_hour	count	rating
9925	1	-1
9925	2	-1
9925	3	-1
9926	1	-1
9926	2	-1
7409	1	-1
7409	2	-1
12012	1	1
12012	2	1
8249	1	-1
8249	2	-1
11880	1	-1
11880	2	-1
9927	1	-1
9927	2	-1
4146	1	-1
4146	2	-1
4146	3	-1
4146	4	-1
4146	5	-1
10976	1	-1
10976	2	-1
10976	3	-1
10977	1	-1
10977	2	-1
11724	1	1
11724	2	1
9593	1	0
9593	2	0
9593	3	0
9593	4	0
9593	5	0
10344	1	-1
10344	2	-1
7768	1	-1
7768	2	-1
9912	1	0
9912	2	0
9912	3	1
9912	4	1
11243	1	-1
11243	2	-1
8219	1	-1
8219	2	-1
10031	1	-1
10031	2	-1
10310	1	-1
10310	2	-1
10310	3	-1
10311	1	-1
10311	2	-1
10311	3	-1
10311	4	-1
10313	1	-1
10313	2	-1
10306	1	-1
10306	2	-1
10307	1	-1
10307	2	-1
10309	1	-1
10309	2	-1
9908	1	1
9908	2	1
11194	1	-1
11194	2	-1
11194	3	-1
11194	4	-1
11481	1	-1
11481	2	-1
4361	1	1
4361	2	1
4361	3	1
4361	4	2
4361	5	2
4361	6	2
8149	1	-1
8149	2	-1
8149	3	-1
9858	1	-1
9858	2	-1
9656	1	-1
9656	2	-1
9656	3	-1
10033	1	-1
10033	2	-1
9393	1	-1
9393	2	-1
9609	1	-1
9609	2	-1
9917	1	1
9917	2	1
8267	1	-1
8267	2	-1
10390	1	-1
10390	2	-1
10390	3	-1
7742	1	-1
7742	2	-1
7742	3	-1
10742	1	-1
10742	2	-1
10864	1	1
10864	2	1
11662	1	-1
11662	2	-1
11497	1	-1
11497	2	-1
9497	1	-1
9497	2	-1
7652	1	-1
7652	2	-1
7652	3	-1
11392	1	-1
11392	2	-1
11393	1	-1
11393	2	-1
9498	1	-1
9498	2	-1
9909	1	1
9909	2	1
9909	3	1
9909	4	1
9909	5	1
9911	1	1
9911	2	1
9911	3	1
9610	1	-1
9610	2	-1
9610	3	-1
9611	1	-1
9611	2	-1
9611	3	-1
9611	4	-1
9906	1	1
9906	2	1
9906	3	1
9906	4	1
7926	1	-1
7926	2	-1
10364	1	1
10364	2	1
11881	1	-1
11881	2	-1
11881	3	-1
10399	1	1
10399	2	1
574	1	2
574	2	2
574	3	2
574	4	2
574	5	2
574	6	2
574	7	2
7163	1	-1
7163	2	-1
10381	1	-1
10381	2	-1
10380	1	-1
10380	2	-1
11992	1	-1
11992	2	-1
2151	1	1
2151	2	1
8048	1	-1
8048	2	-1
8048	3	-1
8048	4	-1
8048	5	-1
10565	1	1
10565	2	1
9186	1	1
9186	2	1
7679	1	-1
7679	2	-1
8118	1	-1
8118	2	-1
10055	1	-1
10055	2	-1
5981	1	0
5981	2	0
10436	1	1
10436	2	1
10436	3	2
10436	4	2
11127	1	-1
11127	2	-1
4965	1	-1
4965	2	-1
7068	1	-1
7068	2	-1
10746	1	1
10746	2	1
10376	1	1
10376	2	1
11028	1	-1
11028	2	-1
9899	1	-1
9899	2	-1
8056	1	-1
8056	2	-1
8056	3	-1
8056	4	-1
8056	5	-1
10368	1	1
10368	2	1
10656	1	-1
10656	2	-1
10570	1	-1
10570	2	-1
10340	1	1
10340	2	1
10697	1	-1
10697	2	-1
10697	3	1
10697	4	1
3125	1	1
3125	2	1
3125	3	1
9684	1	-1
9684	2	-1
7816	1	-1
7816	2	-1
7091	1	-1
7091	2	-1
6998	1	-1
6998	2	-1
9907	1	1
9907	2	1
9907	3	1
9396	1	-1
9396	2	-1
9396	3	-1
9396	4	-1
9396	5	-1
2759	1	-1
2759	2	-1
5896	1	1
5896	2	1
5896	3	1
10789	1	-1
10789	2	-1
12037	1	1
12037	2	1
10920	1	-1
10920	2	-1
10920	3	-1
10920	4	-1
7750	1	-1
7750	2	-1
7498	1	-1
7498	2	-1
10929	1	-1
10929	2	-1
10633	1	1
10633	2	1
7483	1	-1
7483	2	-1
11579	1	-1
11579	2	-1
11697	1	-1
11697	2	-1
7868	1	-1
7868	2	-1
8094	1	-1
8094	2	-1
11593	1	-1
11593	2	-1
11943	1	-1
11943	2	-1
11943	3	-1
9905	1	-1
9905	2	-1
9905	3	0
9905	4	0
9905	5	1
9905	6	1
9905	7	1
9905	8	1
9905	9	1
9905	10	1
9905	11	1
9905	12	1
9905	13	1
9761	1	-1
9761	2	-1
9761	3	-1
9761	4	-1
7617	1	-1
7617	2	-1
7615	1	-1
7615	2	-1
11997	1	-1
11997	2	-1
7569	1	-1
7569	2	-1
7569	3	-1
7569	4	-1
7569	5	-1
567	1	1
567	2	1
567	3	1
567	4	1
567	5	1
9395	1	-1
9395	2	-1
9395	3	-1
9394	1	-1
9394	2	-1
9394	3	-1
10930	1	-1
10930	2	-1
10469	1	1
10469	2	1
7438	1	-1
7438	2	-1
7438	3	-1
11592	1	-1
11592	2	-1
11592	3	-1
11592	4	-1
11592	5	-1
11592	6	-1
10472	1	-1
10472	2	-1
10499	1	-1
10499	2	-1
7919	1	-1
7919	2	-1
11400	1	-1
11400	2	-1
11401	1	-1
11401	2	-1
7551	1	-1
7551	2	-1
10319	1	-1
10319	2	-1
10828	1	1
10828	2	1
10828	3	1
10828	4	2
10828	5	2
2760	1	-1
2760	2	-1
10141	1	1
10141	2	1
10812	1	-1
10812	2	-1
9913	1	1
9913	2	1
8555	1	-1
8555	2	-1
11990	1	-1
11990	2	-1
1049	1	1
1049	2	1
11988	1	1
11988	2	1
9812	1	-1
9812	2	-1
9958	1	1
9958	2	1
9957	1	1
9957	2	1
7429	1	-1
7429	2	-1
12002	1	1
12002	2	1
10945	1	-1
10945	2	-1
10483	1	1
10483	2	1
10655	1	1
10655	2	1
7545	1	-1
7545	2	-1
7357	1	-1
7357	2	-1
8387	1	-1
8387	2	-1
3205	1	-1
3205	2	-1
11193	1	-1
11193	2	-1
11193	3	-1
11189	1	1
11189	2	1
